"Date","Price","Open","High","Low","Change %"
"Apr 15, 2021","34.457","34.457","34.457","34.457","-0.00%"
"Apr 14, 2021","34.458","34.458","34.458","34.458","0.00%"
"Apr 13, 2021","34.458","34.458","34.458","34.458","0.00%"
"Apr 12, 2021","34.458","34.458","34.458","34.458","-0.01%"
"Apr 09, 2021","34.461","34.461","34.461","34.461","-0.01%"
"Apr 08, 2021","34.464","34.516","34.516","34.464","0.06%"
"Apr 07, 2021","34.443","34.443","34.443","34.443","0.06%"
"Apr 06, 2021","34.423","34.423","34.423","34.423","0.06%"
"Apr 05, 2021","34.402","34.402","34.402","34.402","0.10%"
"Apr 02, 2021","34.368","34.368","34.368","34.368","0.00%"
"Apr 01, 2021","34.368","34.368","34.368","34.368","0.00%"
"Mar 31, 2021","34.368","34.368","34.368","34.368","-0.04%"
"Mar 30, 2021","34.383","34.383","34.383","34.383","0.07%"
"Mar 29, 2021","34.361","34.361","34.361","34.361","0.00%"
"Mar 26, 2021","34.361","34.572","34.572","34.361","0.01%"
"Mar 25, 2021","34.356","34.356","34.356","34.356","0.04%"
"Mar 24, 2021","34.342","34.342","34.342","34.342","0.10%"
"Mar 23, 2021","34.307","34.307","34.307","34.307","0.15%"
"Mar 22, 2021","34.255","34.255","34.255","34.255","0.10%"
"Mar 19, 2021","34.221","34.221","34.221","34.221","0.11%"
"Mar 18, 2021","34.182","34.182","34.182","34.182","-0.00%"
"Mar 17, 2021","34.182","34.182","34.182","34.182","0.04%"
"Mar 16, 2021","34.170","34.170","34.170","34.170","0.00%"
"Mar 15, 2021","34.170","34.170","34.170","34.170","-0.03%"
"Mar 12, 2021","34.181","34.181","34.181","34.181","-0.12%"
"Mar 11, 2021","34.221","34.221","34.221","34.221","0.00%"
"Mar 10, 2021","34.221","34.221","34.221","34.221","0.01%"
"Mar 09, 2021","34.218","34.218","34.218","34.218","0.00%"
"Mar 08, 2021","34.218","34.218","34.218","34.218","0.02%"
"Mar 05, 2021","34.210","34.210","34.210","34.210","-0.04%"
"Mar 04, 2021","34.224","34.224","34.224","34.224","0.02%"
"Mar 03, 2021","34.219","34.219","34.219","34.219","0.01%"
"Mar 02, 2021","34.214","34.214","34.214","34.214","0.03%"
"Mar 01, 2021","34.203","34.203","34.203","34.203","0.04%"
"Feb 26, 2021","34.190","34.190","34.190","34.190","-0.02%"
"Feb 25, 2021","34.196","34.196","34.196","34.196","0.00%"
"Feb 24, 2021","34.196","34.196","34.196","34.196","0.03%"
"Feb 23, 2021","34.187","34.187","34.187","34.187","0.01%"
"Feb 22, 2021","34.185","34.185","34.185","34.185","-0.02%"
"Feb 19, 2021","34.191","34.191","34.191","34.191","0.00%"
"Feb 18, 2021","34.191","34.191","34.191","34.191","-0.02%"
"Feb 17, 2021","34.196","34.196","34.196","34.196","0.00%"
"Feb 16, 2021","34.195","34.195","34.195","34.195","0.04%"
"Feb 15, 2021","34.182","34.182","34.182","34.182","0.04%"
"Feb 12, 2021","34.168","34.168","34.168","34.168","0.02%"
"Feb 11, 2021","34.160","34.160","34.160","34.160","0.04%"
"Feb 10, 2021","34.146","34.146","34.146","34.146","0.01%"
"Feb 09, 2021","34.142","34.142","34.142","34.142","-0.01%"
"Feb 08, 2021","34.145","34.145","34.145","34.145","0.05%"
"Feb 05, 2021","34.130","34.130","34.130","34.130","0.00%"
"Feb 04, 2021","34.130","34.130","34.130","34.130","0.00%"
"Feb 03, 2021","34.129","34.129","34.129","34.129","0.02%"
"Feb 02, 2021","34.123","34.123","34.123","34.123","-0.05%"
"Feb 01, 2021","34.140","34.140","34.140","34.140","-0.09%"
"Jan 29, 2021","34.170","34.170","34.170","34.170","0.01%"
"Jan 28, 2021","34.166","34.166","34.166","34.166","0.02%"
"Jan 27, 2021","34.160","34.160","34.160","34.160","0.02%"
"Jan 26, 2021","34.154","34.154","34.154","34.154","0.00%"
"Jan 25, 2021","34.154","34.154","34.154","34.154","0.02%"
"Jan 22, 2021","34.147","34.147","34.147","34.147","0.00%"
"Jan 21, 2021","34.147","34.147","34.147","34.147","0.00%"
