"Date","Price","Open","High","Low","Change %"
"Apr 15, 2021","110.299","110.299","110.299","110.299","-0.29%"
"Apr 14, 2021","110.622","110.622","110.622","110.622","0.00%"
"Apr 13, 2021","110.622","110.622","110.622","110.622","-1.12%"
"Apr 12, 2021","111.880","111.880","111.880","111.880","-2.32%"
"Apr 09, 2021","114.532","114.532","114.532","114.532","0.64%"
"Apr 08, 2021","113.807","113.807","113.807","113.807","1.05%"
"Apr 07, 2021","112.629","112.629","112.629","112.629","1.15%"
"Apr 06, 2021","111.350","111.350","111.350","111.350","0.44%"
"Apr 05, 2021","110.858","110.858","110.858","110.858","1.53%"
"Apr 02, 2021","109.185","109.185","109.185","109.185","0.00%"
"Apr 01, 2021","109.185","109.185","109.185","109.185","1.26%"
"Mar 31, 2021","107.827","107.827","107.827","107.827","-0.78%"
"Mar 30, 2021","108.675","108.675","108.675","108.675","3.42%"
"Mar 29, 2021","105.078","105.078","105.078","105.078","0.00%"
"Mar 26, 2021","105.078","105.078","105.078","105.078","0.19%"
"Mar 25, 2021","104.880","104.880","104.880","104.880","-1.86%"
"Mar 24, 2021","106.872","106.872","106.872","106.872","-0.87%"
"Mar 23, 2021","107.811","107.811","107.811","107.811","0.19%"
"Mar 22, 2021","107.611","107.611","107.611","107.611","1.32%"
"Mar 19, 2021","106.204","106.204","106.204","106.204","0.46%"
"Mar 18, 2021","105.717","105.717","105.717","105.717","-2.18%"
"Mar 17, 2021","108.076","108.076","108.076","108.076","-0.67%"
"Mar 16, 2021","108.803","108.803","108.803","108.803","1.90%"
"Mar 15, 2021","106.777","106.777","106.777","106.777","0.10%"
"Mar 12, 2021","106.667","106.667","106.667","106.667","0.19%"
"Mar 11, 2021","106.460","106.460","106.460","106.460","0.00%"
"Mar 10, 2021","106.460","106.460","106.460","106.460","1.53%"
"Mar 09, 2021","104.857","104.857","104.857","104.857","0.09%"
"Mar 08, 2021","104.761","104.761","104.761","104.761","1.05%"
"Mar 05, 2021","103.671","103.671","103.671","103.671","-1.15%"
"Mar 04, 2021","104.878","104.878","104.878","104.878","-0.46%"
"Mar 03, 2021","105.361","105.361","105.361","105.361","1.31%"
"Mar 02, 2021","104.003","104.003","104.003","104.003","2.29%"
"Mar 01, 2021","101.673","101.673","101.673","101.673","0.84%"
"Feb 26, 2021","100.829","100.829","100.829","100.829","-1.82%"
"Feb 25, 2021","102.703","102.703","102.703","102.703","0.36%"
"Feb 24, 2021","102.337","102.337","102.337","102.337","0.31%"
"Feb 23, 2021","102.021","102.021","102.021","102.021","-0.06%"
"Feb 22, 2021","102.084","102.084","102.084","102.084","-1.49%"
"Feb 19, 2021","103.628","103.628","103.628","103.628","-0.37%"
"Feb 18, 2021","104.017","104.017","104.017","104.017","0.29%"
"Feb 17, 2021","103.717","103.717","103.717","103.717","-0.59%"
"Feb 16, 2021","104.332","104.332","104.332","104.332","-0.74%"
"Feb 15, 2021","105.113","105.113","105.113","105.113","-0.30%"
"Feb 12, 2021","105.434","105.434","105.434","105.434","-0.06%"
"Feb 11, 2021","105.498","105.498","105.498","105.498","0.33%"
"Feb 10, 2021","105.156","105.156","105.156","105.156","0.09%"
"Feb 09, 2021","105.058","105.058","105.058","105.058","-0.70%"
"Feb 08, 2021","105.795","105.795","105.795","105.795","1.85%"
"Feb 05, 2021","103.876","103.876","103.876","103.876","-0.96%"
"Feb 04, 2021","104.882","104.882","104.882","104.882","0.62%"
"Feb 03, 2021","104.239","104.239","104.239","104.239","0.99%"
"Feb 02, 2021","103.214","103.214","103.214","103.214","1.90%"
"Feb 01, 2021","101.290","101.290","101.290","101.290","1.09%"
"Jan 29, 2021","100.193","100.193","100.193","100.193","-1.76%"
"Jan 28, 2021","101.985","101.985","101.985","101.985","-1.43%"
"Jan 27, 2021","103.470","103.470","103.470","103.470","-0.11%"
"Jan 26, 2021","103.580","103.580","103.580","103.580","-0.00%"
"Jan 25, 2021","103.581","103.581","103.581","103.581","-1.22%"
"Jan 22, 2021","104.856","104.856","104.856","104.856","0.25%"
"Jan 21, 2021","104.590","104.590","104.590","104.590","-0.16%"
"Jan 20, 2021","104.753","104.753","104.753","104.753","1.76%"
"Jan 19, 2021","102.939","102.939","102.939","102.939","0.50%"
"Jan 18, 2021","102.431","102.431","102.431","102.431","-1.38%"
"Jan 15, 2021","103.862","103.862","103.862","103.862","-1.61%"
"Jan 14, 2021","105.565","105.565","105.565","105.565","-0.51%"
"Jan 13, 2021","106.102","106.102","106.102","106.102","0.28%"
"Jan 12, 2021","105.803","105.803","105.803","105.803","0.05%"
"Jan 11, 2021","105.746","105.746","105.746","105.746","2.45%"
"Jan 08, 2021","103.212","103.212","103.212","103.212","2.62%"
"Jan 07, 2021","100.579","100.579","100.579","100.579","-0.64%"
"Jan 06, 2021","101.230","101.230","101.230","101.230","-0.52%"
"Jan 05, 2021","101.762","101.762","101.762","101.762","0.63%"
"Jan 04, 2021","101.122","101.122","101.122","101.122","1.98%"
"Jan 01, 2021","99.157","99.157","99.157","99.157","0.53%"
"Dec 31, 2020","98.639","98.639","98.639","98.639","-0.15%"
"Dec 30, 2020","98.787","98.787","98.787","98.787","-0.33%"
"Dec 29, 2020","99.118","99.118","99.118","99.118","0.49%"
"Dec 28, 2020","98.631","98.631","98.631","98.631","1.50%"
"Dec 25, 2020","97.170","97.170","97.170","97.170","-0.00%"
"Dec 24, 2020","97.173","97.173","97.173","97.173","0.55%"
"Dec 23, 2020","96.638","96.638","96.638","96.638","1.72%"
