"Date","Price","Open","High","Low","Change %"
"Apr 12, 2021","2,195.589","2,195.589","2,195.589","2,195.589","0.01%"
"Apr 09, 2021","2,195.273","2,195.273","2,195.273","2,195.273","0.00%"
"Apr 08, 2021","2,195.219","2,195.219","2,195.219","2,195.219","0.01%"
"Apr 07, 2021","2,194.968","2,194.968","2,194.968","2,194.968","0.00%"
"Apr 06, 2021","2,194.964","2,194.964","2,194.964","2,194.964","0.01%"
"Apr 05, 2021","2,194.697","2,194.697","2,194.697","2,194.697","0.03%"
"Mar 31, 2021","2,194.037","2,194.037","2,194.037","2,194.037","0.02%"
"Mar 30, 2021","2,193.493","2,193.493","2,193.493","2,193.493","0.03%"
"Mar 26, 2021","2,192.938","2,192.938","2,192.938","2,192.938","0.02%"
"Mar 25, 2021","2,192.509","2,192.509","2,192.509","2,192.509","0.01%"
"Mar 24, 2021","2,192.316","2,192.316","2,192.316","2,192.316","0.01%"
"Mar 23, 2021","2,192.089","2,192.089","2,192.089","2,192.089","0.02%"
"Mar 22, 2021","2,191.653","2,191.653","2,191.653","2,191.653","0.01%"
"Mar 19, 2021","2,191.402","2,191.402","2,191.402","2,191.402","0.01%"
"Mar 18, 2021","2,191.187","2,191.187","2,191.187","2,191.187","0.00%"
"Mar 17, 2021","2,191.086","2,191.086","2,191.086","2,191.086","0.01%"
"Mar 16, 2021","2,190.971","2,190.971","2,190.971","2,190.971","0.01%"
"Mar 15, 2021","2,190.844","2,190.844","2,190.844","2,190.844","0.01%"
"Mar 12, 2021","2,190.571","2,190.571","2,190.571","2,190.571","0.01%"
"Mar 10, 2021","2,190.446","2,190.446","2,190.446","2,190.446","0.00%"
"Mar 09, 2021","2,190.357","2,190.357","2,190.357","2,190.357","0.00%"
"Mar 08, 2021","2,190.351","2,190.351","2,190.351","2,190.351","0.02%"
"Mar 05, 2021","2,189.890","2,189.890","2,189.890","2,189.890","-0.01%"
"Mar 04, 2021","2,190.086","2,190.086","2,190.086","2,190.086","0.01%"
"Mar 03, 2021","2,189.965","2,189.965","2,189.965","2,189.965","0.01%"
"Mar 02, 2021","2,189.753","2,189.753","2,189.753","2,189.753","0.02%"
"Mar 01, 2021","2,189.419","2,189.419","2,189.419","2,189.419","0.01%"
"Feb 26, 2021","2,189.247","2,189.247","2,189.247","2,189.247","-0.01%"
"Feb 25, 2021","2,189.401","2,189.401","2,189.401","2,189.401","0.01%"
"Feb 24, 2021","2,189.193","2,189.193","2,189.193","2,189.193","-0.01%"
"Feb 23, 2021","2,189.335","2,189.335","2,189.335","2,189.335","0.00%"
"Feb 22, 2021","2,189.311","2,189.311","2,189.311","2,189.311","0.01%"
"Feb 18, 2021","2,189.063","2,189.063","2,189.063","2,189.063","0.01%"
"Feb 17, 2021","2,188.823","2,188.823","2,188.823","2,188.823","0.00%"
"Feb 16, 2021","2,188.787","2,188.787","2,188.787","2,188.787","0.01%"
"Feb 15, 2021","2,188.519","2,188.519","2,188.519","2,188.519","0.02%"
"Feb 12, 2021","2,188.133","2,188.133","2,188.133","2,188.133","0.01%"
"Feb 11, 2021","2,187.923","2,187.923","2,187.923","2,187.923","0.00%"
"Feb 10, 2021","2,187.817","2,187.817","2,187.817","2,187.817","0.00%"
"Feb 09, 2021","2,187.731","2,187.731","2,187.731","2,187.731","0.00%"
"Feb 08, 2021","2,187.687","2,187.687","2,187.687","2,187.687","0.01%"
"Feb 05, 2021","2,187.393","2,187.393","2,187.393","2,187.393","0.00%"
"Feb 04, 2021","2,187.363","2,187.363","2,187.363","2,187.363","0.00%"
"Feb 03, 2021","2,187.280","2,187.280","2,187.280","2,187.280","0.00%"
"Feb 02, 2021","2,187.221","2,187.221","2,187.221","2,187.221","0.00%"
"Feb 01, 2021","2,187.143","2,187.143","2,187.143","2,187.143","0.01%"
"Jan 29, 2021","2,187.017","2,187.017","2,187.017","2,187.017","0.00%"
"Jan 28, 2021","2,186.969","2,186.969","2,186.969","2,186.969","0.00%"
"Jan 27, 2021","2,186.906","2,186.906","2,186.906","2,186.906","0.01%"
"Jan 25, 2021","2,186.689","2,186.689","2,186.689","2,186.689","0.01%"
"Jan 22, 2021","2,186.442","2,186.442","2,186.442","2,186.442","0.00%"
"Jan 21, 2021","2,186.368","2,186.368","2,186.368","2,186.368","0.01%"
"Jan 20, 2021","2,186.216","2,186.216","2,186.216","2,186.216","0.01%"
"Jan 19, 2021","2,185.960","2,185.960","2,185.960","2,185.960","0.00%"
"Jan 18, 2021","2,185.929","2,185.929","2,185.929","2,185.929","-0.00%"
"Jan 15, 2021","2,185.973","2,185.973","2,185.973","2,185.973","0.00%"
"Jan 14, 2021","2,185.969","2,185.969","2,185.969","2,185.969","-0.01%"
"Jan 13, 2021","2,186.125","2,186.125","2,186.125","2,186.125","-0.00%"
"Jan 12, 2021","2,186.145","2,186.145","2,186.145","2,186.145","-0.00%"
"Jan 11, 2021","2,186.198","2,186.198","2,186.198","2,186.198","-0.01%"
"Jan 08, 2021","2,186.324","2,186.324","2,186.324","2,186.324","0.00%"
"Jan 07, 2021","2,186.216","2,186.216","2,186.216","2,186.216","0.00%"
"Jan 06, 2021","2,186.140","2,186.140","2,186.140","2,186.140","0.00%"
"Jan 05, 2021","2,186.041","2,186.041","2,186.041","2,186.041","0.01%"
"Jan 04, 2021","2,185.896","2,185.896","2,185.896","2,185.896","0.01%"
"Jan 01, 2021","2,185.621","2,185.621","2,185.621","2,185.621","0.01%"
"Dec 31, 2020","2,185.483","2,185.483","2,185.483","2,185.483","0.00%"
"Dec 30, 2020","2,185.483","2,185.483","2,185.483","2,185.483","0.01%"
"Dec 29, 2020","2,185.211","2,185.211","2,185.211","2,185.211","0.01%"
"Dec 28, 2020","2,184.891","2,184.891","2,184.891","2,184.891","0.03%"
"Dec 24, 2020","2,184.292","2,184.292","2,184.292","2,184.292","0.00%"
"Dec 23, 2020","2,184.222","2,184.222","2,184.222","2,184.222","0.00%"
"Dec 22, 2020","2,184.159","2,184.159","2,184.159","2,184.159","0.00%"
"Dec 21, 2020","2,184.096","2,184.096","2,184.096","2,184.096","0.02%"
"Dec 18, 2020","2,183.721","2,183.721","2,183.721","2,183.721","0.01%"
"Dec 17, 2020","2,183.602","2,183.602","2,183.602","2,183.602","0.00%"
"Dec 16, 2020","2,183.511","2,183.511","2,183.511","2,183.511","0.00%"
"Dec 15, 2020","2,183.447","2,183.447","2,183.447","2,183.447","-0.01%"
"Dec 14, 2020","2,183.611","2,183.611","2,183.611","2,183.611","0.02%"
"Dec 11, 2020","2,183.217","2,183.217","2,183.217","2,183.217","-0.00%"
"Dec 10, 2020","2,183.301","2,183.301","2,183.301","2,183.301","0.01%"
"Dec 09, 2020","2,183.148","2,183.148","2,183.148","2,183.148","-0.01%"
"Dec 08, 2020","2,183.304","2,183.304","2,183.304","2,183.304","0.01%"
"Dec 07, 2020","2,183.116","2,183.116","2,183.116","2,183.116","0.02%"
"Dec 04, 2020","2,182.779","2,182.779","2,182.779","2,182.779","0.01%"
"Dec 03, 2020","2,182.608","2,182.608","2,182.608","2,182.608","0.01%"
"Dec 02, 2020","2,182.427","2,182.427","2,182.427","2,182.427","-0.00%"
"Dec 01, 2020","2,182.484","2,182.484","2,182.484","2,182.484","0.01%"
"Nov 27, 2020","2,182.361","2,182.361","2,182.361","2,182.361","-0.00%"
"Nov 26, 2020","2,182.399","2,182.399","2,182.399","2,182.399","0.01%"
"Nov 25, 2020","2,182.216","2,182.216","2,182.216","2,182.216","0.01%"
"Nov 24, 2020","2,182.100","2,182.100","2,182.100","2,182.100","0.00%"
"Nov 23, 2020","2,182.047","2,182.047","2,182.047","2,182.047","0.01%"
"Nov 20, 2020","2,181.785","2,181.785","2,181.785","2,181.785","0.01%"
"Nov 19, 2020","2,181.635","2,181.635","2,181.635","2,181.635","0.02%"
"Nov 18, 2020","2,181.214","2,181.214","2,181.214","2,181.214","0.01%"
"Nov 17, 2020","2,180.906","2,180.906","2,180.906","2,180.906","0.02%"
"Nov 13, 2020","2,180.539","2,180.539","2,180.539","2,180.539","0.01%"
"Nov 12, 2020","2,180.326","2,180.326","2,180.326","2,180.326","0.01%"
"Nov 11, 2020","2,180.108","2,180.108","2,180.108","2,180.108","0.01%"
"Nov 10, 2020","2,179.910","2,179.910","2,179.910","2,179.910","0.01%"
"Nov 09, 2020","2,179.772","2,179.772","2,179.772","2,179.772","0.01%"
"Nov 06, 2020","2,179.445","2,179.445","2,179.445","2,179.445","0.01%"
"Nov 05, 2020","2,179.243","2,179.243","2,179.243","2,179.243","0.02%"
"Nov 04, 2020","2,178.852","2,178.852","2,178.852","2,178.852","0.01%"
"Nov 03, 2020","2,178.595","2,178.595","2,178.595","2,178.595","0.00%"
"Nov 02, 2020","2,178.546","2,178.546","2,178.546","2,178.546","0.02%"
"Oct 29, 2020","2,178.156","2,178.156","2,178.156","2,178.156","0.00%"
"Oct 28, 2020","2,178.059","2,178.059","2,178.059","2,178.059","0.01%"
"Oct 27, 2020","2,177.782","2,177.782","2,177.782","2,177.782","-0.00%"
"Oct 26, 2020","2,177.871","2,177.871","2,177.871","2,177.871","0.01%"
"Oct 23, 2020","2,177.553","2,177.553","2,177.553","2,177.553","0.00%"
"Oct 22, 2020","2,177.466","2,177.466","2,177.466","2,177.466","0.00%"
"Oct 21, 2020","2,177.389","2,177.389","2,177.389","2,177.389","-0.00%"
"Oct 20, 2020","2,177.473","2,177.473","2,177.473","2,177.473","0.02%"
"Oct 19, 2020","2,177.043","2,177.043","2,177.043","2,177.043","0.02%"
"Oct 16, 2020","2,176.690","2,176.690","2,176.690","2,176.690","0.01%"
"Oct 15, 2020","2,176.569","2,176.569","2,176.569","2,176.569","0.01%"
"Oct 14, 2020","2,176.451","2,176.451","2,176.451","2,176.451","0.01%"
"Oct 13, 2020","2,176.269","2,176.269","2,176.269","2,176.269","0.03%"
"Oct 12, 2020","2,175.596","2,175.596","2,175.596","2,175.596","-0.01%"
"Oct 09, 2020","2,175.739","2,175.739","2,175.739","2,175.739","0.02%"
"Oct 08, 2020","2,175.231","2,175.231","2,175.231","2,175.231","0.01%"
"Oct 07, 2020","2,175.099","2,175.099","2,175.099","2,175.099","0.02%"
"Oct 06, 2020","2,174.625","2,174.625","2,174.625","2,174.625","0.02%"
"Oct 05, 2020","2,174.133","2,174.133","2,174.133","2,174.133","0.02%"
"Oct 01, 2020","2,173.797","2,173.797","2,173.797","2,173.797","0.01%"
"Sep 30, 2020","2,173.483","2,173.483","2,173.483","2,173.483","0.01%"
"Sep 29, 2020","2,173.277","2,173.277","2,173.277","2,173.277","0.02%"
"Sep 25, 2020","2,172.887","2,172.887","2,172.887","2,172.887","0.00%"
"Sep 24, 2020","2,172.829","2,172.829","2,172.829","2,172.829","0.01%"
"Sep 23, 2020","2,172.666","2,172.666","2,172.666","2,172.666","-0.00%"
"Sep 22, 2020","2,172.745","2,172.745","2,172.745","2,172.745","-0.01%"
"Sep 21, 2020","2,172.938","2,172.938","2,172.938","2,172.938","0.05%"
"Sep 18, 2020","2,171.772","2,171.772","2,171.772","2,171.772","0.01%"
"Sep 17, 2020","2,171.620","2,171.620","2,171.620","2,171.620","0.01%"
"Sep 16, 2020","2,171.507","2,171.507","2,171.507","2,171.507","0.02%"
"Sep 15, 2020","2,171.002","2,171.002","2,171.002","2,171.002","0.04%"
"Sep 11, 2020","2,170.206","2,170.206","2,170.206","2,170.206","-0.00%"
"Sep 10, 2020","2,170.256","2,170.256","2,170.256","2,170.256","-0.01%"
"Sep 09, 2020","2,170.427","2,170.427","2,170.427","2,170.427","-0.00%"
"Sep 08, 2020","2,170.436","2,170.436","2,170.436","2,170.436","-0.00%"
"Sep 07, 2020","2,170.529","2,170.529","2,170.529","2,170.529","0.02%"
"Sep 04, 2020","2,170.072","2,170.072","2,170.072","2,170.072","-0.00%"
"Sep 03, 2020","2,170.130","2,170.130","2,170.130","2,170.130","0.02%"
"Sep 02, 2020","2,169.729","2,169.729","2,169.729","2,169.729","-0.01%"
"Sep 01, 2020","2,169.850","2,169.850","2,169.850","2,169.850","0.03%"
"Aug 31, 2020","2,169.264","2,169.264","2,169.264","2,169.264","0.03%"
"Aug 25, 2020","2,168.688","2,168.688","2,168.688","2,168.688","-0.01%"
"Aug 21, 2020","2,168.891","2,168.891","2,168.891","2,168.891","-0.01%"
"Aug 20, 2020","2,169.154","2,169.154","2,169.154","2,169.154","0.02%"
"Aug 19, 2020","2,168.666","2,168.666","2,168.666","2,168.666","0.00%"
"Aug 18, 2020","2,168.596","2,168.596","2,168.596","2,168.596","0.01%"
"Aug 17, 2020","2,168.444","2,168.444","2,168.444","2,168.444","0.02%"
"Aug 14, 2020","2,168.059","2,168.059","2,168.059","2,168.059","0.01%"
"Aug 13, 2020","2,167.738","2,167.738","2,167.738","2,167.738","0.05%"
"Aug 12, 2020","2,166.692","2,166.692","2,166.692","2,166.692","0.01%"
"Aug 11, 2020","2,166.426","2,166.426","2,166.426","2,166.426","0.00%"
"Aug 10, 2020","2,166.326","2,166.326","2,166.326","2,166.326","0.01%"
"Aug 07, 2020","2,166.151","2,166.151","2,166.151","2,166.151","-0.01%"
"Aug 06, 2020","2,166.317","2,166.317","2,166.317","2,166.317","-0.01%"
"Aug 05, 2020","2,166.579","2,166.579","2,166.579","2,166.579","-0.00%"
"Aug 04, 2020","2,166.613","2,166.613","2,166.613","2,166.613","0.01%"
"Aug 03, 2020","2,166.396","2,166.396","2,166.396","2,166.396","0.02%"
"Jul 31, 2020","2,166.029","2,166.029","2,166.029","2,166.029","0.02%"
"Jul 30, 2020","2,165.663","2,165.663","2,165.663","2,165.663","0.02%"
"Jul 29, 2020","2,165.316","2,165.316","2,165.316","2,165.316","0.01%"
"Jul 28, 2020","2,165.150","2,165.150","2,165.150","2,165.150","-0.00%"
"Jul 27, 2020","2,165.203","2,165.203","2,165.203","2,165.203","0.00%"
"Jul 24, 2020","2,165.176","2,165.176","2,165.176","2,165.176","0.01%"
"Jul 23, 2020","2,164.940","2,164.940","2,164.940","2,164.940","-0.03%"
"Jul 22, 2020","2,165.633","2,165.633","2,165.633","2,165.633","0.04%"
"Jul 21, 2020","2,164.751","2,164.751","2,164.751","2,164.751","-0.02%"
"Jul 20, 2020","2,165.082","2,165.082","2,165.082","2,165.082","0.03%"
"Jul 17, 2020","2,164.354","2,164.354","2,164.354","2,164.354","0.01%"
"Jul 16, 2020","2,164.152","2,164.152","2,164.152","2,164.152","0.01%"
"Jul 15, 2020","2,163.909","2,163.909","2,163.909","2,163.909","0.02%"
"Jul 14, 2020","2,163.546","2,163.546","2,163.546","2,163.546","-0.01%"
