"Date","Price","Open","High","Low","Change %"
"Apr 15, 2021","26.066","26.066","26.066","26.066","0.14%"
"Apr 13, 2021","26.030","26.030","26.030","26.030","1.15%"
"Apr 12, 2021","25.734","25.734","25.734","25.734","-4.61%"
"Apr 09, 2021","26.978","26.978","26.978","26.978","-0.23%"
"Apr 08, 2021","27.039","27.039","27.039","27.039","1.42%"
"Apr 07, 2021","26.660","26.660","26.660","26.660","0.91%"
"Apr 06, 2021","26.420","26.420","26.420","26.420","0.01%"
"Apr 05, 2021","26.418","26.418","26.418","26.418","-1.41%"
"Apr 01, 2021","26.797","26.797","26.797","26.797","1.00%"
"Mar 31, 2021","26.532","26.532","26.532","26.532","0.52%"
"Mar 30, 2021","26.395","26.395","26.395","26.395","1.33%"
"Mar 26, 2021","26.049","26.049","26.049","26.049","1.95%"
"Mar 25, 2021","25.550","25.550","25.550","25.550","-1.22%"
"Mar 24, 2021","25.866","25.866","25.866","25.866","-1.43%"
"Mar 23, 2021","26.240","26.240","26.240","26.240","0.83%"
"Mar 22, 2021","26.023","26.023","26.023","26.023","0.51%"
"Mar 19, 2021","25.892","25.892","25.892","25.892","0.85%"
"Mar 18, 2021","25.674","25.674","25.674","25.674","-1.22%"
"Mar 17, 2021","25.991","25.991","25.991","25.991","-1.75%"
"Mar 16, 2021","26.453","26.453","26.453","26.453","0.02%"
"Mar 15, 2021","26.447","26.447","26.447","26.447","-0.81%"
"Mar 12, 2021","26.664","26.664","26.664","26.664","-0.62%"
"Mar 10, 2021","26.830","26.830","26.830","26.830","0.43%"
"Mar 09, 2021","26.714","26.714","26.714","26.714","-0.85%"
"Mar 08, 2021","26.944","26.944","26.944","26.944","0.35%"
"Mar 05, 2021","26.850","26.850","26.850","26.850","-1.15%"
"Mar 04, 2021","27.162","27.162","27.162","27.162","0.76%"
"Mar 03, 2021","26.957","26.957","26.957","26.957","0.97%"
"Mar 02, 2021","26.697","26.697","26.697","26.697","1.14%"
"Mar 01, 2021","26.395","26.395","26.395","26.395","1.59%"
"Feb 26, 2021","25.982","25.982","25.982","25.982","-1.86%"
"Feb 25, 2021","26.474","26.474","26.474","26.474","1.39%"
"Feb 24, 2021","26.110","26.110","26.110","26.110","1.21%"
"Feb 23, 2021","25.798","25.798","25.798","25.798","0.93%"
"Feb 22, 2021","25.561","25.561","25.561","25.561","-1.48%"
"Feb 19, 2021","25.945","25.945","25.945","25.945","-1.03%"
"Feb 18, 2021","26.216","26.216","26.216","26.216","0.50%"
"Feb 17, 2021","26.086","26.086","26.086","26.086","0.19%"
"Feb 16, 2021","26.037","26.037","26.037","26.037","0.37%"
"Feb 15, 2021","25.942","25.942","25.942","25.942","0.03%"
"Feb 12, 2021","25.935","25.935","25.935","25.935","-9.89%"
"Feb 11, 2021","28.782","28.782","28.782","28.782","0.75%"
"Feb 10, 2021","28.567","28.567","28.567","28.567","0.04%"
"Feb 09, 2021","28.556","28.556","28.556","28.556","0.18%"
"Feb 08, 2021","28.505","28.505","28.505","28.505","2.12%"
"Feb 05, 2021","27.913","27.913","27.913","27.913","-0.44%"
"Feb 04, 2021","28.036","28.036","28.036","28.036","1.53%"
"Feb 03, 2021","27.613","27.613","27.613","27.613","1.01%"
"Feb 02, 2021","27.337","27.337","27.337","27.337","3.40%"
"Feb 01, 2021","26.437","26.437","26.437","26.437","3.52%"
"Jan 29, 2021","25.539","25.539","25.539","25.539","-1.07%"
"Jan 28, 2021","25.815","25.815","25.815","25.815","-0.27%"
"Jan 27, 2021","25.885","25.885","25.885","25.885","-0.56%"
"Jan 25, 2021","26.031","26.031","26.031","26.031","-1.26%"
"Jan 22, 2021","26.362","26.362","26.362","26.362","-0.74%"
"Jan 21, 2021","26.558","26.558","26.558","26.558","-0.03%"
"Jan 20, 2021","26.565","26.565","26.565","26.565","0.39%"
"Jan 19, 2021","26.462","26.462","26.462","26.462","1.71%"
"Jan 18, 2021","26.018","26.018","26.018","26.018","-1.24%"
"Jan 15, 2021","26.346","26.346","26.346","26.346","-1.22%"
"Jan 14, 2021","26.671","26.671","26.671","26.671","0.21%"
"Jan 13, 2021","26.615","26.615","26.615","26.615","0.40%"
"Jan 12, 2021","26.509","26.509","26.509","26.509","0.30%"
"Jan 11, 2021","26.430","26.430","26.430","26.430","-0.26%"
"Jan 08, 2021","26.498","26.498","26.498","26.498","1.12%"
"Jan 07, 2021","26.205","26.205","26.205","26.205","1.46%"
"Jan 06, 2021","25.827","25.827","25.827","25.827","0.68%"
"Jan 05, 2021","25.653","25.653","25.653","25.653","0.66%"
