"Date","Price","Open","High","Low","Change %"
"Apr 15, 2021","119.150","119.150","119.150","119.150","0.36%"
"Apr 13, 2021","118.720","118.720","118.720","118.720","1.54%"
"Apr 12, 2021","116.920","116.920","116.920","116.920","-3.84%"
"Apr 09, 2021","121.590","121.590","121.590","121.590","-0.07%"
"Apr 08, 2021","121.680","121.680","121.680","121.680","0.67%"
"Apr 07, 2021","120.870","120.870","120.870","120.870","1.38%"
"Apr 06, 2021","119.230","119.230","119.230","119.230","0.28%"
"Apr 05, 2021","118.900","118.900","118.900","118.900","-2.02%"
"Apr 01, 2021","121.350","121.350","121.350","121.350","0.77%"
"Mar 31, 2021","120.420","120.420","120.420","120.420","-0.21%"
"Mar 30, 2021","120.670","120.670","120.670","120.670","1.41%"
"Mar 26, 2021","118.990","118.990","118.990","118.990","1.60%"
"Mar 25, 2021","117.120","117.120","117.120","117.120","-1.71%"
"Mar 24, 2021","119.160","119.160","119.160","119.160","-1.63%"
"Mar 23, 2021","121.130","121.130","121.130","121.130","0.70%"
"Mar 22, 2021","120.290","120.290","120.290","120.290","0.37%"
"Mar 19, 2021","119.850","119.850","119.850","119.850","0.99%"
"Mar 18, 2021","118.680","118.680","118.680","118.680","-0.86%"
"Mar 17, 2021","119.710","119.710","119.710","119.710","-1.49%"
"Mar 16, 2021","121.520","121.520","121.520","121.520","0.02%"
"Mar 15, 2021","121.490","121.490","121.490","121.490","-0.80%"
"Mar 12, 2021","122.470","122.470","122.470","122.470","-0.93%"
"Mar 10, 2021","123.620","123.620","123.620","123.620","0.59%"
"Mar 09, 2021","122.900","122.900","122.900","122.900","0.42%"
"Mar 08, 2021","122.380","122.380","122.380","122.380","-0.21%"
"Mar 05, 2021","122.640","122.640","122.640","122.640","-0.86%"
"Mar 04, 2021","123.700","123.700","123.700","123.700","-0.31%"
"Mar 03, 2021","124.080","124.080","124.080","124.080","1.25%"
"Mar 02, 2021","122.550","122.550","122.550","122.550","1.52%"
"Mar 01, 2021","120.710","120.710","120.710","120.710","1.33%"
"Feb 26, 2021","119.120","119.120","119.120","119.120","-2.70%"
"Feb 25, 2021","122.420","122.420","122.420","122.420","0.47%"
"Feb 24, 2021","121.850","121.850","121.850","121.850","1.29%"
"Feb 23, 2021","120.300","120.300","120.300","120.300","0.35%"
"Feb 22, 2021","119.880","119.880","119.880","119.880","-1.59%"
"Feb 19, 2021","121.820","121.820","121.820","121.820","-1.12%"
"Feb 18, 2021","123.200","123.200","123.200","123.200","-0.60%"
"Feb 17, 2021","123.940","123.940","123.940","123.940","-0.52%"
"Feb 16, 2021","124.590","124.590","124.590","124.590","-0.30%"
"Feb 15, 2021","124.960","124.960","124.960","124.960","1.42%"
"Feb 12, 2021","123.210","123.210","123.210","123.210","-0.27%"
"Feb 11, 2021","123.540","123.540","123.540","123.540","0.15%"
"Feb 10, 2021","123.350","123.350","123.350","123.350","0.24%"
"Feb 09, 2021","123.060","123.060","123.060","123.060","0.04%"
"Feb 08, 2021","123.010","123.010","123.010","123.010","0.94%"
"Feb 05, 2021","121.870","121.870","121.870","121.870","-0.32%"
"Feb 04, 2021","122.260","122.260","122.260","122.260","1.19%"
"Feb 03, 2021","120.820","120.820","120.820","120.820","0.78%"
"Feb 02, 2021","119.880","119.880","119.880","119.880","2.23%"
"Feb 01, 2021","117.270","117.270","117.270","117.270","4.12%"
"Jan 29, 2021","112.630","112.630","112.630","112.630","-1.17%"
"Jan 28, 2021","113.960","113.960","113.960","113.960","-0.72%"
"Jan 27, 2021","114.790","114.790","114.790","114.790","-1.47%"
"Jan 25, 2021","116.500","116.500","116.500","116.500","-0.56%"
"Jan 22, 2021","117.160","117.160","117.160","117.160","-0.97%"
"Jan 21, 2021","118.310","118.310","118.310","118.310","-0.40%"
"Jan 20, 2021","118.780","118.780","118.780","118.780","0.53%"
"Jan 19, 2021","118.150","118.150","118.150","118.150","1.66%"
"Jan 18, 2021","116.220","116.220","116.220","116.220","-1.27%"
"Jan 15, 2021","117.720","117.720","117.720","117.720","-0.93%"
"Jan 14, 2021","118.830","118.830","118.830","118.830","0.08%"
"Jan 13, 2021","118.740","118.740","118.740","118.740","-0.21%"
"Jan 12, 2021","118.990","118.990","118.990","118.990","0.22%"
"Jan 11, 2021","118.730","118.730","118.730","118.730","0.61%"
"Jan 08, 2021","118.010","118.010","118.010","118.010","1.33%"
"Jan 07, 2021","116.460","116.460","116.460","116.460","0.09%"
"Jan 06, 2021","116.350","116.350","116.350","116.350","0.10%"
"Jan 05, 2021","116.230","116.230","116.230","116.230","0.80%"
"Jan 04, 2021","115.310","115.310","115.310","115.310","0.68%"
"Jan 01, 2021","114.530","114.530","114.530","114.530","0.44%"
"Dec 31, 2020","114.030","114.030","114.030","114.030","0.28%"
"Dec 30, 2020","113.710","113.710","113.710","113.710","0.57%"
"Dec 29, 2020","113.060","113.060","113.060","113.060","0.30%"
"Dec 28, 2020","112.720","112.720","112.720","112.720","0.77%"
"Dec 24, 2020","111.860","111.860","111.860","111.860","0.93%"
"Dec 23, 2020","110.830","110.830","110.830","110.830","1.29%"
"Dec 22, 2020","109.420","109.420","109.420","109.420","0.86%"
"Dec 21, 2020","108.490","108.490","108.490","108.490","-3.43%"
"Dec 18, 2020","112.340","112.340","112.340","112.340","0.14%"
"Dec 17, 2020","112.180","112.180","112.180","112.180","0.13%"
"Dec 16, 2020","112.030","112.030","112.030","112.030","0.76%"
"Dec 15, 2020","111.190","111.190","111.190","111.190","0.09%"
"Dec 14, 2020","111.090","111.090","111.090","111.090","0.34%"
"Dec 11, 2020","110.710","110.710","110.710","110.710","0.07%"
"Dec 10, 2020","110.630","110.630","110.630","110.630","0.16%"
"Dec 09, 2020","110.450","110.450","110.450","110.450","0.50%"
"Dec 08, 2020","109.900","109.900","109.900","109.900","0.09%"
"Dec 07, 2020","109.800","109.800","109.800","109.800","0.78%"
"Dec 04, 2020","108.950","108.950","108.950","108.950","0.97%"
"Dec 03, 2020","107.900","107.900","107.900","107.900","0.28%"
"Dec 02, 2020","107.600","107.600","107.600","107.600","0.25%"
"Dec 01, 2020","107.330","107.330","107.330","107.330","0.86%"
"Nov 27, 2020","106.410","106.410","106.410","106.410","0.74%"
"Nov 26, 2020","105.630","105.630","105.630","105.630","0.95%"
"Nov 25, 2020","104.640","104.640","104.640","104.640","-1.54%"
"Nov 24, 2020","106.280","106.280","106.280","106.280","0.92%"
"Nov 23, 2020","105.310","105.310","105.310","105.310","0.16%"
"Nov 20, 2020","105.140","105.140","105.140","105.140","1.34%"
"Nov 19, 2020","103.750","103.750","103.750","103.750","-0.89%"
"Nov 18, 2020","104.680","104.680","104.680","104.680","0.57%"
"Nov 17, 2020","104.090","104.090","104.090","104.090","1.22%"
"Nov 13, 2020","102.840","102.840","102.840","102.840","0.77%"
"Nov 12, 2020","102.050","102.050","102.050","102.050","0.07%"
"Nov 11, 2020","101.980","101.980","101.980","101.980","1.03%"
"Nov 10, 2020","100.940","100.940","100.940","100.940","0.83%"
"Nov 09, 2020","100.110","100.110","100.110","100.110","1.45%"
"Nov 06, 2020","98.680","98.680","98.680","98.680","0.36%"
"Nov 05, 2020","98.330","98.330","98.330","98.330","1.51%"
"Nov 04, 2020","96.870","96.870","96.870","96.870","0.61%"
"Nov 03, 2020","96.280","96.280","96.280","96.280","1.17%"
"Nov 02, 2020","95.170","95.170","95.170","95.170","0.97%"
"Oct 30, 2020","94.260","94.260","94.260","94.260","-0.46%"
"Oct 29, 2020","94.700","94.700","94.700","94.700","-0.38%"
"Oct 28, 2020","95.060","95.060","95.060","95.060","-0.82%"
"Oct 27, 2020","95.850","95.850","95.850","95.850","1.57%"
"Oct 26, 2020","94.370","94.370","94.370","94.370","-0.94%"
"Oct 23, 2020","95.270","95.270","95.270","95.270","0.71%"
"Oct 22, 2020","94.600","94.600","94.600","94.600","-0.17%"
"Oct 21, 2020","94.760","94.760","94.760","94.760","0.12%"
"Oct 20, 2020","94.650","94.650","94.650","94.650","0.23%"
"Oct 19, 2020","94.430","94.430","94.430","94.430","0.88%"
"Oct 16, 2020","93.610","93.610","93.610","93.610","0.86%"
"Oct 15, 2020","92.810","92.810","92.810","92.810","-1.80%"
"Oct 14, 2020","94.510","94.510","94.510","94.510","0.82%"
"Oct 13, 2020","93.740","93.740","93.740","93.740","-0.55%"
"Oct 12, 2020","94.260","94.260","94.260","94.260","-0.39%"
"Oct 09, 2020","94.630","94.630","94.630","94.630","0.11%"
"Oct 08, 2020","94.530","94.530","94.530","94.530","0.25%"
"Oct 07, 2020","94.290","94.290","94.290","94.290","0.24%"
"Oct 06, 2020","94.060","94.060","94.060","94.060","0.76%"
"Oct 05, 2020","93.350","93.350","93.350","93.350","-0.09%"
"Oct 01, 2020","93.430","93.430","93.430","93.430","1.30%"
"Sep 30, 2020","92.230","92.230","92.230","92.230","0.63%"
"Sep 29, 2020","91.650","91.650","91.650","91.650","1.90%"
"Sep 25, 2020","89.940","89.940","89.940","89.940","2.40%"
"Sep 24, 2020","87.830","87.830","87.830","87.830","-1.98%"
"Sep 23, 2020","89.600","89.600","89.600","89.600","-0.54%"
"Sep 22, 2020","90.090","90.090","90.090","90.090","-0.99%"
"Sep 21, 2020","90.990","90.990","90.990","90.990","-3.28%"
"Sep 18, 2020","94.080","94.080","94.080","94.080","0.02%"
"Sep 17, 2020","94.060","94.060","94.060","94.060","-0.60%"
"Sep 16, 2020","94.630","94.630","94.630","94.630","0.73%"
"Sep 15, 2020","93.940","93.940","93.940","93.940","1.17%"
"Sep 11, 2020","92.850","92.850","92.850","92.850","0.23%"
"Sep 10, 2020","92.640","92.640","92.640","92.640","0.64%"
"Sep 09, 2020","92.050","92.050","92.050","92.050","-0.54%"
"Sep 08, 2020","92.550","92.550","92.550","92.550","-0.95%"
"Sep 07, 2020","93.440","93.440","93.440","93.440","-0.28%"
"Sep 04, 2020","93.700","93.700","93.700","93.700","-1.46%"
"Sep 03, 2020","95.090","95.090","95.090","95.090","0.28%"
"Sep 02, 2020","94.820","94.820","94.820","94.820","0.63%"
"Sep 01, 2020","94.230","94.230","94.230","94.230","1.01%"
"Aug 31, 2020","93.290","93.290","93.290","93.290","-1.50%"
"Aug 25, 2020","94.710","94.710","94.710","94.710","1.15%"
"Aug 21, 2020","93.630","93.630","93.630","93.630","0.70%"
"Aug 20, 2020","92.980","92.980","92.980","92.980","-0.42%"
"Aug 19, 2020","93.370","93.370","93.370","93.370","0.27%"
"Aug 18, 2020","93.120","93.120","93.120","93.120","1.48%"
"Aug 17, 2020","91.760","91.760","91.760","91.760","0.54%"
"Aug 14, 2020","91.270","91.270","91.270","91.270","-1.18%"
"Aug 13, 2020","92.360","92.360","92.360","92.360","0.37%"
"Aug 12, 2020","92.020","92.020","92.020","92.020","-0.32%"
"Aug 11, 2020","92.320","92.320","92.320","92.320","0.04%"
"Aug 10, 2020","92.280","92.280","92.280","92.280","0.62%"
"Aug 07, 2020","91.710","91.710","91.710","91.710","0.74%"
"Aug 06, 2020","91.040","91.040","91.040","91.040","0.82%"
"Aug 05, 2020","90.300","90.300","90.300","90.300","0.59%"
"Aug 04, 2020","89.770","89.770","89.770","89.770","1.23%"
"Aug 03, 2020","88.680","88.680","88.680","88.680","-0.79%"
"Jul 31, 2020","89.390","89.390","89.390","89.390","0.07%"
"Jul 30, 2020","89.330","89.330","89.330","89.330","-0.60%"
"Jul 29, 2020","89.870","89.870","89.870","89.870","0.35%"
"Jul 28, 2020","89.560","89.560","89.560","89.560","1.05%"
"Jul 27, 2020","88.630","88.630","88.630","88.630","-1.12%"
"Jul 24, 2020","89.630","89.630","89.630","89.630","-0.94%"
"Jul 23, 2020","90.480","90.480","90.480","90.480","0.61%"
"Jul 22, 2020","89.930","89.930","89.930","89.930","-0.28%"
"Jul 21, 2020","90.180","90.180","90.180","90.180","0.27%"
"Jul 20, 2020","89.940","89.940","89.940","89.940","0.86%"
"Jul 17, 2020","89.170","89.170","89.170","89.170","1.32%"
"Jul 16, 2020","88.010","88.010","88.010","88.010","0.53%"
"Jul 15, 2020","87.550","87.550","87.550","87.550","-0.15%"
"Jul 14, 2020","87.680","87.680","87.680","87.680","-1.32%"
"Jul 13, 2020","88.850","88.850","88.850","88.850","-0.01%"
"Jul 10, 2020","88.860","88.860","88.860","88.860","-0.57%"
"Jul 09, 2020","89.370","89.370","89.370","89.370","0.64%"
"Jul 08, 2020","88.800","88.800","88.800","88.800","-0.52%"
"Jul 07, 2020","89.260","89.260","89.260","89.260","0.39%"
"Jul 06, 2020","88.910","88.910","88.910","88.910","1.02%"
"Jul 03, 2020","88.010","88.010","88.010","88.010","0.49%"
"Jul 02, 2020","87.580","87.580","87.580","87.580","0.66%"
"Jul 01, 2020","87.010","87.010","87.010","87.010","0.53%"
"Jun 30, 2020","86.550","86.550","86.550","86.550","0.38%"
"Jun 29, 2020","86.220","86.220","86.220","86.220","-0.58%"
"Jun 26, 2020","86.720","86.720","86.720","86.720","-0.24%"
"Jun 25, 2020","86.930","86.930","86.930","86.930","0.63%"
"Jun 24, 2020","86.390","86.390","86.390","86.390","-1.55%"
"Jun 23, 2020","87.750","87.750","87.750","87.750","1.60%"
"Jun 22, 2020","86.370","86.370","86.370","86.370","1.10%"
"Jun 19, 2020","85.430","85.430","85.430","85.430","1.30%"
"Jun 18, 2020","84.330","84.330","84.330","84.330","1.24%"
"Jun 17, 2020","83.300","83.300","83.300","83.300","0.02%"
"Jun 16, 2020","83.280","83.280","83.280","83.280","-0.96%"
"Jun 12, 2020","84.090","84.090","84.090","84.090","0.79%"
"Jun 11, 2020","83.430","83.430","83.430","83.430","-1.80%"
"Jun 10, 2020","84.960","84.960","84.960","84.960","0.35%"
"Jun 09, 2020","84.660","84.660","84.660","84.660","-0.89%"
"Jun 08, 2020","85.420","85.420","85.420","85.420","-0.19%"
"Jun 05, 2020","85.580","85.580","85.580","85.580","1.30%"
"Jun 04, 2020","84.480","84.480","84.480","84.480","-0.47%"
"Jun 03, 2020","84.880","84.880","84.880","84.880","0.70%"
"Jun 02, 2020","84.290","84.290","84.290","84.290","1.38%"
"Jun 01, 2020","83.140","83.140","83.140","83.140","2.39%"
"May 29, 2020","81.200","81.200","81.200","81.200","1.78%"
"May 28, 2020","79.780","79.780","79.780","79.780","1.71%"
"May 27, 2020","78.440","78.440","78.440","78.440","1.41%"
"May 26, 2020","77.350","77.350","77.350","77.350","0.43%"
"May 22, 2020","77.020","77.020","77.020","77.020","-0.91%"
"May 21, 2020","77.730","77.730","77.730","77.730","0.87%"
"May 20, 2020","77.060","77.060","77.060","77.060","1.90%"
"May 19, 2020","75.620","75.620","75.620","75.620","1.04%"
"May 18, 2020","74.840","74.840","74.840","74.840","-3.89%"
"May 15, 2020","77.870","77.870","77.870","77.870","-0.24%"
"May 14, 2020","78.060","78.060","78.060","78.060","-0.89%"
"May 13, 2020","78.760","78.760","78.760","78.760","1.43%"
"May 12, 2020","77.650","77.650","77.650","77.650","0.09%"
"May 11, 2020","77.580","77.580","77.580","77.580","-0.03%"
"May 08, 2020","77.600","77.600","77.600","77.600","0.39%"
"May 07, 2020","77.300","77.300","77.300","77.300","-1.00%"
"May 06, 2020","78.080","78.080","78.080","78.080","0.92%"
"May 05, 2020","77.370","77.370","77.370","77.370","-1.74%"
"May 04, 2020","78.740","78.740","78.740","78.740","-2.74%"
"Apr 29, 2020","80.960","80.960","80.960","80.960","1.19%"
"Apr 28, 2020","80.010","80.010","80.010","80.010","0.67%"
"Apr 27, 2020","79.480","79.480","79.480","79.480","1.58%"
"Apr 24, 2020","78.240","78.240","78.240","78.240","-1.65%"
"Apr 23, 2020","79.550","79.550","79.550","79.550","0.59%"
"Apr 22, 2020","79.080","79.080","79.080","79.080","1.22%"
"Apr 21, 2020","78.130","78.130","78.130","78.130","-2.35%"
"Apr 20, 2020","80.010","80.010","80.010","80.010","-0.67%"
"Apr 17, 2020","80.550","80.550","80.550","80.550","2.40%"
"Apr 16, 2020","78.660","78.660","78.660","78.660","1.05%"
"Apr 15, 2020","77.840","77.840","77.840","77.840","0.26%"
"Apr 13, 2020","77.640","77.640","77.640","77.640","-1.62%"
"Apr 09, 2020","78.920","78.920","78.920","78.920","4.02%"
"Apr 08, 2020","75.870","75.870","75.870","75.870","0.73%"
"Apr 07, 2020","75.320","75.320","75.320","75.320","6.87%"
"Apr 03, 2020","70.480","70.480","70.480","70.480","-1.50%"
"Apr 01, 2020","71.550","71.550","71.550","71.550","-2.98%"
"Mar 31, 2020","73.750","73.750","73.750","73.750","2.92%"
"Mar 30, 2020","71.660","71.660","71.660","71.660","-2.77%"
"Mar 27, 2020","73.700","73.700","73.700","73.700","-0.30%"
"Mar 26, 2020","73.920","73.920","73.920","73.920","3.92%"
"Mar 25, 2020","71.130","71.130","71.130","71.130","4.94%"
"Mar 24, 2020","67.780","67.780","67.780","67.780","1.47%"
"Mar 23, 2020","66.800","66.800","66.800","66.800","-13.10%"
"Mar 20, 2020","76.870","76.870","76.870","76.870","4.41%"
"Mar 19, 2020","73.620","73.620","73.620","73.620","-1.88%"
"Mar 18, 2020","75.030","75.030","75.030","75.030","-5.69%"
"Mar 17, 2020","79.560","79.560","79.560","79.560","-2.13%"
"Mar 16, 2020","81.290","81.290","81.290","81.290","-6.23%"
"Mar 13, 2020","86.690","86.690","86.690","86.690","2.63%"
"Mar 12, 2020","84.470","84.470","84.470","84.470","-6.96%"
"Mar 11, 2020","90.790","90.790","90.790","90.790","-0.22%"
"Mar 09, 2020","90.990","90.990","90.990","90.990","-3.55%"
"Mar 06, 2020","94.340","94.340","94.340","94.340","-2.10%"
"Mar 05, 2020","96.360","96.360","96.360","96.360","0.50%"
"Mar 04, 2020","95.880","95.880","95.880","95.880","-0.98%"
"Mar 03, 2020","96.830","96.830","96.830","96.830","1.34%"
"Mar 02, 2020","95.550","95.550","95.550","95.550","-1.10%"
"Feb 28, 2020","96.610","96.610","96.610","96.610","-2.50%"
"Feb 27, 2020","99.090","99.090","99.090","99.090","-0.26%"
"Feb 26, 2020","99.350","99.350","99.350","99.350","-0.66%"
"Feb 25, 2020","100.010","100.010","100.010","100.010","-0.16%"
"Feb 24, 2020","100.170","100.170","100.170","100.170","-1.69%"
"Feb 20, 2020","101.890","101.890","101.890","101.890","0.06%"
"Feb 19, 2020","101.830","101.830","101.830","101.830","1.12%"
"Feb 18, 2020","100.700","100.700","100.700","100.700","-0.24%"
"Feb 17, 2020","100.940","100.940","100.940","100.940","-0.56%"
