"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 15, 2021","5.71","5.71","5.71","5.71","0.00K","0.00%"
"Apr 08, 2021","5.71","5.71","5.71","5.71","0.11K","4.96%"
"Apr 07, 2021","5.44","5.70","5.70","5.44","0.09K","-4.56%"
"Apr 06, 2021","5.70","5.70","5.70","5.70","0.03K","0.00%"
"Mar 31, 2021","5.70","5.90","5.90","5.70","0.25K","-5.00%"
"Mar 30, 2021","6.00","6.00","6.00","6.00","0.00K","-2.28%"
"Mar 26, 2021","6.14","6.14","6.14","6.14","2.00K","-4.95%"
"Mar 25, 2021","6.46","6.46","6.46","6.46","0.18K","-5.00%"
"Mar 23, 2021","6.80","6.80","6.80","6.80","0.06K","-4.90%"
"Mar 22, 2021","7.15","7.89","7.89","7.15","0.22K","-4.92%"
"Mar 19, 2021","7.52","7.55","7.55","7.52","0.01K","1.62%"
"Mar 18, 2021","7.40","7.40","7.40","7.40","0.01K","4.96%"
"Mar 16, 2021","7.05","7.71","7.71","7.05","14.42K","-4.08%"
"Mar 15, 2021","7.35","7.35","7.35","7.35","1.44K","5.00%"
"Mar 12, 2021","7.00","7.00","7.00","7.00","12.90K","4.95%"
"Mar 10, 2021","6.67","6.67","6.67","6.67","0.10K","4.87%"
"Mar 09, 2021","6.36","6.36","6.36","6.36","0.10K","4.95%"
"Mar 08, 2021","6.06","6.06","6.06","6.06","0.06K","4.84%"
"Mar 05, 2021","5.78","5.78","5.78","5.78","0.03K","4.90%"
"Mar 04, 2021","5.51","5.51","5.51","5.51","0.39K","4.95%"
"Mar 03, 2021","5.25","5.25","5.25","5.25","20.01K","5.00%"
"Feb 25, 2021","5.00","5.00","5.00","5.00","0.10K","0.00%"
"Feb 23, 2021","5.00","5.00","5.00","5.00","1.10K","-1.38%"
"Feb 22, 2021","5.07","5.07","5.07","5.07","5.10K","-4.88%"
"Feb 10, 2021","5.33","5.33","5.33","5.33","1.20K","4.92%"
"Feb 09, 2021","5.08","5.08","5.08","5.08","0.20K","4.96%"
"Feb 08, 2021","4.84","5.09","5.09","4.84","0.13K","-4.91%"
"Feb 05, 2021","5.09","5.09","5.09","5.09","0.13K","0.00%"
"Feb 04, 2021","5.09","5.09","5.09","5.09","0.10K","-4.86%"
"Feb 02, 2021","5.35","5.35","5.35","5.35","0.06K","-4.97%"
"Jan 29, 2021","5.63","5.63","5.63","5.63","0.01K","-4.90%"
"Jan 28, 2021","5.92","5.92","5.92","5.92","0.01K","-4.98%"
"Jan 19, 2021","6.23","6.23","6.23","6.23","0.31K","0.00%"
"Jan 14, 2021","6.23","6.23","6.23","6.23","0.00K","-4.89%"
"Jan 12, 2021","6.55","6.25","6.55","6.23","0.26K","0.00%"
"Jan 11, 2021","6.55","6.55","6.55","6.55","0.50K","-0.15%"
"Jan 06, 2021","6.56","6.25","6.56","6.25","0.99K","4.96%"
"Jan 05, 2021","6.25","6.25","6.25","6.25","1.30K","0.00%"
"Jan 01, 2021","6.25","6.25","6.25","6.25","2.00K","1.13%"
"Dec 31, 2020","6.18","6.18","6.18","5.60","1.23K","4.92%"
"Dec 30, 2020","5.89","5.89","5.89","5.89","0.01K","4.99%"
"Dec 29, 2020","5.61","5.90","5.90","5.61","0.50K","-4.92%"
"Dec 24, 2020","5.90","5.90","5.90","5.90","0.10K","3.51%"
"Dec 23, 2020","5.70","5.70","5.70","5.70","0.50K","-4.84%"
"Dec 17, 2020","5.99","5.99","5.99","5.99","0.10K","-4.92%"
"Dec 15, 2020","6.30","6.30","6.30","6.30","0.26K","-4.98%"
"Dec 11, 2020","6.63","6.63","6.63","6.63","0.06K","0.00%"
"Dec 10, 2020","6.63","6.63","6.63","6.63","0.10K","0.00%"
"Dec 04, 2020","6.63","6.01","6.63","6.01","0.14K","4.91%"
"Dec 01, 2020","6.32","6.32","6.32","6.32","0.20K","-4.96%"
"Nov 11, 2020","6.65","6.65","6.65","6.65","0.10K","-5.00%"
"Oct 27, 2020","7.00","7.00","7.00","7.00","0.10K","0.00%"
"Oct 09, 2020","7.00","7.00","7.00","7.00","2.67K","-4.76%"
"Oct 06, 2020","7.35","7.00","7.35","7.00","0.60K","5.00%"
"Oct 05, 2020","7.00","7.00","7.00","7.00","0.35K","0.00%"
"Sep 30, 2020","7.00","7.00","7.00","7.00","3.10K","0.00%"
"Sep 29, 2020","7.00","7.00","7.00","7.00","1.94K","-3.45%"
"Sep 25, 2020","7.25","7.25","7.25","7.25","0.10K","0.00%"
"Sep 24, 2020","7.25","7.25","7.25","7.25","0.10K","0.00%"
"Sep 21, 2020","7.25","7.25","7.25","7.25","0.10K","0.00%"
"Sep 18, 2020","7.25","7.25","7.25","7.25","2.50K","-2.03%"
"Sep 15, 2020","7.40","7.00","7.40","7.00","3.90K","4.96%"
"Sep 14, 2020","7.05","7.10","7.10","7.05","0.70K","0.00%"
"Sep 11, 2020","7.05","7.05","7.05","7.05","0.20K","0.00%"
"Sep 09, 2020","7.05","7.05","7.05","7.05","1.08K","0.00%"
"Sep 08, 2020","7.05","7.05","7.05","7.05","0.11K","0.00%"
"Sep 07, 2020","7.05","7.05","7.05","7.05","0.13K","0.00%"
"Sep 04, 2020","7.05","7.05","7.05","7.05","0.10K","-4.73%"
"Sep 03, 2020","7.40","7.40","7.40","7.40","1.10K","1.09%"
"Sep 02, 2020","7.32","7.32","7.32","7.32","0.43K","4.87%"
"Sep 01, 2020","6.98","6.32","6.98","6.32","0.56K","4.96%"
"Aug 31, 2020","6.65","6.65","6.65","6.65","0.00K","-4.73%"
"Aug 28, 2020","6.98","6.65","6.98","6.65","1.32K","-0.29%"
"Aug 27, 2020","7.00","6.72","7.00","6.72","1.01K","-0.99%"
"Aug 26, 2020","7.07","7.07","7.07","7.07","0.00K","-4.97%"
"Aug 25, 2020","7.44","7.10","7.45","7.10","0.05K","-0.13%"
"Aug 24, 2020","7.45","8.19","8.19","7.41","4.26K","-4.49%"
"Aug 21, 2020","7.80","7.80","7.80","7.12","2.65K","4.14%"
"Aug 20, 2020","7.49","7.49","7.49","6.85","1.25K","4.61%"
"Aug 19, 2020","7.16","7.15","7.49","7.15","3.34K","0.28%"
"Aug 18, 2020","7.14","6.50","7.14","6.50","3.33K","5.00%"
"Aug 17, 2020","6.80","6.48","6.80","6.16","1.82K","4.94%"
"Aug 14, 2020","6.48","6.48","6.48","6.48","0.00K","4.85%"
"Aug 13, 2020","6.18","6.18","6.18","5.75","8.15K","4.92%"
"Aug 12, 2020","5.89","5.35","5.91","5.35","3.69K","4.62%"
"Aug 11, 2020","5.63","5.63","5.63","5.63","0.51K","-4.90%"
"Aug 10, 2020","5.92","5.92","5.92","5.92","0.01K","-4.98%"
"Aug 06, 2020","6.23","6.23","6.23","6.23","0.00K","-4.89%"
"Aug 05, 2020","6.55","6.55","6.55","6.55","0.00K","-4.93%"
"Aug 04, 2020","6.89","6.89","6.89","6.89","0.01K","-4.97%"
"Jul 28, 2020","7.25","7.25","7.25","7.25","0.00K","-4.98%"
"Jul 20, 2020","7.63","7.63","7.63","7.63","0.07K","-4.98%"
"Jul 17, 2020","8.03","8.03","8.03","8.03","0.01K","-4.97%"
"Jul 15, 2020","8.45","8.00","8.45","7.66","1.12K","4.84%"
"Jul 14, 2020","8.06","8.09","8.09","8.00","1.32K","4.54%"
"Jul 13, 2020","7.71","7.71","7.71","7.71","0.65K","4.90%"
"Jul 10, 2020","7.35","7.35","7.35","7.35","0.05K","5.00%"
"Jul 09, 2020","7.00","7.00","7.00","7.00","0.00K","4.48%"
"Jul 08, 2020","6.70","7.25","7.25","6.70","0.25K","-4.96%"
"Jul 07, 2020","7.05","7.78","7.78","7.05","5.75K","-4.86%"
"Jul 06, 2020","7.41","7.41","7.41","7.41","0.20K","4.96%"
"Jul 03, 2020","7.06","6.74","7.06","6.74","0.15K","4.75%"
"Jul 02, 2020","6.74","6.74","6.74","6.74","0.50K","4.98%"
"Jul 01, 2020","6.42","6.42","6.42","6.42","1.24K","4.90%"
"Jun 30, 2020","6.12","5.54","6.12","5.54","0.12K","4.97%"
"Jun 29, 2020","5.83","5.83","5.83","5.83","0.10K","4.86%"
"Jun 26, 2020","5.56","5.56","5.56","5.56","0.60K","4.91%"
"Jun 25, 2020","5.30","5.30","5.30","5.30","0.60K","4.95%"
"Jun 24, 2020","5.05","5.05","5.05","5.05","0.40K","4.99%"
"Jun 23, 2020","4.81","4.81","4.81","4.81","0.20K","4.79%"
"Jun 22, 2020","4.59","4.59","4.59","4.59","0.10K","4.79%"
"Jun 19, 2020","4.38","4.38","4.38","4.37","0.52K","4.78%"
"Jun 18, 2020","4.18","4.18","4.18","4.18","0.00K","4.76%"
"Jun 16, 2020","3.99","4.38","4.38","3.99","0.20K","-4.55%"
"Jun 12, 2020","4.18","3.80","4.18","3.80","1.00K","4.76%"
"Jun 05, 2020","3.99","3.99","3.99","3.99","0.15K","-4.77%"
"Jun 04, 2020","4.19","4.19","4.19","4.19","0.00K","0.00%"
"Jun 03, 2020","4.19","4.18","4.62","4.18","0.60K","-4.77%"
"May 28, 2020","4.40","4.40","4.40","4.40","0.10K","-3.30%"
"May 27, 2020","4.55","4.46","4.55","4.46","0.70K","-2.99%"
"May 26, 2020","4.69","4.47","4.69","4.47","1.44K","4.92%"
"May 22, 2020","4.47","4.47","4.47","4.47","0.03K","-4.89%"
"May 21, 2020","4.70","4.70","4.70","4.70","6.33K","-4.86%"
"May 20, 2020","4.94","4.94","4.94","4.94","0.13K","-5.00%"
"May 19, 2020","5.20","5.20","5.20","5.20","0.11K","-4.94%"
"May 18, 2020","5.47","5.75","5.75","5.47","0.04K","-4.87%"
"May 14, 2020","5.75","5.75","5.75","5.75","0.10K","-4.96%"
"May 13, 2020","6.05","6.05","6.05","6.05","0.10K","-4.87%"
"May 08, 2020","6.36","6.36","6.36","6.36","0.01K","0.00%"
"May 05, 2020","6.36","6.60","6.60","6.36","0.08K","-4.93%"
"May 04, 2020","6.69","7.35","7.35","6.69","0.03K","-4.97%"
"Apr 24, 2020","7.04","7.04","7.04","7.04","0.50K","0.00%"
"Apr 22, 2020","7.04","7.04","7.04","7.04","0.10K","0.00%"
"Apr 21, 2020","7.04","7.04","7.04","7.04","0.12K","-4.99%"
"Apr 13, 2020","7.41","7.04","7.41","7.04","0.34K","0.00%"
"Apr 09, 2020","7.41","7.41","7.41","7.41","0.00K","-5.00%"
"Mar 31, 2020","7.80","7.80","7.80","7.80","0.00K","-4.99%"
"Mar 30, 2020","8.21","8.21","8.21","8.21","0.01K","0.00%"
"Mar 25, 2020","8.21","8.21","8.21","8.21","0.03K","4.99%"
"Mar 24, 2020","7.82","7.45","7.82","7.45","0.01K","4.97%"
"Mar 20, 2020","7.45","7.45","7.45","7.45","0.00K","-4.97%"
"Mar 17, 2020","7.84","7.84","7.84","7.84","0.10K","-4.97%"
"Mar 02, 2020","8.25","7.98","8.37","7.98","0.26K","3.38%"
"Feb 27, 2020","7.98","7.98","7.98","7.59","0.31K","0.00%"
"Feb 26, 2020","7.98","7.98","7.98","7.98","0.03K","-4.89%"
"Feb 24, 2020","8.39","8.39","8.39","8.39","0.00K","-4.98%"
"Feb 20, 2020","8.83","8.83","8.83","8.83","0.10K","-4.95%"
"Feb 19, 2020","9.29","10.25","10.25","9.29","0.06K","-4.91%"
"Feb 18, 2020","9.77","9.77","9.77","9.77","0.01K","4.94%"
"Feb 17, 2020","9.31","10.29","10.29","9.31","0.28K","-5.00%"
"Feb 14, 2020","9.80","9.80","9.80","9.80","0.01K","4.93%"
"Feb 13, 2020","9.34","9.34","9.34","9.34","0.01K","4.94%"
"Feb 12, 2020","8.90","8.90","8.90","8.90","0.01K","4.71%"
"Feb 11, 2020","8.50","8.45","8.85","8.03","0.43K","0.59%"
"Feb 10, 2020","8.45","8.20","8.50","7.70","0.34K","4.32%"
"Feb 07, 2020","8.10","8.10","8.10","8.10","0.01K","3.05%"
"Feb 06, 2020","7.86","7.13","7.86","7.13","0.61K","4.80%"
"Feb 05, 2020","7.50","7.13","7.50","7.13","0.20K","0.00%"
"Feb 04, 2020","7.50","7.60","7.98","7.50","1.11K","-1.32%"
"Feb 03, 2020","7.60","7.60","7.60","7.60","0.10K","-4.88%"
"Feb 01, 2020","7.99","7.99","7.99","7.99","-","1.40%"
"Jan 31, 2020","7.88","8.10","8.10","7.40","0.39K","1.29%"
"Jan 30, 2020","7.78","7.77","8.15","7.77","0.11K","-4.77%"
"Jan 29, 2020","8.17","9.01","9.01","8.17","0.06K","-4.89%"
"Jan 28, 2020","8.59","8.00","8.59","8.00","0.12K","4.88%"
"Jan 27, 2020","8.19","8.00","8.19","7.47","0.22K","4.20%"
"Jan 24, 2020","7.86","8.25","8.25","7.47","2.86K","0.00%"
"Jan 23, 2020","7.86","8.62","8.62","7.84","1.64K","-4.73%"
"Jan 22, 2020","8.25","8.66","8.66","7.85","0.42K","0.00%"
"Jan 21, 2020","8.25","8.77","8.77","7.96","4.05K","-1.43%"
"Jan 20, 2020","8.37","8.67","8.67","7.85","1.56K","1.33%"
