"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","29.950","29.950","29.950","29.600","13,86M","-0,17%"
"25.06.2019","30.000","29.600","30.050","29.550","10,03M","0,00%"
"24.06.2019","30.000","29.950","30.000","29.550","11,56M","0,00%"
"21.06.2019","30.000","30.300","30.300","29.650","12,86M","-0,99%"
"20.06.2019","30.300","30.100","30.300","29.600","12,18M","0,17%"
"19.06.2019","30.250","30.000","30.250","29.650","12,56M","-0,49%"
"18.06.2019","30.400","29.600","30.400","29.500","12,51M","0,83%"
"17.06.2019","30.150","30.500","30.500","29.750","10,49M","-1,79%"
"14.06.2019","30.700","30.100","30.700","29.550","10,69M","1,99%"
"13.06.2019","30.100","29.550","30.100","29.500","10,74M","0,00%"
"12.06.2019","30.100","30.650","30.650","29.800","12,01M","-1,79%"
"11.06.2019","30.650","30.300","30.700","30.150","8,56M","-1,13%"
"10.06.2019","31.000","30.000","31.000","29.500","8,81M","3,33%"
"07.06.2019","30.000","29.650","30.000","29.500","10,82M","-0,17%"
"06.06.2019","30.050","30.000","30.050","29.500","12,64M","-0,17%"
"05.06.2019","30.100","29.800","30.100","29.500","6,48M","0,33%"
"04.06.2019","30.000","29.500","30.000","29.300","8,53M","0,67%"
"03.06.2019","29.800","29.600","29.950","29.400","10,76M","-0,50%"
"31.05.2019","29.950","29.500","29.950","29.500","7,57M","0,00%"
"30.05.2019","29.950","30.000","30.100","29.550","4,74M","-0,17%"
"29.05.2019","30.000","30.300","30.400","29.700","10,01M","-1,32%"
"28.05.2019","30.400","30.000","30.600","29.600","5,41M","0,00%"
"27.05.2019","30.400","29.950","30.400","29.350","11,27M","1,33%"
"24.05.2019","30.000","29.400","30.000","29.300","7,40M","0,00%"
"23.05.2019","30.000","30.700","30.950","30.000","6,62M","-5,06%"
"22.05.2019","31.600","31.800","31.900","31.400","9,55M","-2,62%"
"21.05.2019","32.450","32.550","33.100","32.100","9,75M","-3,13%"
"20.05.2019","33.500","33.050","33.800","33.000","10,65M","-3,74%"
"17.05.2019","34.800","32.000","34.800","31.050","12,61M","6,58%"
"16.05.2019","32.650","31.700","32.650","30.950","9,71M","0,15%"
"15.05.2019","32.600","32.200","34.000","32.000","10,53M","-4,12%"
"14.05.2019","34.000","30.900","34.000","30.100","11,27M","6,25%"
"13.05.2019","32.000","30.000","32.000","29.100","9,98M","6,31%"
"10.05.2019","30.100","30.000","30.100","29.400","10,22M","-0,66%"
"09.05.2019","30.300","30.400","30.400","29.500","9,71M","-0,33%"
"08.05.2019","30.400","30.350","30.400","29.550","8,98M","0,16%"
"07.05.2019","30.350","30.500","30.500","29.750","10,35M","-0,49%"
"06.05.2019","30.500","30.200","30.500","29.950","9,60M","-0,33%"
"03.05.2019","30.600","30.100","30.600","29.950","8,66M","-0,16%"
"02.05.2019","30.650","30.250","30.700","30.050","10,07M","-0,65%"
"26.04.2019","30.850","30.300","30.900","30.200","10,25M","-0,32%"
"25.04.2019","30.950","30.800","31.000","30.250","7,71M","-0,16%"
"24.04.2019","31.000","30.400","31.000","30.250","9,36M","-0,64%"
"23.04.2019","31.200","31.000","31.200","30.200","9,72M","0,65%"
"22.04.2019","31.000","30.600","31.000","30.450","9,09M","-1,59%"
"19.04.2019","31.500","31.300","31.500","30.300","9,29M","0,64%"
"18.04.2019","31.300","30.550","31.300","30.400","10,09M","-0,48%"
"17.04.2019","31.450","30.600","31.450","30.450","8,77M","-0,16%"
"16.04.2019","31.500","30.800","31.500","30.450","7,17M","0,00%"
"12.04.2019","31.500","31.350","31.500","30.500","8,66M","0,16%"
"11.04.2019","31.450","31.400","31.500","31.000","7,86M","-2,02%"
"10.04.2019","32.100","30.800","32.100","30.500","7,18M","2,56%"
"09.04.2019","31.300","31.050","31.300","30.750","7,53M","-0,48%"
"08.04.2019","31.450","31.250","31.650","30.950","7,54M","-0,63%"
"05.04.2019","31.650","31.450","31.800","31.000","6,22M","0,48%"
"04.04.2019","31.500","31.700","31.700","31.200","7,61M","-0,63%"
"03.04.2019","31.700","31.300","31.700","31.200","4,38M","-0,78%"
"02.04.2019","31.950","31.450","31.950","31.250","7,23M","-0,62%"
"01.04.2019","32.150","31.800","32.150","31.100","12,78M","0,47%"
"29.03.2019","32.000","32.300","32.300","31.750","5,83M","-1,84%"
"28.03.2019","32.600","32.550","32.600","31.700","5,98M","0,15%"
"27.03.2019","32.550","32.000","32.600","31.650","7,49M","0,00%"
"26.03.2019","32.550","32.400","32.550","31.650","7,84M","0,46%"
"25.03.2019","32.400","31.700","32.400","31.550","5,00M","0,00%"
"22.03.2019","32.400","32.000","32.700","31.750","6,42M","-1,37%"
"21.03.2019","32.850","31.900","32.850","31.700","6,30M","0,92%"
"20.03.2019","32.550","32.850","32.850","32.000","6,83M","-1,21%"
"19.03.2019","32.950","32.200","32.950","32.000","7,24M","-0,45%"
"18.03.2019","33.100","32.500","33.150","32.000","5,79M","0,30%"
"15.03.2019","33.000","32.650","33.300","32.350","7,66M","-1,49%"
"14.03.2019","33.500","33.450","33.500","32.500","5,51M","0,00%"
"13.03.2019","33.500","33.000","33.500","32.350","5,01M","0,30%"
"12.03.2019","33.400","32.500","33.500","31.650","7,36M","2,30%"
"11.03.2019","32.650","32.800","32.800","32.000","4,27M","-1,06%"
"08.03.2019","33.000","33.000","33.400","32.550","3,20M","-1,49%"
"07.03.2019","33.500","33.000","33.600","32.600","7,01M","-0,74%"
"06.03.2019","33.750","33.650","33.750","32.600","5,16M","0,00%"
"05.03.2019","33.750","33.100","34.000","32.900","5,12M","-0,88%"
"04.03.2019","34.050","34.100","34.200","32.950","6,78M","-0,29%"
"01.03.2019","34.150","33.700","34.500","33.200","5,44M","-1,44%"
"28.02.2019","34.650","35.500","35.500","34.300","4,86M","-2,94%"
"27.02.2019","35.700","35.000","35.750","34.300","5,01M","0,00%"
"26.02.2019","35.700","34.900","35.700","34.200","4,87M","0,56%"
"25.02.2019","35.500","34.500","35.500","33.900","4,40M","1,57%"
"22.02.2019","34.950","34.800","35.100","33.700","4,09M","0,00%"
"21.02.2019","34.950","34.500","34.950","33.550","4,59M","0,43%"
"20.02.2019","34.800","33.900","34.800","33.550","3,56M","0,00%"
"19.02.2019","34.800","33.500","34.800","32.600","3,77M","3,88%"
"18.02.2019","33.500","33.050","33.500","32.700","4,13M","-0,45%"
"15.02.2019","33.650","33.500","33.650","32.800","3,04M","-0,15%"
"14.02.2019","33.700","33.650","33.700","33.000","2,83M","0,00%"
"13.02.2019","33.700","33.200","33.750","32.700","3,74M","0,00%"
"12.02.2019","33.700","32.950","33.700","32.700","2,70M","0,15%"
"11.02.2019","33.650","31.000","33.650","30.950","2,19M","6,32%"
"01.02.2019","31.650","31.450","31.800","30.900","1,74M","0,64%"
"31.01.2019","31.450","30.500","32.000","30.500","1,28M","0,80%"
"30.01.2019","31.200","31.800","32.000","30.950","2,34M","-3,70%"
"29.01.2019","32.400","32.900","32.900","31.900","2,43M","-4,42%"
"28.01.2019","33.900","33.950","34.200","33.850","1,49M","-2,02%"
"25.01.2019","34.600","34.650","34.950","34.500","2,17M","-1,14%"
"24.01.2019","35.000","35.150","35.150","34.650","2,32M","-0,43%"
"23.01.2019","35.150","35.250","35.250","34.800","2,37M","-0,28%"
"22.01.2019","35.250","35.300","35.300","34.850","2,48M","-0,28%"
"21.01.2019","35.350","35.000","35.400","34.900","2,54M","-0,14%"
"18.01.2019","35.400","35.550","35.550","34.900","3,80M","-0,42%"
"17.01.2019","35.550","35.000","35.600","34.900","4,10M","-0,14%"
"16.01.2019","35.600","35.200","35.600","34.900","3,74M","0,42%"
"15.01.2019","35.450","35.050","35.450","34.950","4,29M","-0,70%"
"14.01.2019","35.700","35.200","35.700","34.950","3,63M","-0,28%"
"11.01.2019","35.800","35.100","35.800","34.950","4,37M","-0,28%"
"10.01.2019","35.900","36.000","36.000","34.950","4,71M","-0,28%"
"09.01.2019","36.000","35.700","36.000","34.950","3,52M","0,28%"
"08.01.2019","35.900","35.050","35.900","34.950","3,42M","-0,28%"
"07.01.2019","36.000","35.700","36.150","34.950","3,10M","0,00%"
"04.01.2019","36.000","35.100","36.200","34.850","2,45M","-1,37%"
"03.01.2019","36.500","36.000","36.500","34.950","3,13M","-1,08%"
"02.01.2019","36.900","37.100","37.500","36.300","4,37M","-4,65%"
"28.12.2018","38.700","35.400","39.000","34.850","3,54M","5,31%"
"27.12.2018","36.750","38.000","38.950","36.750","2,67M","-6,49%"
"26.12.2018","39.300","42.000","42.100","39.100","3,37M","-6,43%"
"25.12.2018","42.000","40.100","43.500","40.000","3,67M","0,72%"
"24.12.2018","41.700","37.600","41.700","36.950","3,74M","6,92%"
