"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","15.650","16.000","16.050","15.650","1,41M","-2,80%"
"25.06.2019","16.100","16.200","16.200","16.050","532,78K","-1,23%"
"24.06.2019","16.300","16.300","16.400","16.050","399,08K","1,88%"
"21.06.2019","16.000","16.300","16.300","15.950","6,15M","-1,84%"
"20.06.2019","16.300","16.400","16.400","16.200","1,33M","0,31%"
"19.06.2019","16.250","16.600","16.600","16.250","432,05K","-1,81%"
"18.06.2019","16.550","16.500","16.650","16.450","115,50K","0,30%"
"17.06.2019","16.500","17.100","17.100","16.450","471,76K","-3,79%"
"14.06.2019","17.150","17.400","17.500","17.000","285,71K","-1,15%"
"13.06.2019","17.350","17.600","17.600","17.200","944,94K","0,87%"
"12.06.2019","17.200","17.297","17.540","16.957","798,25K","-0,56%"
"11.06.2019","17.297","17.686","17.686","17.297","169,12K","-2,20%"
"10.06.2019","17.686","17.686","17.783","17.394","283,67K","0,83%"
"07.06.2019","17.540","17.589","17.637","17.394","124,44K","0,27%"
"06.06.2019","17.492","17.686","17.783","17.200","191,91K","-1,10%"
"05.06.2019","17.686","17.783","17.783","17.492","380,98K","1,96%"
"04.06.2019","17.346","17.492","17.686","17.103","338,54K","-0,83%"
"03.06.2019","17.492","17.346","17.734","17.103","696,08K","-2,01%"
"31.05.2019","17.850","18.350","18.550","17.850","607,60K","-2,19%"
"30.05.2019","18.250","18.600","18.600","18.250","241,65K","-1,62%"
"29.05.2019","18.550","18.400","18.650","18.200","293,07K","1,64%"
"28.05.2019","18.250","18.500","18.650","18.100","426,47K","-1,88%"
"27.05.2019","18.600","18.550","18.650","18.400","180,50K","0,27%"
"24.05.2019","18.550","18.500","18.750","18.200","720,41K","0,00%"
"23.05.2019","18.550","17.550","18.550","17.500","779,96K","5,70%"
"22.05.2019","17.550","17.650","17.750","17.550","119,03K","-0,57%"
"21.05.2019","17.650","17.700","17.850","17.650","201,58K","0,57%"
"20.05.2019","17.550","17.550","17.700","17.550","216,94K","0,00%"
"17.05.2019","17.550","17.800","17.900","17.550","254,78K","-1,68%"
"16.05.2019","17.850","17.800","18.000","17.800","138,20K","-0,28%"
"15.05.2019","17.900","17.650","17.900","17.650","135,46K","1,42%"
"14.05.2019","17.650","17.700","17.950","17.500","271,90K","-0,28%"
"13.05.2019","17.700","17.500","17.900","17.500","121,08K","-1,12%"
"10.05.2019","17.900","17.950","17.950","17.700","127,32K","1,70%"
"09.05.2019","17.600","17.550","17.900","17.550","98,30K","0,57%"
"08.05.2019","17.500","18.000","18.000","17.500","189,83K","-2,78%"
"07.05.2019","18.000","17.700","18.050","17.400","367,38K","1,69%"
"06.05.2019","17.700","18.000","18.000","17.700","136,84K","-2,48%"
"03.05.2019","18.150","18.100","18.150","18.000","283,25K","0,55%"
"02.05.2019","18.050","18.100","18.150","17.800","268,14K","0,28%"
"26.04.2019","18.000","17.900","18.000","17.800","139,40K","-0,28%"
"25.04.2019","18.050","18.000","18.100","17.800","78,77K","0,28%"
"24.04.2019","18.000","17.700","18.100","17.700","216,35K","1,69%"
"23.04.2019","17.700","17.050","17.850","17.050","473,71K","3,81%"
"22.04.2019","17.050","17.600","17.600","17.050","237,30K","-2,85%"
"19.04.2019","17.550","17.550","17.550","17.350","286,00K","0,00%"
"18.04.2019","17.550","17.950","18.050","17.550","360,34K","-2,77%"
"17.04.2019","18.050","18.200","18.200","18.000","138,85K","-0,28%"
"16.04.2019","18.100","18.300","18.300","17.900","416,16K","-1,09%"
"12.04.2019","18.300","18.350","18.350","18.150","214,39K","0,55%"
"11.04.2019","18.200","18.400","18.500","18.150","138,33K","0,00%"
"10.04.2019","18.200","18.600","18.600","18.200","350,22K","-2,15%"
"09.04.2019","18.600","19.000","19.000","18.600","210,46K","-1,85%"
"08.04.2019","18.950","18.600","19.100","18.600","184,27K","1,88%"
"05.04.2019","18.600","18.800","18.800","18.500","312,79K","-1,06%"
"04.04.2019","18.800","19.200","19.200","18.700","540,17K","-2,08%"
"03.04.2019","19.200","19.200","19.300","19.150","159,21K","-0,26%"
"02.04.2019","19.250","19.550","19.550","19.200","110,82K","-1,53%"
"01.04.2019","19.550","19.500","19.600","19.250","185,99K","-0,26%"
"29.03.2019","19.600","19.250","19.600","19.200","529,75K","1,82%"
"28.03.2019","19.250","19.850","19.850","19.100","543,23K","-2,78%"
