"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","92.800","91.800","93.300","91.200","761,46K","1,09%"
"25.06.2019","91.800","91.400","91.800","90.600","489,06K","0,44%"
"24.06.2019","91.400","91.900","92.500","90.700","774,06K","0,44%"
"21.06.2019","91.000","90.800","91.900","90.800","516,88K","0,33%"
"20.06.2019","90.700","89.000","91.600","88.800","1,15M","2,37%"
"19.06.2019","88.600","89.000","89.500","88.400","378,51K","0,34%"
"18.06.2019","88.300","87.900","88.400","87.700","409,82K","0,57%"
"17.06.2019","87.800","89.000","89.200","87.500","767,01K","-1,46%"
"14.06.2019","89.100","89.800","89.800","88.900","645,93K","-0,34%"
"13.06.2019","89.400","90.800","90.800","89.200","762,86K","-1,43%"
"12.06.2019","90.700","90.000","91.000","89.500","948,66K","1,23%"
"11.06.2019","89.600","89.000","90.500","88.900","1,05M","1,13%"
"10.06.2019","88.600","88.400","89.500","88.300","726,01K","0,34%"
"07.06.2019","88.300","86.700","88.300","86.700","656,21K","2,08%"
"06.06.2019","86.500","87.000","87.000","86.000","383,43K","-0,12%"
"05.06.2019","86.600","86.600","87.300","86.500","290,69K","0,70%"
"04.06.2019","86.000","85.400","86.000","84.600","224,08K","1,18%"
"03.06.2019","85.000","86.000","86.000","84.100","549,54K","-1,28%"
"31.05.2019","86.100","87.600","87.700","86.000","626,57K","-1,71%"
"30.05.2019","87.600","87.500","88.000","87.100","394,32K","0,11%"
"29.05.2019","87.500","88.200","88.500","87.400","910,66K","-0,79%"
"28.05.2019","88.200","87.500","88.400","87.500","511,87K","0,57%"
"27.05.2019","87.700","88.500","88.800","87.300","539,41K","-1,13%"
"24.05.2019","88.700","87.200","89.300","86.900","1,17M","1,26%"
"23.05.2019","87.600","88.000","88.000","87.000","575,79K","0,69%"
"22.05.2019","87.000","87.000","87.983","86.705","673,14K","0,34%"
"21.05.2019","86.705","86.902","87.590","86.410","943,50K","-0,11%"
"20.05.2019","86.803","85.231","87.098","85.231","899,01K","2,08%"
"17.05.2019","85.034","84.542","85.525","84.542","298,53K","0,58%"
"16.05.2019","84.542","85.525","85.919","84.542","341,02K","-1,15%"
"15.05.2019","85.525","84.444","85.820","84.346","772,07K","1,75%"
"14.05.2019","84.051","83.559","84.247","83.166","511,32K","0,35%"
"13.05.2019","83.756","83.461","83.953","82.576","266,14K","-1,46%"
"10.05.2019","85.000","84.100","85.100","84.000","343,70K","1,07%"
"09.05.2019","84.100","83.400","84.500","83.300","381,10K","0,72%"
"08.05.2019","83.500","83.000","83.900","82.500","339,56K","-0,48%"
"07.05.2019","83.900","84.100","84.500","83.500","292,51K","0,12%"
"06.05.2019","83.800","85.000","85.000","83.500","406,20K","-2,44%"
"03.05.2019","85.900","86.000","86.000","85.100","383,61K","-0,12%"
"02.05.2019","86.000","85.300","86.400","85.300","558,27K","1,30%"
"26.04.2019","84.900","83.500","85.000","83.300","729,64K","1,68%"
"25.04.2019","83.500","83.300","84.000","83.000","273,01K","0,60%"
"24.04.2019","83.000","82.800","83.400","82.700","318,36K","0,24%"
"23.04.2019","82.800","83.000","83.200","82.400","205,30K","-0,24%"
"22.04.2019","83.000","82.600","83.400","82.500","359,66K","0,97%"
"19.04.2019","82.200","81.500","82.300","81.400","242,75K","0,98%"
"18.04.2019","81.400","81.800","82.000","80.600","378,38K","-0,49%"
"17.04.2019","81.800","81.700","82.100","81.400","343,33K","0,12%"
"16.04.2019","81.700","81.800","82.200","81.400","454,00K","-0,97%"
"12.04.2019","82.500","82.500","82.800","81.900","349,72K","0,00%"
"11.04.2019","82.500","82.500","83.100","82.200","222,58K","-0,36%"
"10.04.2019","82.800","83.400","83.600","82.200","401,86K","-1,08%"
"09.04.2019","83.700","84.000","84.100","83.200","275,97K","-0,36%"
"08.04.2019","84.000","84.500","84.500","83.500","186,58K","-0,12%"
"05.04.2019","84.100","82.600","84.300","82.600","354,56K","0,72%"
"04.04.2019","83.500","83.800","84.300","83.400","317,50K","-0,36%"
"03.04.2019","83.800","84.500","84.500","83.700","235,54K","-0,36%"
"02.04.2019","84.100","84.900","85.100","84.100","287,66K","0,00%"
"01.04.2019","84.100","84.800","85.100","84.000","484,64K","-0,83%"
"29.03.2019","84.800","84.600","85.200","84.500","285,55K","0,47%"
"28.03.2019","84.400","84.500","84.700","84.100","352,84K","0,00%"
"27.03.2019","84.400","84.500","84.900","84.400","207,81K","0,36%"
"26.03.2019","84.100","85.000","85.200","83.900","588,52K","0,36%"
