"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","17.150","17.150","17.150","17.000","1,19M","0,00%"
"25.06.2019","17.150","17.150","17.150","16.950","1,19M","0,00%"
"24.06.2019","17.150","16.950","17.200","16.950","1,85M","0,29%"
"21.06.2019","17.100","17.000","17.100","16.900","2,98M","-0,29%"
"20.06.2019","17.150","16.950","17.150","16.950","2,07M","-0,29%"
"19.06.2019","17.200","17.000","17.200","16.900","2,11M","0,00%"
"18.06.2019","17.200","17.000","17.200","16.900","1,34M","0,00%"
"17.06.2019","17.200","17.200","17.200","16.950","1,19M","0,00%"
"14.06.2019","17.200","17.200","17.200","17.000","1,09M","0,29%"
"13.06.2019","17.150","17.200","17.250","16.950","866,59K","-0,29%"
"12.06.2019","17.200","17.200","17.200","16.500","1,44M","2,99%"
"11.06.2019","16.700","17.750","17.800","16.700","955,08K","-5,92%"
"10.06.2019","17.750","17.700","17.800","17.550","1,45M","-0,28%"
"07.06.2019","17.800","17.750","17.800","17.550","1,02M","0,00%"
"06.06.2019","17.800","17.650","17.800","17.450","1,04M","-0,28%"
"05.06.2019","17.850","17.900","17.950","17.600","1,15M","0,28%"
"04.06.2019","17.800","17.800","17.900","17.650","926,50K","0,00%"
"03.06.2019","17.800","17.800","17.950","17.750","1,00M","-1,39%"
"31.05.2019","18.050","17.800","18.050","17.800","1,28M","0,28%"
"30.05.2019","18.000","17.800","18.000","17.600","1,16M","1,12%"
"29.05.2019","17.800","17.900","17.950","17.800","1,21M","-1,11%"
"28.05.2019","18.000","18.050","18.050","17.800","1,37M","-0,28%"
"27.05.2019","18.050","17.700","18.050","17.700","1,19M","0,84%"
"24.05.2019","17.900","18.000","18.000","17.700","1,54M","-0,56%"
"23.05.2019","18.000","18.200","18.200","17.900","1,12M","-1,10%"
"22.05.2019","18.200","18.250","18.250","18.000","959,88K","-0,27%"
"21.05.2019","18.250","18.300","18.350","18.200","1,31M","-0,27%"
"20.05.2019","18.300","17.850","18.300","17.750","1,40M","2,52%"
"17.05.2019","17.850","17.550","17.850","17.550","1,38M","1,13%"
"16.05.2019","17.650","17.600","17.650","17.500","1,34M","0,28%"
"15.05.2019","17.600","17.600","17.700","17.550","1,53M","-0,28%"
"14.05.2019","17.650","17.650","17.650","17.500","1,43M","0,00%"
"13.05.2019","17.650","17.600","17.650","17.350","1,57M","0,00%"
"10.05.2019","17.650","17.600","17.700","17.500","1,31M","0,00%"
"09.05.2019","17.650","17.300","17.650","17.300","1,32M","-0,28%"
"08.05.2019","17.700","17.300","17.700","17.000","1,40M","0,00%"
"07.05.2019","17.700","17.700","17.850","17.300","1,62M","0,00%"
"06.05.2019","17.700","18.000","18.000","17.500","1,52M","-2,21%"
"03.05.2019","18.100","18.300","18.300","18.050","978,25K","-1,09%"
"02.05.2019","18.300","18.200","18.300","18.050","1,09M","0,55%"
"26.04.2019","18.200","18.250","18.400","18.100","1,06M","-0,27%"
"25.04.2019","18.250","18.250","18.250","18.100","701,50K","0,00%"
"24.04.2019","18.250","18.100","18.250","18.100","676,48K","0,83%"
"23.04.2019","18.100","18.000","18.400","18.000","901,80K","-0,82%"
"22.04.2019","18.250","18.000","18.250","17.850","1,17M","0,00%"
"19.04.2019","18.250","18.300","18.350","18.100","1,02M","-0,27%"
"18.04.2019","18.300","18.300","18.450","18.250","1,09M","-0,54%"
"17.04.2019","18.400","18.450","18.550","18.300","1,04M","-0,54%"
"16.04.2019","18.500","18.400","18.500","18.250","1,00M","0,00%"
"12.04.2019","18.500","18.400","18.650","18.300","1,01M","0,00%"
"11.04.2019","18.500","18.250","18.550","18.250","1,09M","1,37%"
"10.04.2019","18.250","18.250","18.600","18.250","1,10M","-1,88%"
