"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","20.400","20.550","20.700","20.300","1,84M","-1,69%"
"25.06.2019","20.750","20.650","20.900","20.650","1,56M","-0,72%"
"24.06.2019","20.900","20.700","21.050","20.650","1,66M","0,48%"
"21.06.2019","20.800","20.800","21.100","20.700","1,72M","0,97%"
"20.06.2019","20.600","20.200","20.800","20.150","3,52M","2,49%"
"19.06.2019","20.100","20.600","20.650","20.000","2,06M","-0,99%"
"18.06.2019","20.300","20.900","20.950","20.100","3,17M","-2,40%"
"17.06.2019","20.800","21.300","21.350","20.800","2,22M","-1,89%"
"14.06.2019","21.200","21.200","21.450","21.200","1,08M","0,24%"
"13.06.2019","21.150","21.300","21.300","21.100","845,89K","-0,70%"
"12.06.2019","21.300","21.500","21.600","21.300","672,44K","-0,93%"
"11.06.2019","21.500","21.500","21.700","21.450","907,13K","0,00%"
"10.06.2019","21.500","21.800","21.900","21.300","1,69M","-0,46%"
"07.06.2019","21.600","21.350","21.600","21.350","1,43M","1,17%"
"06.06.2019","21.350","21.300","21.500","20.900","1,38M","0,23%"
"05.06.2019","21.300","21.600","21.800","21.300","1,08M","0,47%"
"04.06.2019","21.200","21.750","21.800","21.100","2,33M","-1,40%"
"03.06.2019","21.500","22.400","22.500","21.500","2,71M","-4,87%"
"31.05.2019","22.600","22.950","23.000","22.600","1,45M","-1,53%"
"30.05.2019","22.950","22.750","23.050","22.500","1,45M","0,88%"
"29.05.2019","22.750","23.050","23.100","22.750","2,07M","-1,52%"
"28.05.2019","23.100","23.100","23.400","22.900","1,43M","-0,22%"
"27.05.2019","23.150","23.200","23.350","23.100","888,14K","-0,22%"
"24.05.2019","23.200","23.550","23.700","23.200","2,38M","-1,90%"
"23.05.2019","23.650","23.650","23.850","23.550","1,38M","-0,21%"
"22.05.2019","23.700","24.100","24.200","23.700","1,71M","-1,46%"
"21.05.2019","24.050","23.850","24.300","23.850","3,22M","0,84%"
"20.05.2019","23.850","23.550","23.900","23.400","2,12M","1,06%"
"17.05.2019","23.600","23.700","23.800","23.550","1,74M","-0,63%"
"16.05.2019","23.750","24.100","24.100","23.650","2,14M","-0,84%"
"15.05.2019","23.950","23.100","24.050","23.000","3,26M","4,13%"
