"Date","Price","Open","High","Low","Vol.","Change %"
"May 14, 2021","147.55","154.60","156.50","145.90","25.64M","-3.06%"
"May 12, 2021","152.20","150.90","155.70","148.35","34.39M","1.40%"
"May 11, 2021","150.10","144.00","152.30","143.35","32.76M","2.00%"
"May 10, 2021","147.15","145.00","150.85","144.50","18.71M","1.98%"
"May 07, 2021","144.30","144.45","145.90","142.10","10.97M","0.59%"
"May 06, 2021","143.45","147.00","147.00","142.40","11.11M","-1.48%"
"May 05, 2021","145.60","143.70","147.90","142.40","22.40M","3.01%"
"May 04, 2021","141.35","140.00","148.30","139.60","37.24M","1.87%"
"May 03, 2021","138.75","136.95","139.80","135.90","13.68M","0.00%"
"Apr 30, 2021","138.75","137.40","143.90","136.50","18.86M","-0.54%"
"Apr 29, 2021","139.50","144.00","144.90","138.10","19.04M","-2.52%"
"Apr 28, 2021","143.10","140.00","143.70","140.00","16.72M","2.47%"
"Apr 27, 2021","139.65","135.80","140.20","134.60","20.07M","3.25%"
"Apr 26, 2021","135.25","132.10","135.80","131.75","18.84M","3.64%"
"Apr 23, 2021","130.50","128.50","134.80","128.35","20.69M","0.19%"
"Apr 22, 2021","130.25","125.80","131.25","125.10","13.91M","1.72%"
"Apr 20, 2021","128.05","131.00","133.00","126.85","13.04M","-0.97%"
"Apr 19, 2021","129.30","128.00","129.80","124.30","20.08M","-3.65%"
"Apr 16, 2021","134.20","135.75","137.85","133.00","13.89M","-1.14%"
"Apr 15, 2021","135.75","136.30","139.30","133.60","15.55M","-1.16%"
"Apr 13, 2021","137.35","135.00","137.95","131.55","20.10M","3.90%"
"Apr 12, 2021","132.20","143.95","143.95","130.35","27.94M","-11.13%"
"Apr 09, 2021","148.75","147.00","153.80","146.00","24.98M","1.05%"
"Apr 08, 2021","147.20","150.80","151.40","146.55","13.09M","-1.64%"
"Apr 07, 2021","149.65","147.50","153.00","147.15","19.41M","1.11%"
"Apr 06, 2021","148.00","148.00","149.90","145.65","14.86M","0.85%"
"Apr 05, 2021","146.75","154.25","156.00","144.85","22.53M","-6.14%"
"Apr 01, 2021","156.35","154.40","157.40","150.60","18.67M","2.73%"
"Mar 31, 2021","152.20","146.95","155.40","145.45","25.08M","3.50%"
"Mar 30, 2021","147.05","148.00","149.50","144.80","13.09M","0.62%"
"Mar 26, 2021","146.15","147.00","148.50","144.30","16.57M","1.92%"
"Mar 25, 2021","143.40","148.60","150.50","137.05","33.49M","-3.34%"
"Mar 24, 2021","148.35","152.65","154.65","147.55","13.97M","-3.57%"
"Mar 23, 2021","153.85","150.95","156.45","148.60","21.42M","2.57%"
"Mar 22, 2021","150.00","151.00","154.25","147.50","19.11M","-0.66%"
"Mar 19, 2021","151.00","144.50","152.40","141.40","23.90M","3.00%"
"Mar 18, 2021","146.60","152.80","154.80","143.10","20.26M","-2.43%"
"Mar 17, 2021","150.25","157.10","158.15","149.20","17.55M","-4.63%"
"Mar 16, 2021","157.55","159.00","159.90","154.25","15.49M","-0.47%"
"Mar 15, 2021","158.30","157.50","159.00","151.75","15.61M","0.83%"
"Mar 12, 2021","157.00","162.75","164.20","155.55","15.90M","-2.61%"
"Mar 10, 2021","161.20","161.40","162.75","159.75","9.83M","0.78%"
"Mar 09, 2021","159.95","162.80","164.25","157.55","15.12M","-0.87%"
"Mar 08, 2021","161.35","162.00","164.80","160.00","16.27M","1.10%"
"Mar 05, 2021","159.60","167.00","167.20","157.25","31.14M","-5.31%"
"Mar 04, 2021","168.55","163.50","172.45","161.80","31.61M","1.66%"
"Mar 03, 2021","165.80","160.00","167.00","159.70","26.96M","4.44%"
"Mar 02, 2021","158.75","157.90","162.20","156.90","17.82M","1.28%"
"Mar 01, 2021","156.75","159.25","160.00","155.10","13.58M","-0.29%"
"Feb 26, 2021","157.20","160.00","160.70","155.00","20.46M","-3.85%"
"Feb 25, 2021","163.50","163.00","165.90","162.40","16.85M","1.65%"
"Feb 24, 2021","160.85","159.40","163.70","155.35","17.24M","0.97%"
"Feb 23, 2021","159.30","155.00","160.70","155.00","20.22M","2.97%"
"Feb 22, 2021","154.70","160.00","161.00","153.50","16.54M","-3.31%"
"Feb 19, 2021","160.00","167.00","169.20","158.25","32.28M","-4.99%"
"Feb 18, 2021","168.40","168.00","174.60","165.35","56.55M","1.29%"
"Feb 17, 2021","166.25","162.45","168.45","162.00","47.45M","2.24%"
"Feb 16, 2021","162.60","164.60","165.95","160.10","28.71M","0.03%"
"Feb 15, 2021","162.55","158.85","164.30","157.50","22.99M","3.47%"
"Feb 12, 2021","157.10","158.60","161.70","156.15","21.23M","-0.44%"
"Feb 11, 2021","157.80","160.00","161.35","157.05","17.60M","-1.77%"
"Feb 10, 2021","160.65","156.50","161.45","153.80","32.68M","3.21%"
"Feb 09, 2021","155.65","158.45","162.35","154.50","30.13M","-1.77%"
"Feb 08, 2021","158.45","162.40","163.75","157.55","21.53M","-1.49%"
"Feb 05, 2021","160.85","166.70","172.20","158.00","69.09M","-0.80%"
"Feb 04, 2021","162.15","153.20","163.75","151.35","62.14M","5.95%"
"Feb 03, 2021","153.05","148.00","156.20","145.20","57.34M","4.44%"
"Feb 02, 2021","146.55","144.00","150.65","141.05","49.81M","3.02%"
"Feb 01, 2021","142.25","134.15","143.30","132.00","55.61M","7.77%"
"Jan 29, 2021","132.00","130.05","135.95","127.75","36.31M","3.17%"
"Jan 28, 2021","127.95","129.70","129.70","123.70","47.76M","-2.48%"
"Jan 27, 2021","131.20","133.95","138.75","130.10","49.60M","-1.83%"
"Jan 25, 2021","133.65","134.90","138.40","131.85","26.45M","0.34%"
"Jan 22, 2021","133.20","137.00","138.50","131.00","29.37M","-2.13%"
"Jan 21, 2021","136.10","143.00","145.00","134.00","29.67M","-4.12%"
"Jan 20, 2021","141.95","138.50","143.60","137.50","28.00M","2.45%"
"Jan 19, 2021","138.55","134.50","139.95","133.85","21.46M","4.25%"
"Jan 18, 2021","132.90","138.70","141.75","131.00","33.59M","-3.20%"
"Jan 15, 2021","137.30","143.60","145.00","135.50","32.35M","-4.02%"
"Jan 14, 2021","143.05","143.05","147.20","142.15","33.68M","-1.21%"
"Jan 13, 2021","144.80","139.90","145.90","136.00","64.89M","4.06%"
"Jan 12, 2021","139.15","128.80","140.85","127.30","44.89M","7.95%"
"Jan 11, 2021","128.90","131.00","132.30","128.15","20.17M","-1.60%"
"Jan 08, 2021","131.00","134.00","134.90","130.65","20.20M","-1.50%"
"Jan 07, 2021","133.00","134.00","135.00","131.80","18.96M","0.68%"
"Jan 06, 2021","132.10","136.00","137.30","128.10","39.74M","-2.44%"
"Jan 05, 2021","135.40","133.00","136.75","130.30","33.39M","1.04%"
"Jan 04, 2021","134.00","135.00","136.00","130.40","28.90M","0.53%"
"Jan 01, 2021","133.30","128.90","134.45","128.00","33.06M","3.37%"
"Dec 31, 2020","128.95","129.70","130.00","127.65","14.14M","-0.31%"
"Dec 30, 2020","129.35","127.00","130.70","123.60","45.70M","2.37%"
"Dec 29, 2020","126.35","126.00","128.25","122.95","21.32M","0.88%"
"Dec 28, 2020","125.25","120.80","125.75","120.15","21.00M","3.73%"
"Dec 24, 2020","120.75","121.90","122.75","118.50","16.04M","0.04%"
"Dec 23, 2020","120.70","115.40","121.80","114.45","21.02M","4.77%"
"Dec 22, 2020","115.20","110.60","117.50","105.45","58.07M","5.54%"
"Dec 21, 2020","109.15","117.00","121.40","105.20","46.21M","-10.24%"
"Dec 18, 2020","121.60","125.30","126.20","118.50","22.63M","-2.01%"
"Dec 17, 2020","124.10","121.00","125.70","120.00","34.18M","3.46%"
"Dec 16, 2020","119.95","123.90","125.85","118.60","39.06M","-1.68%"
"Dec 15, 2020","122.00","123.50","124.00","116.40","87.39M","-4.24%"
"Dec 14, 2020","127.40","126.95","128.00","125.50","11.13M","1.72%"
"Dec 11, 2020","125.25","123.00","127.90","123.00","23.88M","2.24%"
"Dec 10, 2020","122.50","123.15","125.45","120.25","50.69M","-4.41%"
"Dec 09, 2020","128.15","141.25","146.65","127.00","80.49M","-6.46%"
"Dec 08, 2020","137.00","118.50","140.85","117.70","72.59M","16.70%"
"Dec 07, 2020","117.40","111.95","119.30","111.35","29.07M","5.58%"
"Dec 04, 2020","111.20","111.00","114.00","105.65","46.74M","1.14%"
"Dec 03, 2020","109.95","106.60","114.40","106.50","37.66M","3.97%"
"Dec 02, 2020","105.75","109.95","110.50","104.05","29.49M","-3.78%"
"Dec 01, 2020","109.90","104.95","110.55","103.85","26.16M","5.88%"
"Nov 27, 2020","103.80","100.20","105.70","100.20","29.88M","3.80%"
"Nov 26, 2020","100.00","96.60","100.40","96.25","15.39M","3.63%"
"Nov 25, 2020","96.50","94.00","100.80","94.00","36.45M","3.49%"
"Nov 24, 2020","93.25","94.65","94.80","92.50","10.09M","-0.64%"
"Nov 23, 2020","93.85","94.40","94.45","92.65","6.09M","0.59%"
"Nov 20, 2020","93.30","93.75","94.00","92.40","5.02M","0.00%"
"Nov 19, 2020","93.30","93.95","95.30","93.00","6.89M","-1.11%"
"Nov 18, 2020","94.35","92.40","94.70","92.15","7.77M","2.06%"
"Nov 17, 2020","92.45","92.60","93.75","92.05","6.17M","1.04%"
"Nov 13, 2020","91.50","90.55","91.70","90.30","5.52M","-0.44%"
"Nov 12, 2020","91.90","94.35","94.60","91.60","10.49M","-2.60%"
"Nov 11, 2020","94.35","96.95","97.70","93.25","10.41M","-2.02%"
"Nov 10, 2020","96.30","93.25","97.65","92.90","19.07M","3.88%"
"Nov 09, 2020","92.70","92.80","93.70","91.50","7.49M","0.71%"
"Nov 06, 2020","92.05","91.80","93.50","91.10","9.89M","0.60%"
"Nov 05, 2020","91.50","90.20","92.85","89.65","12.04M","2.35%"
"Nov 04, 2020","89.40","88.75","90.00","86.80","6.36M","0.90%"
"Nov 03, 2020","88.60","88.00","89.30","87.20","6.11M","1.43%"
"Nov 02, 2020","87.35","87.00","88.70","86.25","9.25M","1.33%"
"Oct 30, 2020","86.20","87.40","88.00","84.85","12.66M","0.58%"
"Oct 29, 2020","85.70","87.00","87.25","84.35","7.87M","-1.49%"
"Oct 28, 2020","87.00","88.15","88.40","86.45","5.02M","-1.30%"
"Oct 27, 2020","88.15","89.70","89.80","87.20","5.92M","-1.73%"
"Oct 26, 2020","89.70","89.55","90.50","89.00","6.38M","0.17%"
"Oct 23, 2020","89.55","88.60","89.90","88.25","3.16M","1.42%"
"Oct 22, 2020","88.30","88.60","88.85","88.00","2.40M","-0.56%"
"Oct 21, 2020","88.80","89.70","90.60","87.70","4.28M","0.06%"
"Oct 20, 2020","88.75","88.05","89.30","88.05","2.86M","-0.73%"
"Oct 19, 2020","89.40","88.35","90.60","88.30","5.52M","1.76%"
"Oct 16, 2020","87.85","88.10","88.70","87.05","3.34M","0.17%"
"Oct 15, 2020","87.70","88.90","90.15","87.40","4.79M","-0.96%"
"Oct 14, 2020","88.55","89.05","89.60","87.70","5.57M","-0.95%"
"Oct 13, 2020","89.40","89.80","90.75","89.00","4.49M","-0.72%"
"Oct 12, 2020","90.05","92.75","95.10","89.30","13.24M","-2.49%"
"Oct 09, 2020","92.35","89.90","93.75","88.75","14.90M","3.01%"
"Oct 08, 2020","89.65","90.35","92.20","88.80","9.33M","0.22%"
"Oct 07, 2020","89.45","90.45","91.85","89.00","7.26M","-2.08%"
"Oct 06, 2020","91.35","91.30","91.95","89.75","4.82M","1.22%"
"Oct 05, 2020","90.25","89.00","93.30","89.00","11.65M","0.61%"
"Oct 01, 2020","89.70","89.00","92.05","89.00","6.87M","0.96%"
"Sep 30, 2020","88.85","89.30","89.65","87.70","5.14M","-0.62%"
"Sep 29, 2020","89.40","91.70","91.75","87.55","7.18M","-1.76%"
"Sep 28, 2020","91.00","88.50","91.60","87.80","7.23M","4.48%"
"Sep 25, 2020","87.10","84.25","87.50","82.25","8.74M","4.56%"
"Sep 24, 2020","83.30","86.00","86.70","82.50","9.74M","-5.50%"
"Sep 23, 2020","88.15","90.90","91.70","86.30","11.53M","-1.51%"
"Sep 22, 2020","89.50","95.35","95.35","88.00","16.22M","-6.43%"
"Sep 21, 2020","95.65","98.55","98.95","95.00","5.00M","-3.09%"
"Sep 18, 2020","98.70","100.00","100.50","98.25","3.68M","-0.90%"
"Sep 17, 2020","99.60","99.45","100.30","99.15","1.98M","-0.65%"
"Sep 16, 2020","100.25","100.95","101.20","99.80","3.21M","-0.30%"
"Sep 15, 2020","100.55","100.95","101.50","99.75","4.50M","0.15%"
"Sep 14, 2020","100.40","102.00","102.90","99.85","5.40M","-0.45%"
"Sep 11, 2020","100.85","100.60","102.75","98.30","12.30M","0.50%"
"Sep 10, 2020","100.35","98.65","100.90","98.15","5.81M","2.76%"
"Sep 09, 2020","97.65","99.45","99.45","95.70","6.60M","-2.20%"
"Sep 08, 2020","99.85","101.90","102.40","99.50","5.25M","-2.01%"
"Sep 07, 2020","101.90","102.75","103.60","101.50","5.11M","-1.31%"
"Sep 04, 2020","103.25","103.90","104.95","102.20","8.92M","-2.87%"
"Sep 03, 2020","106.30","108.25","109.05","105.50","10.38M","-1.35%"
"Sep 02, 2020","107.75","108.05","108.45","104.30","13.08M","0.94%"
"Sep 01, 2020","106.75","108.00","110.95","103.60","17.42M","-0.70%"
"Aug 31, 2020","107.50","117.60","119.45","106.30","30.38M","-6.36%"
"Aug 28, 2020","114.80","106.30","115.90","106.30","47.37M","8.76%"
"Aug 27, 2020","105.55","107.30","107.65","105.00","7.73M","-0.71%"
"Aug 26, 2020","106.30","107.00","107.80","106.00","5.41M","-0.37%"
"Aug 25, 2020","106.70","104.50","108.25","104.40","21.67M","3.09%"
"Aug 24, 2020","103.50","105.50","105.50","103.10","4.73M","-0.77%"
