"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","11.500","11.600","11.650","11.500","2,82M","-1,29%"
"25.06.2019","11.650","11.700","11.800","11.600","2,50M","-0,43%"
"24.06.2019","11.700","11.500","11.700","11.500","3,16M","2,18%"
"21.06.2019","11.450","11.600","11.600","11.400","15,02M","-0,43%"
"20.06.2019","11.500","11.300","11.550","11.300","2,74M","1,77%"
"19.06.2019","11.300","11.350","11.400","11.250","1,28M","0,89%"
"18.06.2019","11.200","11.450","11.500","11.200","3,53M","-2,18%"
"17.06.2019","11.450","11.650","11.700","11.450","2,87M","-1,72%"
"14.06.2019","11.650","11.650","11.750","11.600","1,14M","0,43%"
"13.06.2019","11.600","11.650","11.700","11.600","1,31M","-0,43%"
"12.06.2019","11.650","11.700","11.800","11.650","556,04K","-0,43%"
"11.06.2019","11.700","11.850","11.850","11.700","1,20M","-0,85%"
"10.06.2019","11.800","11.750","11.850","11.750","3,03M","0,43%"
"07.06.2019","11.750","11.600","11.750","11.600","1,43M","1,73%"
"06.06.2019","11.550","11.650","11.700","11.550","1,90M","-0,86%"
"05.06.2019","11.650","11.700","11.800","11.650","2,40M","0,43%"
"04.06.2019","11.600","11.650","11.700","11.550","2,44M","0,00%"
"03.06.2019","11.600","11.700","11.750","11.500","3,85M","-1,28%"
"31.05.2019","11.750","11.750","11.900","11.700","1,93M","-0,42%"
"30.05.2019","11.800","11.750","11.900","11.700","2,10M","0,43%"
"29.05.2019","11.750","11.850","11.850","11.750","1,77M","-0,42%"
"28.05.2019","11.800","11.850","11.950","11.750","2,31M","0,00%"
"27.05.2019","11.800","11.800","11.900","11.750","1,26M","0,00%"
"24.05.2019","11.800","11.900","11.950","11.750","6,04M","-1,67%"
"23.05.2019","12.000","12.050","12.150","11.950","1,87M","-0,41%"
"22.05.2019","12.050","12.150","12.200","12.000","4,45M","0,00%"
"21.05.2019","12.050","12.000","12.200","11.950","5,45M","0,84%"
"20.05.2019","11.950","12.000","12.050","11.900","2,87M","0,00%"
"17.05.2019","11.950","11.950","12.050","11.950","1,82M","-0,42%"
"16.05.2019","12.000","12.150","12.150","11.950","1,84M","-0,41%"
"15.05.2019","12.050","12.000","12.150","11.950","3,04M","1,26%"
"14.05.2019","11.900","11.850","11.950","11.800","2,99M","-0,42%"
"13.05.2019","11.950","11.950","12.050","11.850","1,96M","-0,42%"
"10.05.2019","12.000","12.000","12.050","11.900","1,97M","0,84%"
"09.05.2019","11.900","12.150","12.200","11.850","6,64M","-2,06%"
"08.05.2019","12.150","11.950","12.250","11.950","4,25M","0,41%"
"07.05.2019","12.100","12.150","12.200","12.050","3,87M","0,41%"
"06.05.2019","12.050","12.200","12.200","12.050","2,76M","-2,43%"
"03.05.2019","12.350","11.900","12.400","11.900","8,68M","3,78%"
"02.05.2019","11.900","12.100","12.100","11.850","2,10M","-0,42%"
"26.04.2019","11.950","11.850","12.000","11.850","1,50M","0,84%"
"25.04.2019","11.850","12.050","12.050","11.800","2,90M","-1,66%"
"24.04.2019","12.050","12.150","12.200","12.050","2,01M","0,00%"
"23.04.2019","12.050","11.600","12.200","11.550","4,44M","4,33%"
"22.04.2019","11.550","11.800","11.800","11.550","2,43M","-1,70%"
"19.04.2019","11.750","11.800","11.900","11.750","1,65M","0,00%"
"18.04.2019","11.750","12.000","12.000","11.750","2,44M","-1,26%"
"17.04.2019","11.900","12.150","12.200","11.900","1,71M","-1,24%"
"16.04.2019","12.050","12.000","12.150","11.850","3,05M","-0,41%"
"12.04.2019","12.100","12.050","12.150","12.050","1,54M","0,41%"
"11.04.2019","12.050","12.200","12.200","12.050","788,76K","-0,41%"
"10.04.2019","12.100","12.200","12.250","12.050","1,97M","-1,22%"
"09.04.2019","12.250","12.300","12.350","12.200","2,72M","0,00%"
"08.04.2019","12.250","12.250","12.300","12.150","1,88M","0,00%"
"05.04.2019","12.250","12.300","12.300","12.200","1,14M","-0,41%"
"04.04.2019","12.300","12.300","12.300","12.200","1,09M","0,41%"
"03.04.2019","12.250","12.200","12.300","12.150","1,43M","0,41%"
"02.04.2019","12.200","12.450","12.500","12.200","1,83M","-1,61%"
"01.04.2019","12.400","12.200","12.400","12.200","1,69M","1,64%"
"29.03.2019","12.200","12.200","12.350","12.150","3,43M","0,41%"
"28.03.2019","12.150","12.300","12.300","12.150","4,03M","-1,62%"
"27.03.2019","12.350","12.350","12.400","12.300","1,24M","0,41%"
"26.03.2019","12.300","12.300","12.450","12.300","1,68M","0,41%"
"25.03.2019","12.250","12.300","12.450","12.150","3,93M","-2,39%"
"22.03.2019","12.550","12.600","12.650","12.450","3,00M","0,40%"
"21.03.2019","12.500","12.850","12.900","12.500","4,74M","-2,34%"
"20.03.2019","12.800","12.650","12.850","12.650","4,22M","0,79%"
"19.03.2019","12.700","12.800","12.900","12.700","4,34M","-1,17%"
"18.03.2019","12.850","12.950","13.050","12.850","3,31M","-0,77%"
"15.03.2019","12.950","13.000","13.050","12.850","4,40M","-0,38%"
"14.03.2019","13.000","12.850","13.150","12.750","8,48M","1,56%"
"13.03.2019","12.800","12.750","12.950","12.750","6,15M","0,79%"
"12.03.2019","12.700","12.600","12.700","12.500","3,78M","1,20%"
"11.03.2019","12.550","12.600","12.650","12.450","2,11M","-0,40%"
"08.03.2019","12.600","12.700","12.750","12.550","2,90M","-1,56%"
"07.03.2019","12.800","12.650","12.900","12.650","3,50M","1,19%"
"06.03.2019","12.650","12.700","12.750","12.600","2,02M","-0,39%"
"05.03.2019","12.700","12.750","12.900","12.650","4,73M","-0,39%"
"04.03.2019","12.750","12.750","12.800","12.650","3,06M","0,79%"
"01.03.2019","12.650","12.500","12.650","12.450","2,60M","2,85%"
"28.02.2019","12.300","12.750","12.850","12.300","8,44M","-3,15%"
"27.02.2019","12.700","12.800","12.900","12.700","2,41M","-0,78%"
"26.02.2019","12.800","12.900","12.950","12.700","3,76M","-0,78%"
"25.02.2019","12.900","13.100","13.150","12.900","6,90M","-1,15%"
"22.02.2019","13.050","12.800","13.150","12.800","5,73M","0,38%"
"21.02.2019","13.000","12.950","13.000","12.800","4,12M","0,78%"
"20.02.2019","12.900","12.850","13.050","12.700","5,45M","0,78%"
"19.02.2019","12.800","13.150","13.150","12.800","5,25M","-2,29%"
"18.02.2019","13.100","13.050","13.200","12.950","3,71M","0,77%"
"15.02.2019","13.000","12.900","13.050","12.750","4,51M","0,39%"
"14.02.2019","12.950","12.900","13.050","12.900","4,82M","-0,38%"
"13.02.2019","13.000","13.000","13.100","12.950","6,89M","0,00%"
"12.02.2019","13.000","12.850","13.100","12.800","6,46M","0,39%"
"11.02.2019","12.950","12.500","12.950","12.450","6,86M","4,44%"
"01.02.2019","12.400","12.300","12.400","12.200","3,35M","0,81%"
"31.01.2019","12.300","12.100","12.400","12.000","5,06M","2,50%"
"30.01.2019","12.000","12.150","12.200","12.000","2,49M","-1,23%"
"29.01.2019","12.150","12.200","12.200","12.050","2,87M","-0,82%"
"28.01.2019","12.250","12.350","12.350","12.100","2,70M","-0,41%"
"25.01.2019","12.300","12.200","12.400","12.150","6,42M","0,82%"
"24.01.2019","12.200","12.100","12.200","12.000","3,75M","0,41%"
"23.01.2019","12.150","11.750","12.250","11.700","7,82M","3,40%"
"22.01.2019","11.750","11.850","11.850","11.700","4,05M","0,43%"
"21.01.2019","11.700","11.350","11.850","11.250","6,69M","4,00%"
"18.01.2019","11.250","11.250","11.300","11.050","2,62M","0,45%"
"17.01.2019","11.200","11.200","11.400","11.150","1,74M","-0,88%"
"16.01.2019","11.300","11.400","11.450","11.300","2,68M","0,00%"
"15.01.2019","11.300","11.250","11.350","11.200","2,16M","0,89%"
"14.01.2019","11.200","11.400","11.450","11.200","1,93M","-1,75%"
"11.01.2019","11.400","11.450","11.500","11.300","2,17M","0,00%"
"10.01.2019","11.400","11.500","11.500","11.350","2,07M","0,00%"
"09.01.2019","11.400","11.400","11.550","11.400","2,63M","0,44%"
"08.01.2019","11.350","11.500","11.500","11.300","1,57M","-1,30%"
"07.01.2019","11.500","11.400","11.600","11.350","3,70M","3,14%"
"04.01.2019","11.150","11.000","11.350","10.900","3,83M","0,45%"
"03.01.2019","11.100","11.500","11.650","11.100","6,28M","-4,31%"
"02.01.2019","11.600","12.000","12.050","11.600","3,86M","-2,93%"
"28.12.2018","11.950","12.000","12.150","11.950","2,11M","-0,42%"
"27.12.2018","12.000","12.200","12.250","12.000","2,09M","0,42%"
"26.12.2018","11.950","12.000","12.150","11.950","2,47M","0,00%"
"25.12.2018","11.950","12.000","12.100","11.700","6,73M","-1,65%"
"24.12.2018","12.150","12.300","12.450","12.150","3,32M","0,41%"
"21.12.2018","12.100","12.150","12.300","12.100","3,67M","-1,22%"
"20.12.2018","12.250","12.300","12.400","12.200","3,41M","-1,61%"
"19.12.2018","12.450","12.450","12.450","12.200","3,15M","0,40%"
