Date,Price,Open,High,Low,Vol.,Change %,,Simple AVG,Median,EXP,1 DEV,,,,
10-Jul-20,7.581,7.505,7.605,7.465,-,0.65%,,7.8087,7.841,8.47,,,,3,
9-Jul-20,7.532,7.788,7.84,7.51,6.41M,-2.69%,,7.8276,7.841,8.47,,,,3,
8-Jul-20,7.74,7.8,7.852,7.71,6.81M,-1.65%,,7.8744,7.868,8.47,,,,3,
7-Jul-20,7.87,7.94,7.972,7.83,11.01M,-1.30%,,7.8872,7.869,8.47,,,,3,
6-Jul-20,7.974,8,8.136,7.924,5.88M,2.02%,,7.9302,7.877,8.47,,,,3,
3-Jul-20,7.816,8.03,8.044,7.78,8.37M,-2.74%,,7.946,7.877,8.47,,,,3,
2-Jul-20,8.036,7.956,8.11,7.926,7.75M,1.90%,,7.9942,7.943,8.47,,,,3,
1-Jul-20,7.886,7.828,8.008,7.716,6.93M,1.28%,,8.0112,7.943,8.47,,,,3,
30-Jun-20,7.786,7.844,7.92,7.648,10.21M,-1.02%,,8.0456,8.066,8.47,,,,3,
29-Jun-20,7.866,7.77,7.914,7.642,9.74M,1.24%,,8.109,8.169,8.47,,,,3,
26-Jun-20,7.77,8.1,8.122,7.732,10.32M,-2.88%,,8.1447,8.2145,8.47,,,,3,
25-Jun-20,8,7.848,8.04,7.722,15.44M,1.68%,,8.1908,8.2265,8.47,,,,3,
24-Jun-20,7.868,8.27,8.36,7.868,7.67M,-5.20%,,8.2038,8.2265,8.47,,,,3,
23-Jun-20,8.3,8.22,8.386,8.114,13.58M,2.07%,,8.2844,8.2305,8.47,,,,3,
22-Jun-20,8.132,8.244,8.252,8.054,19.80M,-2.00%,,0,,8.47,,,,3,
19-Jun-20,8.298,8.25,8.416,8.23,23.83M,1.12%,,0,,8.47,,,,3,
18-Jun-20,8.206,8.176,8.252,8.01,9.95M,-0.29%,,0,,8.47,,,,3,
17-Jun-20,8.23,8.41,8.488,8.146,22.66M,-2.26%,,0,,8.47,20,20,,3,
16-Jun-20,8.42,8.54,8.68,8.322,13.23M,2.39%,,0,,8.47,25,21,,3,
15-Jun-20,8.223,8.134,8.299,7.975,11.37M,-0.09%,,0,,8.47,22,22,,3,
12-Jun-20,8.231,8.053,8.468,7.958,12.05M,1.24%,,0,,8.52,34,25,23.5,3,
11-Jun-20,8.13,8.545,8.551,8.13,12.92M,-6.27%,,0,,8.58,21,29,,3,
10-Jun-20,8.674,8.837,8.932,8.653,13.80M,-0.87%,,0,,8.674,29,34,,2,2.7
