"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","26.600","26.700","26.800","26.450","1,35M","-0,37%"
"25.06.2019","26.700","26.600","26.800","26.550","641,15K","0,19%"
"24.06.2019","26.650","26.700","26.800","26.550","846,74K","0,19%"
"21.06.2019","26.600","26.900","27.050","26.500","1,91M","-1,12%"
"20.06.2019","26.900","26.500","26.950","26.400","1,79M","2,48%"
"19.06.2019","26.250","26.000","26.400","25.000","1,86M","0,96%"
"18.06.2019","26.000","26.550","26.700","25.750","1,25M","-1,89%"
"17.06.2019","26.500","26.700","26.800","26.350","1,01M","-0,38%"
"14.06.2019","26.600","26.750","26.900","26.400","1,78M","0,00%"
"13.06.2019","26.600","26.700","26.850","26.500","1,03M","-0,75%"
"12.06.2019","26.800","26.800","26.900","26.550","1,19M","0,19%"
"11.06.2019","26.750","26.600","26.900","26.550","865,43K","-0,19%"
"10.06.2019","26.800","26.900","27.000","26.450","1,29M","-0,37%"
"07.06.2019","26.900","26.750","26.900","26.500","941,19K","0,37%"
"06.06.2019","26.800","26.700","27.000","26.700","779,49K","-0,37%"
"05.06.2019","26.900","26.650","26.950","26.600","1,69M","1,13%"
"04.06.2019","26.600","26.600","26.800","26.300","1,35M","-0,56%"
"03.06.2019","26.750","27.250","27.250","26.450","1,49M","-2,01%"
"31.05.2019","27.300","27.250","27.400","26.900","1,77M","-0,18%"
"30.05.2019","27.350","26.900","27.400","26.800","2,25M","1,48%"
"29.05.2019","26.950","26.800","27.050","26.500","1,76M","0,19%"
"28.05.2019","26.900","26.900","27.000","26.400","1,00M","-0,19%"
"27.05.2019","26.950","26.500","27.000","26.450","961,60K","1,70%"
"24.05.2019","26.500","26.400","26.700","26.250","883,45K","0,00%"
"23.05.2019","26.500","27.000","27.050","26.200","1,69M","-1,85%"
"22.05.2019","27.000","27.100","27.200","26.850","665,20K","-0,37%"
"21.05.2019","27.100","27.150","27.250","26.850","1,56M","-0,18%"
"20.05.2019","27.150","27.150","27.200","26.850","1,32M","0,56%"
"17.05.2019","27.000","27.250","27.250","26.750","1,41M","-1,10%"
"16.05.2019","27.300","27.400","27.650","26.800","2,22M","-1,09%"
"15.05.2019","27.600","27.000","27.650","26.700","2,50M","1,47%"
"14.05.2019","27.200","27.400","27.600","26.800","1,55M","-1,45%"
"13.05.2019","27.600","27.200","27.600","26.700","3,37M","1,47%"
"10.05.2019","27.200","26.800","27.500","26.550","1,64M","1,68%"
"09.05.2019","26.750","26.300","26.750","26.050","1,58M","1,71%"
"08.05.2019","26.300","26.000","26.300","25.600","2,12M","0,77%"
"07.05.2019","26.100","27.300","27.450","26.100","1,86M","-4,40%"
"06.05.2019","27.300","27.850","27.850","27.200","992,70K","-2,50%"
"03.05.2019","28.000","28.050","28.100","27.600","1,35M","-0,18%"
"02.05.2019","28.050","28.200","28.200","27.800","1,30M","-0,18%"
"26.04.2019","28.100","28.250","28.300","28.000","944,69K","0,00%"
"25.04.2019","28.100","28.400","28.400","27.750","1,24M","-0,88%"
"24.04.2019","28.350","28.300","28.400","28.150","1,13M","0,35%"
"23.04.2019","28.250","28.200","28.400","27.950","1,39M","0,53%"
"22.04.2019","28.100","28.200","28.200","27.700","1,24M","0,00%"
"19.04.2019","28.100","28.100","28.150","27.850","938,99K","0,00%"
"18.04.2019","28.100","28.300","28.400","27.900","1,16M","-1,40%"
"17.04.2019","28.500","28.700","28.850","28.500","1,06M","-0,35%"
"16.04.2019","28.600","27.650","28.600","27.500","1,47M","3,25%"
"12.04.2019","27.700","27.950","28.050","27.500","1,43M","-0,89%"
"11.04.2019","27.950","28.200","28.300","27.950","1,06M","-0,53%"
"10.04.2019","28.100","28.550","28.600","28.000","1,71M","-2,26%"
"09.04.2019","28.750","28.900","29.250","28.450","1,88M","-0,52%"
"08.04.2019","28.900","29.100","29.150","28.750","1,07M","-1,20%"
"05.04.2019","29.250","29.100","29.250","28.900","1,36M","0,17%"
"04.04.2019","29.200","28.500","29.250","28.500","1,61M","3,36%"
"03.04.2019","28.250","28.500","28.550","28.150","1,14M","-1,91%"
"02.04.2019","28.800","29.600","29.700","28.500","1,52M","-2,54%"
"01.04.2019","29.550","30.000","30.050","29.500","1,10M","-1,50%"
"29.03.2019","30.000","30.000","30.200","29.750","1,15M","-0,50%"
"28.03.2019","30.150","30.200","30.700","30.000","1,48M","-0,66%"
"27.03.2019","30.350","30.350","30.550","30.050","1,49M","0,17%"
"26.03.2019","30.300","30.300","30.650","30.200","1,42M","0,00%"
"25.03.2019","30.300","30.300","30.700","30.050","1,27M","-2,26%"
"22.03.2019","31.000","31.000","31.400","30.800","1,24M","0,00%"
"21.03.2019","31.000","31.750","31.950","30.950","972,86K","-2,36%"
"20.03.2019","31.750","31.800","31.900","31.000","931,48K","-0,47%"
"19.03.2019","31.900","31.800","32.350","31.800","1,70M","0,31%"
"18.03.2019","31.800","31.900","32.300","31.650","1,39M","0,00%"
"15.03.2019","31.800","30.900","31.950","30.850","3,06M","2,91%"
"14.03.2019","30.900","31.000","31.050","30.700","1,31M","-0,32%"
"13.03.2019","31.000","30.900","31.250","30.900","2,04M","0,32%"
"12.03.2019","30.900","30.400","31.000","30.300","1,51M","1,64%"
"11.03.2019","30.400","30.500","30.500","30.100","626,15K","0,00%"
"08.03.2019","30.400","30.450","30.600","30.000","1,21M","-0,98%"
"07.03.2019","30.700","30.700","30.850","30.400","1,62M","0,00%"
"06.03.2019","30.700","30.750","31.000","30.500","1,11M","0,00%"
"05.03.2019","30.700","30.400","30.850","30.300","1,30M","0,99%"
