Date,Open,High,Low,Close,Adj Close,Volume
2011-01-24,3.250000,3.420000,3.250000,3.310000,2.558440,6121476
2011-01-25,3.350000,3.379000,3.185000,3.210000,2.481146,8419461
2011-01-26,3.210000,3.250000,3.163000,3.174000,2.453320,10966562
2011-01-27,3.200000,3.242000,3.130000,3.130000,2.419311,20280100
2011-01-28,3.100000,3.127000,3.030000,3.040000,2.349746,33814173
2011-01-31,3.000000,3.031000,2.910000,3.000000,2.318828,6031079
2011-02-01,3.020000,3.105000,3.001000,3.035000,2.345881,13601617
2011-02-02,3.150000,3.150000,2.930000,3.026000,2.338924,18260026
2011-02-03,3.090000,3.090000,2.965000,3.078000,2.379117,11012970
2011-02-04,3.077000,3.107000,3.021000,3.060000,2.365205,23457142
2011-02-07,3.105000,3.220000,3.070000,3.220000,2.488875,18549032
2011-02-08,3.180000,3.210000,3.133000,3.150000,2.434769,13163035
2011-02-09,3.162000,3.170000,3.042000,3.045000,2.353611,8300719
2011-02-10,3.000000,3.000000,2.860000,2.965000,2.291775,7246985
2011-02-11,2.975000,2.980000,2.891000,2.928000,2.263176,14226967
2011-02-14,2.992000,2.992000,2.883000,2.909000,2.248490,5324968
2011-02-15,2.910000,2.960000,2.870000,2.960000,2.287910,2958552
2011-02-16,2.985000,3.030000,2.964000,3.030000,2.342016,6513305
2011-02-17,3.018000,3.034000,2.967000,2.979000,2.302597,3601088
2011-02-18,2.970000,3.009000,2.935000,2.937000,2.270133,1571731
2011-02-21,2.969000,2.969000,2.850000,2.858000,2.209070,8766842
2011-02-22,2.810000,2.834000,2.719000,2.811000,2.172742,6308118
2011-02-23,2.760000,2.810000,2.735000,2.752000,2.127138,2671919
2011-02-24,2.712000,2.715000,2.622000,2.647000,2.045979,5335353
2011-02-25,2.641000,2.727000,2.623000,2.623000,2.027428,26600152
2011-02-28,2.670000,2.671000,2.610000,2.638000,2.039023,5445369
2011-03-01,2.650000,2.724000,2.611000,2.649000,2.047525,3103535
2011-03-02,2.630000,2.699000,2.583000,2.664000,2.059119,4473239
2011-03-03,2.700000,2.744000,2.675000,2.707000,2.092355,2267608
2011-03-04,2.680000,2.750000,2.621000,2.621000,2.025883,1968742
2011-03-07,2.646000,2.710000,2.611000,2.659000,2.055254,1538654
2011-03-08,2.710000,2.710000,2.636000,2.650000,2.048298,2179927
2011-03-09,2.700000,2.771000,2.693000,2.732000,2.111679,4539366
2011-03-10,2.729000,2.729000,2.670000,2.704000,2.090037,3239442
2011-03-11,2.700000,2.720000,2.650000,2.720000,2.102404,1403212
2011-03-14,2.662000,2.720000,2.659000,2.680000,2.071486,1649062
2011-03-15,2.620000,2.630000,2.530000,2.560000,1.978733,3238987
2011-03-16,2.590000,2.592000,2.432000,2.460000,1.901439,2284980
2011-03-17,2.480000,2.527000,2.442000,2.527000,1.953226,1585636
2011-03-18,2.530000,2.575000,2.450000,2.450000,1.893710,4944595
2011-03-21,2.495000,2.560000,2.493000,2.555000,1.974869,2057161
2011-03-22,2.580000,2.590000,2.533000,2.560000,1.978733,2852139
2011-03-23,2.535000,2.547000,2.482000,2.499000,1.931584,2557586
2011-03-24,2.480000,2.570000,2.451000,2.570000,1.986462,47573103
2011-03-25,2.571000,2.640000,2.552000,2.606000,2.014288,2880519
2011-03-28,2.630000,2.648000,2.596000,2.621000,2.025883,3311140
2011-03-29,2.628000,2.628000,2.582000,2.608000,2.015835,3742236
2011-03-30,2.625000,2.679000,2.620000,2.646000,2.045206,4543100
2011-03-31,2.650000,2.666000,2.551000,2.597000,2.007332,26301070
2011-04-01,2.667000,2.669000,2.540000,2.581000,1.994965,5121842
2011-04-04,2.588000,2.588000,2.540000,2.540000,1.963274,4610525
2011-04-05,2.550000,2.550000,2.511000,2.526000,1.952453,4346357
2011-04-06,2.538000,2.563000,2.507000,2.551000,1.971777,6198388
2011-04-07,2.539000,2.584000,2.539000,2.549000,1.970231,2434466
2011-04-08,2.544000,2.561000,2.460000,2.460000,1.901439,5736350
2011-04-11,2.465000,2.492000,2.438000,2.438000,1.884434,6326367
2011-04-12,2.425000,2.534000,2.420000,2.533000,1.957864,7277368
2011-04-13,2.547000,2.570000,2.511000,2.544000,1.966366,10894240
2011-04-14,2.540000,2.560000,2.510000,2.555000,1.974869,3279711
2011-04-15,2.563000,2.563000,2.530000,2.547000,1.968685,9983246
2011-04-18,2.534000,2.547000,2.460000,2.475000,1.913033,5540750
2011-04-19,2.482000,2.547000,2.465000,2.530000,1.955545,2262982
2011-04-20,2.549000,2.559000,2.522000,2.525000,1.951680,3330162
2011-04-21,2.549000,2.549000,2.496000,2.505000,1.936222,3311282
2011-04-26,2.495000,2.590000,2.493000,2.590000,2.001921,3089032
2011-04-27,2.606000,2.709000,2.601000,2.705000,2.090810,6194340
2011-04-28,2.710000,2.720000,2.653000,2.676000,2.068394,4017608
2011-04-29,2.698000,2.700000,2.670000,2.692000,2.080761,1946864
2011-05-02,2.730000,2.789000,2.720000,2.780000,2.148781,3143294
2011-05-03,2.800000,2.800000,2.661000,2.665000,2.059892,13495395
2011-05-04,2.685000,2.695000,2.640000,2.670000,2.063757,3287553
2011-05-05,2.699000,2.770000,2.652000,2.770000,2.141052,8856066
2011-05-06,2.800000,2.887000,2.770000,2.872000,2.219891,13292217
2011-05-09,2.870000,2.880000,2.821000,2.851000,2.203660,6624904
2011-05-10,2.852000,2.879000,2.830000,2.830000,2.187428,3673534
2011-05-11,2.839000,2.860000,2.781000,2.833000,2.189746,17440255
2011-05-12,2.800000,2.890000,2.800000,2.828000,2.185882,7006665
2011-05-13,2.850000,2.850000,2.760000,2.761000,2.134095,147775604
2011-05-16,2.734000,2.835000,2.728000,2.824000,2.182790,2264411
2011-05-17,2.825000,2.835000,2.760000,2.768000,2.139505,2327702
2011-05-18,2.799000,2.800000,2.752000,2.775000,2.144916,12747641
2011-05-19,2.780000,2.849000,2.772000,2.838000,2.193611,5423465
2011-05-20,2.805000,2.863000,2.805000,2.837000,2.192838,7399535
2011-05-23,2.751000,2.784000,2.699000,2.699000,2.086172,6228366
2011-05-24,2.665000,2.698000,2.611000,2.640000,2.040569,8590420
2011-05-25,2.631000,2.710000,2.623000,2.710000,2.094675,7170360
2011-05-26,2.730000,2.740000,2.710000,2.733000,2.112452,5455072
2011-05-27,2.732000,2.757000,2.712000,2.720000,2.102404,2532965
2011-05-30,2.710000,2.740000,2.710000,2.730000,2.110133,567796
2011-05-31,2.740000,2.759000,2.699000,2.699000,2.086172,4514913
2011-06-01,2.730000,2.730000,2.671000,2.671000,2.064530,2430388
2011-06-02,2.650000,2.676000,2.621000,2.650000,2.048298,3086141
2011-06-03,2.632000,2.673000,2.592000,2.662000,2.057573,4210693
2011-06-06,2.699000,2.699000,2.563000,2.564000,1.981825,3117455
2011-06-07,2.563000,2.610000,2.557000,2.572000,1.988008,2772799
2011-06-08,2.571000,2.589000,2.514000,2.539000,1.962502,4368692
2011-06-09,2.543000,2.558000,2.510000,2.527000,1.953226,2360972
2011-06-10,2.520000,2.555000,2.502000,2.515000,1.943951,3387426
2011-06-13,2.530000,2.560000,2.520000,2.554000,1.974095,1737620
2011-06-14,2.571000,2.648000,2.559000,2.637000,2.038250,3245368
2011-06-15,2.630000,2.677000,2.604000,2.655000,2.052163,5020752
2011-06-16,2.620000,2.658000,2.593000,2.627000,2.030520,3020814
2011-06-17,2.600000,2.638000,2.581000,2.627000,2.030520,5383308
2011-06-20,2.643000,2.700000,2.600000,2.687000,2.076897,4233608
2011-06-21,2.730000,2.743000,2.701000,2.726000,2.107042,3692481
2011-06-22,2.730000,2.734000,2.708000,2.714000,2.097767,1289754
2011-06-23,2.712000,2.757000,2.660000,2.757000,2.131003,7720916
2011-06-24,2.750000,2.817000,2.710000,2.721000,2.103177,5608323
2011-06-27,2.699000,2.767000,2.699000,2.749000,2.124820,2683749
2011-06-28,2.749000,2.801000,2.741000,2.781000,2.149553,5970709
2011-06-29,2.785000,2.828000,2.785000,2.799000,2.163466,4748824
2011-06-30,2.809000,2.823000,2.773000,2.799000,2.163466,2783737
