"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","22.450","22.200","22.500","22.200","209,74K","-0,22%"
"25.06.2019","22.500","22.550","22.550","22.250","163,07K","-0,22%"
"24.06.2019","22.550","22.600","22.800","22.100","323,06K","-0,22%"
"21.06.2019","22.600","22.350","22.600","22.200","395,65K","0,00%"
"20.06.2019","22.600","22.300","22.800","22.250","283,43K","0,67%"
"19.06.2019","22.450","23.000","23.000","22.300","205,75K","-2,39%"
"18.06.2019","23.000","22.650","23.000","22.100","424,04K","2,45%"
"17.06.2019","22.450","22.900","22.900","22.450","1,73M","-1,75%"
"14.06.2019","22.850","22.650","22.900","22.600","107,44K","0,22%"
"13.06.2019","22.800","22.900","22.900","22.700","241,18K","0,00%"
"12.06.2019","22.800","22.950","22.950","22.800","105,79K","-0,87%"
"11.06.2019","23.000","23.050","23.050","22.850","191,43K","0,00%"
"10.06.2019","23.000","22.750","23.050","22.750","745,79K","0,66%"
"07.06.2019","22.850","22.700","22.900","22.600","168,83K","0,66%"
"06.06.2019","22.700","22.700","22.900","22.650","91,92K","-0,87%"
"05.06.2019","22.900","22.500","22.900","22.500","148,76K","0,00%"
"04.06.2019","22.900","22.850","22.900","22.100","751,53K","0,66%"
"03.06.2019","22.750","23.000","23.000","22.000","353,38K","-1,30%"
"31.05.2019","23.050","23.200","23.200","22.850","234,99K","-0,65%"
"30.05.2019","23.200","23.150","23.200","22.850","410,92K","0,87%"
"29.05.2019","23.000","23.350","23.350","23.000","232,50K","-1,29%"
"28.05.2019","23.300","23.350","23.400","23.200","287,80K","-0,21%"
"27.05.2019","23.350","23.300","23.450","23.050","657,16K","0,21%"
"24.05.2019","23.300","23.000","23.350","23.000","502,62K","1,08%"
"23.05.2019","23.050","23.100","23.300","23.050","220,02K","0,00%"
"22.05.2019","23.050","23.450","23.500","23.050","333,06K","-1,71%"
"21.05.2019","23.450","23.150","23.450","23.150","433,07K","1,30%"
"20.05.2019","23.150","23.150","23.300","23.150","261,18K","0,00%"
"17.05.2019","23.150","23.100","23.450","23.100","1,04M","-1,07%"
"16.05.2019","23.400","23.100","23.400","23.000","495,30K","0,86%"
"15.05.2019","23.200","23.000","23.200","22.950","222,39K","0,87%"
"14.05.2019","23.000","23.200","23.200","22.950","260,17K","-1,08%"
"13.05.2019","23.250","23.000","23.300","22.900","548,99K","-0,21%"
"10.05.2019","23.300","23.300","23.400","22.950","525,82K","0,00%"
"09.05.2019","23.300","23.300","23.400","22.950","318,73K","0,65%"
"08.05.2019","23.150","23.500","23.500","22.950","262,50K","-1,49%"
"07.05.2019","23.500","23.650","23.650","22.900","333,47K","0,00%"
"06.05.2019","23.500","23.200","23.500","22.850","547,10K","2,17%"
"03.05.2019","23.000","23.250","23.500","23.000","149,59K","-2,95%"
"02.05.2019","23.700","23.000","23.700","22.950","262,68K","3,49%"
"26.04.2019","22.900","23.100","23.500","22.900","346,88K","-2,55%"
"25.04.2019","23.500","23.600","23.600","23.200","104,06K","-0,42%"
"24.04.2019","23.600","23.800","23.800","23.400","117,51K","-0,84%"
"23.04.2019","23.800","23.450","23.800","23.200","319,55K","2,37%"
"22.04.2019","23.250","23.250","23.800","23.250","124,68K","-2,31%"
"19.04.2019","23.800","23.950","23.950","23.500","116,91K","-0,63%"
"18.04.2019","23.950","23.550","24.000","23.500","231,59K","0,00%"
"17.04.2019","23.950","24.300","24.300","23.800","223,48K","-0,21%"
"16.04.2019","24.000","24.100","24.100","22.800","180,48K","-1,44%"
"12.04.2019","24.350","24.400","24.400","24.100","65,93K","-0,20%"
"11.04.2019","24.400","24.450","24.650","24.100","118,29K","-0,20%"
"10.04.2019","24.450","24.450","24.700","24.250","176,02K","-1,01%"
"09.04.2019","24.700","24.700","24.800","24.400","269,17K","0,20%"
"08.04.2019","24.650","24.800","25.050","24.650","152,61K","-2,18%"
"05.04.2019","25.200","24.600","25.200","24.450","510,80K","2,02%"
"04.04.2019","24.700","25.000","25.000","24.650","146,04K","-0,80%"
"03.04.2019","24.900","25.000","25.250","24.900","453,93K","-0,40%"
"02.04.2019","25.000","24.800","25.200","24.700","1,10M","0,81%"
"01.04.2019","24.800","24.900","24.900","24.500","483,89K","0,20%"
"29.03.2019","24.750","24.750","25.000","24.600","453,63K","0,00%"
"28.03.2019","24.750","24.750","24.800","24.600","280,29K","0,20%"
"27.03.2019","24.700","24.500","25.200","24.500","451,63K","1,02%"
"26.03.2019","24.450","24.400","24.700","24.200","322,65K","0,20%"
"25.03.2019","24.400","24.600","25.000","24.400","566,74K","-3,17%"
"22.03.2019","25.200","24.800","25.200","24.550","1,20M","1,61%"
"21.03.2019","24.800","25.600","25.600","24.500","822,33K","-2,75%"
"20.03.2019","25.500","24.950","25.500","24.300","1,88M","2,41%"
"19.03.2019","24.900","24.650","25.300","24.300","1,56M","1,63%"
"18.03.2019","24.500","24.750","24.750","24.250","928,70K","0,00%"
"15.03.2019","24.500","24.550","24.800","24.300","637,30K","-0,20%"
"14.03.2019","24.550","24.700","24.950","24.350","1,17M","-0,61%"
"13.03.2019","24.700","23.900","24.700","23.800","3,33M","3,35%"
"12.03.2019","23.900","24.000","24.000","23.700","1,25M","0,42%"
"11.03.2019","23.800","23.400","24.150","23.400","1,17M","1,06%"
"08.03.2019","23.550","23.600","23.850","23.400","1,26M","-0,21%"
"07.03.2019","23.600","23.800","24.200","23.600","744,44K","-1,05%"
"06.03.2019","23.850","23.100","24.000","22.950","2,04M","4,15%"
"05.03.2019","22.900","23.250","23.350","22.900","2,68M","-1,72%"
"04.03.2019","23.300","23.200","23.450","23.150","890,26K","0,22%"
"01.03.2019","23.250","23.800","23.850","23.250","1,35M","-3,13%"
"28.02.2019","24.000","24.500","24.500","23.250","2,78M","-2,24%"
"27.02.2019","24.550","23.550","24.800","23.300","3,65M","4,47%"
"26.02.2019","23.500","23.650","23.700","23.300","2,99M","-0,63%"
"25.02.2019","23.650","22.700","23.700","22.650","2,74M","4,19%"
"22.02.2019","22.700","23.050","23.050","22.700","1,49M","-1,52%"
"21.02.2019","23.050","22.800","23.050","22.800","1,64M","0,44%"
"20.02.2019","22.950","23.250","23.300","22.800","1,86M","-1,50%"
"19.02.2019","23.300","23.300","23.400","23.100","1,27M","0,87%"
"18.02.2019","23.100","22.900","23.300","22.850","2,27M","0,87%"
"15.02.2019","22.900","23.150","23.450","22.900","1,26M","-1,93%"
"14.02.2019","23.350","23.500","23.500","23.150","478,62K","-0,64%"
"13.02.2019","23.500","23.300","23.500","22.950","1,07M","0,86%"
"12.02.2019","23.300","23.900","23.900","23.300","657,80K","-2,10%"
"11.02.2019","23.800","23.400","23.850","23.250","510,58K","4,85%"
"01.02.2019","22.700","23.000","23.400","22.700","511,11K","-1,30%"
"31.01.2019","23.000","23.700","23.700","23.000","640,49K","-2,95%"
"30.01.2019","23.700","23.000","23.700","23.000","220,57K","0,85%"
"29.01.2019","23.500","23.000","23.500","22.800","638,24K","2,17%"
"28.01.2019","23.000","22.900","23.300","22.700","261,92K","0,44%"
"25.01.2019","22.900","23.950","23.950","22.900","742,41K","-4,38%"
"24.01.2019","23.950","23.250","23.950","23.100","743,68K","2,57%"
"23.01.2019","23.350","22.950","23.350","22.600","327,05K","3,09%"
"22.01.2019","22.650","23.700","23.700","22.650","618,13K","-4,43%"
"21.01.2019","23.700","23.700","23.850","22.800","973,71K","0,00%"
"18.01.2019","23.700","23.800","24.000","23.050","1,33M","-0,42%"
"17.01.2019","23.800","24.100","24.150","23.300","533,54K","-0,83%"
"16.01.2019","24.000","23.300","24.400","23.300","533,20K","-1,23%"
"15.01.2019","24.300","24.400","24.500","24.000","640,26K","0,62%"
"14.01.2019","24.150","24.550","24.750","24.100","794,11K","-2,23%"
"11.01.2019","24.700","24.850","24.850","24.300","326,94K","-0,60%"
"10.01.2019","24.850","24.500","24.950","24.300","361,69K","-1,00%"
"09.01.2019","25.100","25.250","25.250","24.150","465,03K","2,45%"
"08.01.2019","24.500","25.000","25.450","24.350","444,52K","-3,92%"
"07.01.2019","25.500","25.750","25.750","24.400","555,75K","0,00%"
"04.01.2019","25.500","24.900","26.000","24.600","692,12K","1,19%"
"03.01.2019","25.200","25.850","25.900","24.250","1,03M","-3,08%"
"02.01.2019","26.000","26.300","26.350","25.500","1,55M","-1,14%"
"28.12.2018","26.300","26.000","26.300","25.550","507,87K","1,35%"
"27.12.2018","25.950","25.750","26.450","25.750","854,69K","0,58%"
"26.12.2018","25.800","25.050","26.000","25.050","1,16M","1,38%"
"25.12.2018","25.450","25.000","25.500","24.900","522,05K","-1,17%"
"24.12.2018","25.750","26.000","26.000","25.600","335,01K","-0,39%"
"21.12.2018","25.850","25.800","26.100","25.750","922,08K","-0,77%"
"20.12.2018","26.050","26.100","26.200","26.000","1,04M","-0,19%"
"19.12.2018","26.100","25.850","26.250","25.850","1,40M","0,38%"
"18.12.2018","26.000","26.050","26.250","25.800","934,09K","-0,95%"
"17.12.2018","26.250","26.400","26.650","26.250","892,92K","-0,94%"
"14.12.2018","26.500","26.500","26.700","26.250","1,08M","-0,38%"
"13.12.2018","26.600","26.600","27.000","26.400","540,97K","0,00%"
"12.12.2018","26.600","26.350","26.600","26.200","2,11M","0,76%"
"11.12.2018","26.400","26.450","26.450","26.150","940,56K","0,00%"
"10.12.2018","26.400","26.150","26.400","26.000","761,12K","0,76%"
"07.12.2018","26.200","26.400","26.500","26.200","425,90K","-0,76%"
"06.12.2018","26.400","26.500","26.500","26.250","190,09K","0,00%"
"05.12.2018","26.400","26.300","26.450","26.100","359,73K","-0,38%"
"04.12.2018","26.500","26.200","26.500","26.050","669,57K","0,00%"
"03.12.2018","26.500","26.800","27.000","26.100","385,42K","0,76%"
"30.11.2018","26.300","26.050","26.400","26.000","258,19K","-0,38%"
"29.11.2018","26.400","26.450","26.500","26.300","207,96K","0,76%"
"28.11.2018","26.200","26.100","26.300","26.050","211,56K","0,19%"
"27.11.2018","26.150","26.400","26.450","26.150","164,22K","-0,95%"
"26.11.2018","26.400","26.150","26.550","26.050","209,86K","-0,19%"
"23.11.2018","26.450","26.300","26.800","26.250","248,22K","-1,31%"
"22.11.2018","26.800","26.950","27.100","26.500","492,83K","-0,56%"
"21.11.2018","26.950","26.200","27.000","26.050","730,25K","-0,19%"
"20.11.2018","27.000","27.200","27.400","26.700","2,08M","-1,46%"
"19.11.2018","27.400","26.350","27.400","26.250","2,52M","4,78%"
"16.11.2018","26.150","25.000","26.400","24.650","988,63K","3,77%"
"15.11.2018","25.200","24.350","25.200","24.350","524,64K","2,86%"
"14.11.2018","24.500","24.950","25.350","24.500","762,58K","-1,80%"
"13.11.2018","24.950","24.600","24.950","24.300","409,01K","-0,99%"
"12.11.2018","25.200","24.850","25.200","24.600","377,26K","0,20%"
"09.11.2018","25.150","24.800","25.200","24.800","458,99K","0,20%"
"08.11.2018","25.100","25.400","25.400","24.850","883,41K","-0,79%"
"07.11.2018","25.300","25.200","25.400","24.950","1,36M","-0,39%"
"06.11.2018","25.400","24.350","25.600","24.350","1,87M","3,04%"
"05.11.2018","24.650","23.900","24.650","23.400","753,29K","2,07%"
"02.11.2018","24.150","23.400","24.400","23.400","422,47K","2,33%"
