"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 17, 2021","285.95","289.00","297.30","276.60","271.45K","0.99%"
"Jun 16, 2021","283.15","291.10","293.95","282.00","85.23K","-2.66%"
"Jun 15, 2021","290.90","298.25","299.90","286.35","85.00K","-1.69%"
"Jun 14, 2021","295.90","296.00","304.10","280.50","160.66K","0.34%"
"Jun 11, 2021","294.90","296.15","302.00","287.50","123.48K","0.37%"
"Jun 10, 2021","293.80","283.75","297.40","283.75","153.82K","3.41%"
"Jun 09, 2021","284.10","263.00","290.35","263.00","302.33K","2.73%"
"Jun 08, 2021","276.55","289.90","291.65","275.00","197.94K","-4.37%"
"Jun 07, 2021","289.20","306.50","306.50","286.15","400.47K","-1.77%"
"Jun 04, 2021","294.40","294.40","294.40","286.10","133.29K","4.99%"
"Jun 03, 2021","280.40","278.50","280.40","270.00","204.27K","5.00%"
"Jun 02, 2021","267.05","254.00","267.05","247.00","175.17K","4.99%"
"Jun 01, 2021","254.35","269.75","271.75","245.95","460.25K","-1.74%"
"May 31, 2021","258.85","251.95","258.85","250.60","376.75K","4.99%"
"May 28, 2021","246.55","246.40","246.55","238.65","159.60K","4.98%"
"May 27, 2021","234.85","222.30","234.85","217.50","248.74K","4.98%"
"May 26, 2021","223.70","236.75","236.75","220.30","313.00K","-0.80%"
"May 25, 2021","225.50","216.00","225.50","215.60","182.94K","4.98%"
"May 24, 2021","214.80","211.00","218.00","207.10","207.30K","2.95%"
"May 21, 2021","208.65","203.80","208.65","200.10","142.68K","4.98%"
"May 20, 2021","198.75","214.50","214.50","197.40","210.43K","-2.74%"
"May 19, 2021","204.35","197.70","204.35","190.90","202.84K","4.98%"
"May 18, 2021","194.65","204.80","207.55","193.00","152.86K","-2.68%"
"May 17, 2021","200.00","205.00","208.80","198.20","190.95K","-4.12%"
"May 14, 2021","208.60","223.00","227.80","208.60","336.39K","-4.99%"
"May 12, 2021","219.55","210.50","221.40","207.05","854.72K","9.07%"
"May 11, 2021","201.30","182.05","202.75","177.75","911.68K","9.19%"
"May 10, 2021","184.35","172.40","184.35","170.95","395.72K","9.99%"
"May 07, 2021","167.60","169.50","171.80","166.00","197.37K","1.39%"
"May 06, 2021","165.30","166.70","170.10","163.35","62.21K","-0.51%"
"May 05, 2021","166.15","168.75","169.70","163.25","115.85K","0.27%"
"May 04, 2021","165.70","174.95","178.70","165.00","133.43K","-4.44%"
"May 03, 2021","173.40","165.00","175.00","162.65","267.31K","5.83%"
"Apr 30, 2021","163.85","157.00","170.00","155.25","286.64K","4.90%"
"Apr 29, 2021","156.20","158.45","158.45","151.25","135.79K","0.90%"
"Apr 28, 2021","154.80","155.70","157.80","154.00","137.71K","0.95%"
"Apr 27, 2021","153.35","147.00","154.60","146.95","118.05K","4.89%"
"Apr 26, 2021","146.20","146.00","149.70","144.10","53.98K","0.65%"
"Apr 23, 2021","145.25","149.00","149.00","144.50","39.86K","-0.03%"
"Apr 22, 2021","145.30","143.90","147.50","140.25","47.59K","0.97%"
"Apr 20, 2021","143.90","144.30","149.00","143.00","38.85K","0.24%"
"Apr 19, 2021","143.55","145.25","147.85","142.50","74.82K","-3.85%"
"Apr 16, 2021","149.30","155.95","156.35","148.05","114.55K","-1.32%"
"Apr 15, 2021","151.30","151.00","154.95","147.05","61.41K","-0.36%"
"Apr 13, 2021","151.85","150.90","152.90","147.40","68.08K","3.12%"
"Apr 12, 2021","147.25","156.00","156.05","145.10","84.64K","-7.01%"
"Apr 09, 2021","158.35","167.95","168.90","157.00","130.81K","-4.26%"
"Apr 08, 2021","165.40","153.90","168.35","153.90","370.94K","8.07%"
"Apr 07, 2021","153.05","156.10","158.80","152.25","56.93K","-1.42%"
"Apr 06, 2021","155.25","155.40","160.90","152.50","119.44K","0.42%"
"Apr 05, 2021","154.60","153.00","157.00","145.30","172.27K","2.69%"
"Apr 01, 2021","150.55","146.30","150.55","143.65","77.28K","4.99%"
"Mar 31, 2021","143.40","137.40","143.40","134.55","122.12K","4.98%"
"Mar 30, 2021","136.60","139.30","143.50","134.25","91.90K","-1.90%"
"Mar 26, 2021","139.25","138.65","143.20","138.00","88.99K","1.27%"
"Mar 25, 2021","137.50","142.00","145.00","136.05","88.92K","-3.51%"
"Mar 24, 2021","142.50","146.95","149.80","141.10","74.57K","-3.62%"
"Mar 23, 2021","147.85","142.70","148.25","141.15","104.31K","4.71%"
"Mar 22, 2021","141.20","143.70","144.40","139.75","111.40K","0.04%"
"Mar 19, 2021","141.15","141.15","147.75","137.25","124.29K","-2.22%"
"Mar 18, 2021","144.35","155.00","155.00","143.95","94.17K","-4.72%"
"Mar 17, 2021","151.50","160.05","161.00","151.35","93.89K","-4.90%"
"Mar 16, 2021","159.30","157.30","161.85","151.50","137.66K","3.31%"
"Mar 15, 2021","154.20","163.70","163.70","153.00","94.01K","-2.99%"
"Mar 12, 2021","158.95","164.00","164.05","158.00","120.93K","-1.18%"
"Mar 10, 2021","160.85","165.60","168.00","159.45","98.87K","-2.34%"
"Mar 09, 2021","164.70","164.00","170.85","163.00","130.61K","1.20%"
"Mar 08, 2021","162.75","169.90","171.80","160.55","98.53K","-2.43%"
"Mar 05, 2021","166.80","169.00","176.65","161.35","241.50K","-0.86%"
"Mar 04, 2021","168.25","172.05","174.00","167.50","147.60K","-4.16%"
"Mar 03, 2021","175.55","187.90","190.65","174.40","440.33K","-4.36%"
"Mar 02, 2021","183.55","173.00","183.55","171.10","893.09K","9.98%"
"Mar 01, 2021","166.90","155.05","166.90","155.00","361.13K","9.98%"
"Feb 26, 2021","151.75","144.00","157.75","139.65","359.37K","4.66%"
"Feb 25, 2021","145.00","140.90","148.00","139.10","267.67K","4.13%"
"Feb 24, 2021","139.25","139.90","142.00","137.30","17.63K","1.09%"
"Feb 23, 2021","137.75","138.00","140.80","136.60","37.78K","0.77%"
"Feb 22, 2021","136.70","141.00","143.00","136.20","35.72K","-2.22%"
"Feb 19, 2021","139.80","140.65","143.40","138.70","52.97K","-1.24%"
"Feb 18, 2021","141.55","140.00","144.80","137.50","87.56K","1.91%"
"Feb 17, 2021","138.90","143.95","143.95","136.50","58.87K","-3.54%"
"Feb 16, 2021","144.00","137.30","149.00","137.30","172.80K","5.88%"
"Feb 15, 2021","136.00","140.45","142.45","134.10","54.06K","-3.17%"
"Feb 12, 2021","140.45","145.05","145.05","138.45","68.84K","-2.23%"
"Feb 11, 2021","143.65","145.00","146.90","142.40","90.18K","0.07%"
"Feb 10, 2021","143.55","147.00","148.00","142.20","185.22K","1.92%"
"Feb 09, 2021","140.85","134.40","146.65","134.00","215.99K","4.96%"
"Feb 08, 2021","134.20","135.50","135.50","132.50","43.38K","2.29%"
"Feb 05, 2021","131.20","135.40","135.40","130.00","26.67K","0.08%"
"Feb 04, 2021","131.10","138.80","138.80","130.00","67.16K","-0.83%"
"Feb 03, 2021","132.20","128.50","132.20","126.05","21.74K","4.96%"
"Feb 02, 2021","125.95","129.00","129.30","124.00","44.92K","-0.83%"
"Feb 01, 2021","127.00","127.75","128.20","125.15","29.93K","-0.35%"
"Jan 29, 2021","127.45","130.90","130.90","125.45","19.06K","2.04%"
"Jan 28, 2021","124.90","123.70","126.50","123.00","26.97K","-1.38%"
"Jan 27, 2021","126.65","131.00","131.00","123.00","48.66K","-0.59%"
"Jan 25, 2021","127.40","133.50","133.50","126.10","27.37K","-2.64%"
"Jan 22, 2021","130.85","134.05","134.05","130.00","30.78K","-1.25%"
"Jan 21, 2021","132.50","136.00","138.70","130.70","38.90K","-2.21%"
"Jan 20, 2021","135.50","137.80","138.30","133.75","22.36K","-0.91%"
"Jan 19, 2021","136.75","134.60","138.60","134.55","28.30K","2.05%"
"Jan 18, 2021","134.00","135.90","137.10","133.35","30.67K","-1.25%"
"Jan 15, 2021","135.70","137.25","138.35","135.05","32.14K","-1.09%"
"Jan 14, 2021","137.20","139.15","139.15","135.55","36.85K","-0.80%"
"Jan 13, 2021","138.30","138.00","140.85","135.95","75.58K","1.39%"
"Jan 12, 2021","136.40","138.40","138.40","133.60","56.95K","-1.45%"
"Jan 11, 2021","138.40","143.50","143.50","133.00","105.25K","-0.93%"
"Jan 08, 2021","139.70","148.55","148.55","137.70","108.90K","-1.27%"
"Jan 07, 2021","141.50","134.90","141.50","134.90","63.91K","4.97%"
"Jan 06, 2021","134.80","139.90","139.90","134.15","106.07K","-1.64%"
"Jan 05, 2021","137.05","140.80","140.80","135.65","60.59K","-0.65%"
"Jan 04, 2021","137.95","142.90","142.90","136.60","186.44K","-0.86%"
"Jan 01, 2021","139.15","137.00","144.85","137.00","81.81K","0.47%"
"Dec 31, 2020","138.50","137.00","139.80","137.00","57.98K","0.29%"
"Dec 30, 2020","138.10","140.70","141.00","137.05","50.67K","-1.85%"
"Dec 29, 2020","140.70","144.00","144.60","138.60","61.90K","0.50%"
"Dec 28, 2020","140.00","147.00","148.00","138.30","104.32K","-3.01%"
"Dec 24, 2020","144.35","150.55","150.55","141.60","107.23K","0.66%"
"Dec 23, 2020","143.40","138.80","143.40","136.05","102.75K","4.98%"
"Dec 22, 2020","136.60","130.30","138.50","129.10","124.14K","0.55%"
"Dec 21, 2020","135.85","143.00","145.95","135.85","98.89K","-4.97%"
"Dec 18, 2020","142.95","155.00","155.45","142.00","132.70K","-4.29%"
"Dec 17, 2020","149.35","158.00","158.00","148.45","185.68K","-4.02%"
"Dec 16, 2020","155.60","164.80","164.80","149.25","742.88K","-0.95%"
"Dec 15, 2020","157.10","157.10","157.10","150.00","673.74K","9.98%"
"Dec 14, 2020","142.85","142.85","142.85","142.85","220.69K","9.97%"
