"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 23, 2022","136.600","137.700","137.950","136.250","-","-0.44%"
"Feb 22, 2022","137.200","134.900","138.200","133.500","120.20K","-0.87%"
"Feb 21, 2022","138.400","141.400","141.400","136.300","75.68K","-0.86%"
"Feb 18, 2022","139.600","143.000","143.800","139.600","93.75K","-2.51%"
"Feb 17, 2022","143.200","143.200","144.600","142.100","68.22K","0.28%"
"Feb 16, 2022","142.800","142.700","144.500","142.100","90.55K","0.42%"
"Feb 15, 2022","142.200","138.100","142.200","137.200","135.04K","2.30%"
"Feb 14, 2022","139.000","141.800","141.800","138.600","97.18K","-3.47%"
"Feb 11, 2022","144.000","143.300","145.600","141.900","101.38K","-0.41%"
"Feb 10, 2022","144.600","151.000","151.200","143.300","176.12K","-3.66%"
"Feb 09, 2022","150.100","147.300","150.800","147.300","68.71K","2.67%"
"Feb 08, 2022","146.200","147.600","149.500","144.600","80.87K","-0.88%"
"Feb 07, 2022","147.500","149.000","149.500","146.900","92.66K","-0.94%"
"Feb 04, 2022","148.900","151.200","151.600","146.000","90.86K","-0.87%"
"Feb 03, 2022","150.200","152.300","153.800","150.200","63.03K","-1.38%"
"Feb 02, 2022","152.300","151.000","153.400","148.000","96.48K","1.74%"
"Feb 01, 2022","149.700","153.300","157.300","145.400","265.00K","-2.98%"
"Jan 31, 2022","154.300","155.000","156.000","153.900","65.74K","0.33%"
"Jan 28, 2022","153.800","154.100","155.500","151.400","63.40K","-0.58%"
"Jan 27, 2022","154.700","150.300","155.600","149.700","78.39K","1.44%"
"Jan 26, 2022","152.500","149.500","154.400","149.500","79.19K","2.62%"
"Jan 25, 2022","148.600","148.800","151.000","148.500","84.76K","0.20%"
"Jan 24, 2022","148.300","151.200","152.800","146.900","89.42K","-2.75%"
"Jan 21, 2022","152.500","153.100","153.900","151.300","94.42K","-1.80%"
"Jan 20, 2022","155.300","152.400","155.700","152.000","56.47K","1.90%"
"Jan 19, 2022","152.400","150.900","153.700","150.300","86.21K","-0.39%"
"Jan 18, 2022","153.000","155.500","155.700","151.400","71.76K","-1.61%"
"Jan 17, 2022","155.500","157.200","157.400","155.100","65.85K","-0.83%"
"Jan 14, 2022","156.800","158.800","158.800","156.600","106.59K","-1.82%"
"Jan 13, 2022","159.700","159.100","161.400","157.800","83.01K","0.31%"
"Jan 12, 2022","159.200","159.500","160.400","155.200","81.74K","-0.31%"
"Jan 11, 2022","159.700","164.800","164.900","158.100","96.92K","-2.38%"
"Jan 10, 2022","163.600","165.500","166.100","162.700","68.86K","-0.79%"
"Jan 07, 2022","164.900","165.400","166.500","164.000","52.08K","-0.06%"
"Jan 06, 2022","165.000","167.100","167.100","163.600","76.59K","-1.84%"
"Jan 05, 2022","168.100","171.500","172.000","167.000","85.81K","-2.66%"
"Jan 04, 2022","172.700","171.900","172.700","170.000","110.05K","1.23%"
"Jan 03, 2022","170.600","168.100","172.600","168.100","90.92K","1.49%"
"Dec 30, 2021","168.100","168.400","169.700","167.600","47.08K","0.06%"
"Dec 29, 2021","168.000","168.400","168.500","167.100","40.52K","0.24%"
"Dec 28, 2021","167.600","166.500","168.500","166.400","32.77K","0.42%"
"Dec 27, 2021","166.900","166.300","167.900","165.300","38.40K","0.12%"
"Dec 23, 2021","166.700","164.900","167.200","164.100","55.56K","1.52%"
"Dec 22, 2021","164.200","161.200","165.100","161.200","74.18K","2.05%"
"Dec 21, 2021","160.900","161.000","161.900","160.000","53.45K","1.07%"
"Dec 20, 2021","159.200","155.200","159.400","154.200","63.02K","0.38%"
"Dec 17, 2021","158.600","159.500","160.900","156.200","92.65K","-1.18%"
"Dec 16, 2021","160.500","160.500","162.200","159.200","62.27K","0.82%"
"Dec 15, 2021","159.200","157.000","159.800","156.800","66.53K","1.92%"
"Dec 14, 2021","156.200","160.400","160.400","155.400","63.29K","-2.01%"
"Dec 13, 2021","159.400","159.500","161.500","158.500","86.02K","0.44%"
"Dec 10, 2021","158.700","159.500","160.300","158.000","50.19K","-0.69%"
"Dec 09, 2021","159.800","159.800","161.300","159.400","47.41K","0.44%"
"Dec 08, 2021","159.100","161.400","163.000","158.400","70.76K","-1.67%"
"Dec 07, 2021","161.800","160.000","162.600","159.400","67.14K","2.21%"
"Dec 06, 2021","158.300","157.000","159.100","156.300","54.43K","2.00%"
"Dec 03, 2021","155.200","155.900","157.700","153.900","115.76K","0.00%"
"Dec 02, 2021","155.200","157.500","159.700","154.200","98.41K","-2.70%"
"Dec 01, 2021","159.500","157.100","160.300","157.100","72.47K","1.27%"
"Nov 30, 2021","157.500","158.000","158.500","156.300","150.39K","-0.94%"
"Nov 29, 2021","159.000","158.500","161.100","158.500","81.40K","-0.19%"
"Nov 26, 2021","159.300","159.000","161.100","156.200","110.53K","-2.27%"
"Nov 25, 2021","163.000","161.400","163.400","161.300","63.88K","1.31%"
"Nov 24, 2021","160.900","159.200","162.400","159.000","66.01K","0.94%"
"Nov 23, 2021","159.400","159.900","161.200","156.100","103.63K","-0.62%"
"Nov 22, 2021","160.400","159.200","160.400","158.400","87.35K","1.01%"
"Nov 19, 2021","158.800","158.600","160.500","157.800","79.52K","0.25%"
"Nov 18, 2021","158.400","160.200","160.500","156.900","104.79K","-1.55%"
"Nov 17, 2021","160.900","162.600","163.200","160.900","91.96K","-0.68%"
"Nov 16, 2021","162.000","161.400","162.700","160.900","63.94K","0.31%"
"Nov 15, 2021","161.500","160.000","161.500","158.900","82.12K","1.25%"
"Nov 12, 2021","159.500","159.100","160.600","157.700","51.28K","0.25%"
"Nov 11, 2021","159.100","159.800","160.100","158.200","75.93K","-0.38%"
"Nov 10, 2021","159.700","156.500","160.600","156.500","120.13K","1.59%"
"Nov 09, 2021","157.200","157.200","159.600","156.300","112.47K","-0.32%"
"Nov 08, 2021","157.700","157.000","159.600","156.300","84.42K","0.45%"
"Nov 05, 2021","157.000","160.000","160.000","155.500","156.48K","-1.32%"
"Nov 04, 2021","159.100","160.700","164.200","158.800","162.84K","-0.25%"
"Nov 03, 2021","159.500","166.800","166.800","158.300","195.54K","-4.43%"
"Nov 02, 2021","166.900","166.800","168.800","165.600","71.30K","0.54%"
"Nov 01, 2021","166.000","166.100","168.900","165.900","106.84K","0.12%"
"Oct 29, 2021","165.800","167.000","167.900","164.100","94.86K","-0.78%"
"Oct 28, 2021","167.100","164.300","167.100","164.300","74.17K","1.64%"
"Oct 27, 2021","164.400","162.500","165.100","162.200","96.95K","0.74%"
"Oct 26, 2021","163.200","162.500","164.100","160.600","101.27K","0.37%"
"Oct 25, 2021","162.600","161.600","163.500","159.300","136.39K","0.93%"
"Oct 22, 2021","161.100","158.900","162.200","157.900","129.64K","2.09%"
"Oct 21, 2021","157.800","155.400","158.900","154.200","116.24K","1.15%"
"Oct 20, 2021","156.000","151.100","156.500","150.400","163.70K","2.97%"
"Oct 19, 2021","151.500","148.600","151.500","148.600","107.38K","1.88%"
"Oct 18, 2021","148.700","150.000","150.800","147.300","70.71K","-1.65%"
"Oct 15, 2021","151.200","149.200","151.900","148.300","111.69K","1.96%"
"Oct 14, 2021","148.300","148.000","149.600","146.800","64.32K","0.68%"
"Oct 13, 2021","147.300","145.300","147.900","144.000","67.52K","1.38%"
"Oct 12, 2021","145.300","141.000","145.500","140.200","103.00K","1.96%"
"Oct 11, 2021","142.500","143.800","143.800","141.300","89.76K","-1.11%"
"Oct 08, 2021","144.100","142.500","144.700","142.500","89.47K","0.49%"
"Oct 07, 2021","143.400","141.800","143.900","141.800","72.49K","1.77%"
"Oct 06, 2021","140.900","140.800","141.400","137.900","91.92K","-0.91%"
"Oct 05, 2021","142.200","143.200","143.200","140.000","84.94K","0.00%"
"Oct 04, 2021","142.200","143.300","144.900","141.800","86.10K","-1.18%"
"Oct 01, 2021","143.900","142.000","144.700","140.800","99.37K","0.49%"
"Sep 30, 2021","143.200","146.400","147.200","143.100","80.45K","-0.90%"
"Sep 29, 2021","144.500","144.400","147.100","143.900","94.72K","0.84%"
"Sep 28, 2021","143.300","149.100","149.500","142.200","139.36K","-3.83%"
"Sep 27, 2021","149.000","148.200","149.000","144.800","100.37K","1.22%"
"Sep 24, 2021","147.200","145.100","148.000","145.100","102.53K","1.03%"
"Sep 23, 2021","145.700","146.000","146.800","145.400","64.34K","0.76%"
"Sep 22, 2021","144.600","145.600","146.800","143.400","90.43K","-0.28%"
"Sep 21, 2021","145.000","141.100","145.700","140.200","116.66K","3.65%"
"Sep 20, 2021","139.900","142.500","142.600","139.400","91.43K","-2.91%"
"Sep 17, 2021","144.100","141.600","145.900","141.600","146.02K","2.20%"
"Sep 16, 2021","141.000","146.200","147.000","137.600","196.92K","-3.42%"
"Sep 15, 2021","146.000","147.000","148.900","145.200","99.62K","-1.35%"
"Sep 14, 2021","148.000","148.200","149.600","147.000","93.27K","-0.07%"
"Sep 13, 2021","148.100","144.600","149.500","144.600","104.25K","3.06%"
"Sep 10, 2021","143.700","143.600","144.000","142.400","69.69K","0.21%"
"Sep 09, 2021","143.400","140.900","143.500","140.100","80.01K","1.56%"
"Sep 08, 2021","141.200","139.900","141.400","137.500","79.22K","0.86%"
"Sep 07, 2021","140.000","140.600","141.000","139.300","82.42K","-0.71%"
"Sep 06, 2021","141.000","141.100","142.000","140.400","49.75K","-0.42%"
"Sep 03, 2021","141.600","143.000","143.600","140.800","87.60K","-0.42%"
"Sep 02, 2021","142.200","140.000","142.600","139.500","101.91K","1.72%"
"Sep 01, 2021","139.800","139.700","141.000","138.600","92.18K","1.60%"
"Aug 31, 2021","137.600","138.000","139.900","137.500","90.83K","-0.22%"
"Aug 30, 2021","137.900","137.600","139.800","137.600","46.63K","0.66%"
"Aug 27, 2021","137.000","138.200","138.700","136.800","52.62K","0.07%"
"Aug 26, 2021","136.900","139.100","139.200","136.700","47.07K","-2.28%"
"Aug 25, 2021","140.100","139.500","141.500","139.300","69.98K","-0.43%"
"Aug 24, 2021","140.700","141.200","141.900","140.000","98.06K","0.07%"
"Aug 23, 2021","140.600","139.600","141.000","137.900","52.90K","0.57%"
"Aug 20, 2021","139.800","139.600","139.900","137.900","55.90K","0.22%"
"Aug 19, 2021","139.500","139.400","141.500","138.200","84.34K","-1.06%"
"Aug 18, 2021","141.000","138.000","141.400","137.600","92.05K","1.95%"
"Aug 17, 2021","138.300","137.000","138.700","136.700","65.25K","0.22%"
"Aug 16, 2021","138.000","137.500","138.300","136.600","43.20K","0.22%"
"Aug 13, 2021","137.700","136.600","138.500","136.400","56.70K","0.36%"
"Aug 12, 2021","137.200","136.000","137.200","134.700","65.07K","1.03%"
"Aug 11, 2021","135.800","135.300","136.200","134.400","53.85K","0.37%"
"Aug 10, 2021","135.300","132.300","135.900","132.300","84.73K","1.58%"
"Aug 09, 2021","133.200","132.700","134.900","132.000","111.86K","2.15%"
"Aug 06, 2021","130.400","132.000","132.300","130.000","53.57K","-0.84%"
"Aug 05, 2021","131.500","131.500","133.500","130.700","55.38K","0.77%"
"Aug 04, 2021","130.500","129.000","131.300","128.200","65.45K","1.87%"
"Aug 03, 2021","128.100","129.500","129.600","126.500","92.10K","-1.23%"
"Aug 02, 2021","129.700","129.300","131.100","128.400","82.42K","0.39%"
"Jul 30, 2021","129.200","133.100","133.100","126.500","127.67K","-2.93%"
"Jul 29, 2021","133.100","132.900","133.700","131.000","73.21K","0.99%"
"Jul 28, 2021","131.800","131.000","132.900","130.900","78.44K","1.00%"
"Jul 27, 2021","130.500","132.300","133.000","129.300","68.22K","-0.99%"
"Jul 26, 2021","131.800","130.500","132.400","130.300","62.67K","0.23%"
"Jul 23, 2021","131.500","130.200","132.000","128.200","94.92K","1.54%"
"Jul 22, 2021","129.500","128.100","130.700","128.100","121.60K","0.94%"
"Jul 21, 2021","128.300","125.900","128.800","125.900","59.02K","1.99%"
"Jul 20, 2021","125.800","125.900","126.600","124.700","68.83K","0.64%"
"Jul 19, 2021","125.000","126.100","126.100","123.800","70.50K","-1.57%"
"Jul 16, 2021","127.000","125.400","127.600","124.800","86.10K","1.03%"
"Jul 15, 2021","125.700","127.200","127.200","125.000","92.33K","-1.26%"
"Jul 14, 2021","127.300","128.700","128.800","125.900","56.08K","-1.01%"
"Jul 13, 2021","128.600","128.500","129.000","127.600","70.14K","0.39%"
"Jul 12, 2021","128.100","126.800","129.100","126.800","51.13K","0.71%"
"Jul 09, 2021","127.200","125.800","127.600","125.300","117.28K","1.84%"
"Jul 08, 2021","124.900","126.400","127.100","123.300","93.13K","-2.12%"
"Jul 07, 2021","127.600","125.400","127.900","123.900","103.91K","2.24%"
"Jul 06, 2021","124.800","123.000","124.900","122.500","91.23K","0.40%"
"Jul 05, 2021","124.300","125.100","125.200","123.200","96.60K","-3.49%"
"Jul 02, 2021","128.800","130.500","131.800","128.500","127.50K","-0.46%"
"Jul 01, 2021","129.400","127.900","129.400","125.500","234.13K","1.65%"
"Jun 30, 2021","127.300","127.500","128.000","125.200","209.91K","-0.47%"
"Jun 29, 2021","127.900","127.200","128.700","125.500","134.96K","0.55%"
"Jun 28, 2021","127.200","127.000","129.500","126.600","124.42K","0.39%"
