"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","22.900","23.050","23.250","22.900","1,91M","-0,87%"
"25.06.2019","23.100","23.200","23.400","23.000","3,28M","-1,07%"
"24.06.2019","23.350","23.800","24.050","23.300","3,09M","-1,48%"
"21.06.2019","23.700","23.900","23.900","23.600","4,43M","0,42%"
"20.06.2019","23.600","24.100","24.100","23.600","4,37M","-1,05%"
"19.06.2019","23.850","23.450","23.850","23.300","8,37M","3,47%"
"18.06.2019","23.050","22.450","23.100","22.450","5,06M","2,67%"
"17.06.2019","22.450","22.950","23.000","22.450","3,64M","-2,18%"
"14.06.2019","22.950","23.000","23.050","22.950","2,07M","-0,22%"
"13.06.2019","23.000","23.400","23.400","22.900","2,52M","-0,43%"
"12.06.2019","23.100","22.900","23.250","22.850","3,13M","0,43%"
"11.06.2019","23.000","23.000","23.200","22.700","4,41M","0,44%"
"10.06.2019","22.900","23.250","23.400","22.850","6,57M","-0,22%"
"07.06.2019","22.950","23.000","23.300","22.850","5,10M","1,10%"
"06.06.2019","22.700","23.900","23.900","22.350","7,08M","-4,62%"
"05.06.2019","23.800","24.400","24.700","23.700","2,99M","-2,06%"
"04.06.2019","24.300","24.600","24.800","24.050","3,34M","0,28%"
"03.06.2019","24.231","24.654","24.692","24.154","15,96M","-1,87%"
"31.05.2019","24.692","24.615","24.769","24.615","4,41M","0,31%"
"30.05.2019","24.615","25.000","25.000","24.577","5,45M","-1,54%"
"29.05.2019","25.000","24.846","25.000","24.654","2,16M","1,40%"
"28.05.2019","24.654","25.000","25.000","24.654","3,69M","-0,46%"
"27.05.2019","24.769","24.692","24.885","24.692","2,21M","0,15%"
"24.05.2019","24.731","25.000","25.115","24.731","4,77M","-1,83%"
"23.05.2019","25.192","25.385","25.423","25.115","3,29M","-0,76%"
"22.05.2019","25.385","25.385","25.692","25.308","3,27M","0,30%"
"21.05.2019","25.308","25.346","25.538","25.231","2,79M","0,31%"
"20.05.2019","25.231","24.808","25.423","24.808","2,88M","1,71%"
"17.05.2019","24.808","24.846","24.923","24.769","1,94M","-0,15%"
"16.05.2019","24.846","24.962","25.154","24.846","1,79M","-0,31%"
"15.05.2019","24.923","24.923","25.154","24.846","3,30M","0,00%"
"14.05.2019","24.923","24.385","24.923","24.385","2,37M","1,09%"
"13.05.2019","24.654","25.346","25.346","24.615","4,95M","-2,43%"
"10.05.2019","25.269","25.462","25.538","25.077","2,48M","-0,15%"
"09.05.2019","25.308","25.423","25.577","25.077","2,75M","-0,75%"
"08.05.2019","25.500","25.577","25.615","25.385","3,66M","-1,04%"
"07.05.2019","25.769","26.000","26.000","25.692","3,67M","0,15%"
"06.05.2019","25.731","25.692","26.000","25.538","5,85M","-2,05%"
"03.05.2019","26.269","26.154","26.462","25.923","4,54M","0,44%"
"02.05.2019","26.154","25.923","26.154","25.615","4,95M","1,19%"
"26.04.2019","25.846","25.538","26.000","25.462","3,67M","1,51%"
"25.04.2019","25.462","25.769","25.885","25.385","5,32M","-0,75%"
"24.04.2019","25.654","24.615","25.654","24.538","7,54M","4,55%"
"23.04.2019","24.538","24.615","24.615","24.500","2,19M","0,16%"
"22.04.2019","24.500","24.115","24.692","24.115","2,37M","0,79%"
"19.04.2019","24.308","24.115","24.385","24.115","1,58M","0,96%"
"18.04.2019","24.077","24.154","24.269","24.077","3,11M","-0,95%"
"17.04.2019","24.308","24.423","24.500","24.231","2,42M","-0,47%"
