Date,Open,High,Low,Close,Adj Close,Volume
2002-08-02,1.248696,1.248696,1.248696,1.248696,0.670397,3
2002-08-05,1.248696,1.248696,1.248696,1.248696,0.670397,2
2002-08-06,1.230858,1.230858,1.230858,1.230858,0.660820,3139
2002-08-07,null,null,null,null,null,null
2002-08-08,1.213019,1.213019,1.213019,1.213019,0.651243,1894
2002-08-09,1.213019,1.248696,1.248696,1.213019,0.651243,56
2002-08-12,null,null,null,null,null,null
2002-08-13,null,null,null,null,null,null
2002-08-14,null,null,null,null,null,null
2002-08-15,1.213019,1.213019,1.213019,1.213019,0.651243,0
2002-08-16,1.213019,1.213019,1.213019,1.213019,0.651243,3262
2002-08-19,null,null,null,null,null,null
2002-08-20,1.186261,1.196964,1.186261,1.186261,0.636878,2466
2002-08-21,1.186261,1.196964,1.196964,1.186261,0.636878,4
2002-08-22,null,null,null,null,null,null
2002-08-23,1.186261,1.186261,1.186261,1.186261,0.636878,3363
2002-08-26,1.186261,1.186261,1.186261,1.186261,0.636878,1216
2002-08-27,1.186261,1.186261,1.186261,1.186261,0.636878,1818
2002-08-28,1.177342,1.177342,1.177342,1.177342,0.632089,3363
2002-08-29,null,null,null,null,null,null
2002-08-30,null,null,null,null,null,null
2002-09-02,1.177342,1.177342,1.177342,1.177342,0.632089,100
2002-09-03,1.177342,1.177342,1.177342,1.177342,0.632089,381
2002-09-04,null,null,null,null,null,null
2002-09-05,1.177342,1.177342,1.177342,1.177342,0.632089,1540
2002-09-06,1.161287,1.161287,1.161287,1.161287,0.623469,5415
2002-09-09,1.161287,1.161287,1.161287,1.161287,0.623469,672
2002-09-10,1.161287,1.161287,1.161287,1.161287,0.623469,519
2002-09-11,null,null,null,null,null,null
2002-09-12,1.161287,1.161287,1.161287,1.161287,0.623469,714
2002-09-13,1.150584,1.150584,1.150584,1.150584,0.617723,280
2002-09-16,1.123827,1.123827,1.123827,1.123827,0.603358,3924
2002-09-17,1.123827,1.123827,1.123827,1.123827,0.603358,1121
2002-09-18,null,null,null,null,null,null
2002-09-19,1.123827,1.114907,1.114907,1.123827,0.603358,112
2002-09-20,null,null,null,null,null,null
2002-09-23,1.105988,1.105988,1.105988,1.105988,0.593781,2802
2002-09-24,1.034634,1.052472,1.034634,1.034634,0.555472,677
2002-09-25,null,null,null,null,null,null
2002-09-26,1.016795,1.016795,1.016795,1.016795,0.545895,1121
2002-09-27,1.016795,1.016795,1.016795,1.016795,0.545895,225
2002-09-30,null,null,null,null,null,null
2002-10-01,1.016795,1.016795,1.016795,1.016795,0.545895,280
2002-10-02,null,null,null,null,null,null
2002-10-03,null,null,null,null,null,null
2002-10-04,null,null,null,null,null,null
2002-10-07,0.981118,0.981118,0.981118,0.981118,0.526740,448
2002-10-08,0.936522,0.936522,0.936522,0.936522,0.502798,7860
2002-10-09,null,null,null,null,null,null
2002-10-10,0.936522,0.936522,0.936522,0.936522,0.502798,224
2002-10-11,null,null,null,null,null,null
2002-10-14,0.998957,0.998957,0.981118,0.998957,0.536318,2690
2002-10-15,1.016795,1.016795,1.016795,1.016795,0.545895,1121
2002-10-16,1.061392,1.061392,1.061392,1.061392,0.569838,224
2002-10-17,1.025715,1.025715,1.025715,1.025715,0.550684,2466
2002-10-18,0.990038,0.990038,0.990038,0.990038,0.531529,1121
