"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","106.200","105.000","106.500","105.000","7,05K","1,14%"
"25.06.2019","105.000","103.200","105.400","103.200","17,64K","0,48%"
"24.06.2019","104.500","103.000","104.500","103.000","16,30K","0,97%"
"21.06.2019","103.500","103.300","103.500","102.900","9,01K","1,97%"
"20.06.2019","101.500","100.000","103.900","100.000","18,45K","0,00%"
"19.06.2019","101.500","101.500","106.200","101.000","12,85K","0,00%"
"18.06.2019","101.500","104.300","104.300","99.400","35,20K","-2,68%"
"17.06.2019","104.300","106.600","108.000","103.800","17,86K","-2,16%"
"14.06.2019","106.600","106.000","109.200","105.800","11,74K","-2,38%"
"13.06.2019","109.200","113.000","113.000","109.200","20,21K","-2,50%"
"12.06.2019","112.000","113.000","113.100","111.800","20,49K","-1,67%"
"11.06.2019","113.900","113.800","114.200","113.800","10,05K","0,09%"
"10.06.2019","113.800","114.900","115.000","112.100","26,39K","-0,96%"
"07.06.2019","114.900","113.000","115.800","113.000","9,59K","0,00%"
"06.06.2019","114.900","114.900","115.400","112.500","9,85K","0,35%"
"05.06.2019","114.500","113.200","115.000","111.800","2,54K","1,06%"
"04.06.2019","113.300","114.000","114.000","112.500","14,71K","0,09%"
"03.06.2019","113.200","115.000","115.900","113.000","11,14K","-1,99%"
"31.05.2019","115.500","115.500","116.100","114.000","8,51K","0,00%"
"30.05.2019","115.500","115.200","116.000","114.000","5,52K","0,87%"
"29.05.2019","114.500","116.500","116.500","113.500","6,53K","-1,21%"
"28.05.2019","115.900","115.100","116.100","113.800","4,06K","-0,17%"
"27.05.2019","116.100","117.000","117.000","116.100","1,05K","0,00%"
"24.05.2019","116.100","115.000","116.300","113.000","12,44K","1,84%"
"23.05.2019","114.000","116.500","117.000","113.000","27,88K","-1,64%"
"22.05.2019","115.900","115.100","116.000","115.100","6,03K","0,17%"
"21.05.2019","115.700","114.500","116.500","114.000","25,21K","1,05%"
"20.05.2019","114.500","115.000","116.700","114.500","19,22K","-0,43%"
"17.05.2019","115.000","114.800","116.900","114.800","6,80K","-0,95%"
"16.05.2019","116.100","113.000","118.000","113.000","12,33K","0,00%"
"15.05.2019","116.100","117.500","117.500","116.000","13,65K","-1,19%"
