"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 17, 2021","48.25","47.75","49.55","47.40","3.66M","1.26%"
"Jun 16, 2021","47.65","49.95","49.95","47.35","4.45M","-2.26%"
"Jun 15, 2021","48.75","50.00","50.80","48.50","4.79M","-1.22%"
"Jun 14, 2021","49.35","52.90","54.50","48.25","13.25M","-5.10%"
"Jun 11, 2021","52.00","47.70","52.00","47.15","18.09M","9.94%"
"Jun 10, 2021","47.30","47.90","48.15","46.75","3.76M","0.96%"
"Jun 09, 2021","46.85","49.20","49.80","45.90","7.66M","-3.80%"
"Jun 08, 2021","48.70","49.30","51.90","48.05","12.50M","-0.10%"
"Jun 07, 2021","48.75","46.00","48.75","44.60","9.82M","9.92%"
"Jun 04, 2021","44.35","45.00","45.95","43.75","12.08M","1.03%"
"Jun 03, 2021","43.90","41.95","43.90","41.10","4.60M","4.90%"
"Jun 02, 2021","41.85","41.80","42.20","40.95","2.34M","-0.24%"
"Jun 01, 2021","41.95","42.20","42.45","40.15","6.61M","0.12%"
"May 31, 2021","41.90","38.55","42.50","38.55","29.73M","3.33%"
"May 28, 2021","40.55","40.55","40.55","40.55","755.49K","-4.92%"
"May 27, 2021","42.65","42.65","42.65","42.65","1.03M","-4.91%"
"May 26, 2021","44.85","47.35","47.35","44.85","3.95M","-4.98%"
"May 25, 2021","47.20","48.00","48.20","46.70","3.95M","-0.94%"
"May 24, 2021","47.65","48.80","48.80","47.40","2.45M","-0.10%"
"May 21, 2021","47.70","49.70","49.90","47.50","2.83M","-2.45%"
"May 20, 2021","48.90","50.90","50.90","48.60","2.45M","-3.26%"
"May 19, 2021","50.55","51.95","51.95","50.30","1.66M","-0.69%"
"May 18, 2021","50.90","51.00","51.45","50.15","2.30M","0.59%"
"May 17, 2021","50.60","51.60","51.85","50.15","2.00M","-0.49%"
"May 14, 2021","50.85","52.00","52.60","50.35","4.12M","0.59%"
"May 12, 2021","50.55","50.50","51.20","50.00","2.69M","1.61%"
"May 11, 2021","49.75","50.00","50.25","49.25","1.96M","-0.60%"
"May 10, 2021","50.05","51.00","51.50","49.95","1.87M","-1.18%"
"May 07, 2021","50.65","51.80","52.15","50.15","2.63M","-1.75%"
"May 06, 2021","51.55","51.35","52.00","49.80","3.83M","1.58%"
"May 05, 2021","50.75","50.70","51.50","50.50","1.49M","0.79%"
"May 04, 2021","50.35","51.00","53.15","50.00","2.99M","-1.08%"
"May 03, 2021","50.90","50.25","51.20","49.70","1.74M","-0.10%"
"Apr 30, 2021","50.95","52.00","52.00","50.40","2.71M","-1.83%"
"Apr 29, 2021","51.90","52.45","52.50","51.55","1.19M","-0.10%"
"Apr 28, 2021","51.95","52.70","52.80","51.65","2.24M","-0.38%"
"Apr 27, 2021","52.15","52.50","52.75","52.00","1.36M","-0.29%"
"Apr 26, 2021","52.30","52.55","53.65","52.00","2.64M","-0.95%"
"Apr 23, 2021","52.80","53.40","54.20","52.50","1.28M","-1.12%"
"Apr 22, 2021","53.40","52.00","54.00","51.35","2.14M","0.38%"
"Apr 20, 2021","53.20","54.40","55.00","52.50","3.03M","-3.01%"
"Apr 19, 2021","54.85","55.05","55.50","54.85","355.70K","-4.94%"
"Apr 16, 2021","57.70","58.40","58.70","57.05","2.30M","-0.26%"
"Apr 15, 2021","57.85","60.00","61.70","56.65","7.05M","-2.94%"
"Apr 13, 2021","59.60","59.60","59.60","59.60","330.38K","-4.94%"
"Apr 12, 2021","62.70","65.00","65.35","62.70","4.16M","-4.93%"
"Apr 09, 2021","65.95","65.50","66.80","65.00","4.32M","1.31%"
"Apr 08, 2021","65.10","63.40","65.50","63.40","4.01M","3.01%"
"Apr 07, 2021","63.20","61.60","63.95","60.80","4.39M","2.43%"
"Apr 06, 2021","61.70","60.35","62.00","59.50","4.28M","3.01%"
"Apr 05, 2021","59.90","59.00","60.40","57.65","3.51M","2.74%"
"Apr 01, 2021","58.30","57.25","58.75","56.80","3.49M","4.01%"
"Mar 31, 2021","56.05","56.05","56.05","55.15","3.63M","4.96%"
"Mar 30, 2021","53.40","52.20","53.40","52.20","1.37M","4.91%"
"Mar 26, 2021","50.90","51.00","51.10","50.50","2.52M","0.59%"
"Mar 25, 2021","50.60","51.30","51.50","50.35","2.19M","-0.88%"
"Mar 24, 2021","51.05","51.25","51.45","50.35","2.93M","-0.39%"
