"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","45,600","46,640","46,640","45,480","-","-1,43%"
"25.06.2019","46,260","46,200","46,600","45,440","169,99K","0,39%"
"24.06.2019","46,080","45,740","46,080","45,700","182,13K","0,74%"
"21.06.2019","45,740","45,600","45,940","45,440","174,27K","0,53%"
"20.06.2019","45,500","45,000","45,600","45,000","125,63K","1,56%"
"19.06.2019","44,800","45,140","45,140","44,320","104,67K","-0,67%"
"18.06.2019","45,100","45,100","45,380","44,600","60,03K","0,22%"
"17.06.2019","45,000","45,240","45,240","44,780","74,36K","-0,18%"
"14.06.2019","45,080","45,300","45,460","44,940","67,86K","-0,53%"
"13.06.2019","45,320","45,560","45,700","45,260","123,43K","-0,48%"
"12.06.2019","45,540","45,320","45,680","45,320","102,72K","0,04%"
"11.06.2019","45,520","45,340","45,720","45,320","55,64K","0,26%"
"10.06.2019","45,400","45,120","45,560","45,120","33,02K","0,62%"
"07.06.2019","45,120","44,960","45,400","44,800","105,71K","0,45%"
"06.06.2019","44,920","45,240","45,260","44,580","117,84K","0,13%"
"05.06.2019","44,860","45,340","45,400","44,660","162,71K","-0,71%"
"04.06.2019","45,180","45,100","45,380","44,720","227,92K","-0,92%"
"03.06.2019","45,600","46,600","46,600","45,240","133,75K","-1,94%"
"31.05.2019","46,500","47,040","47,200","46,200","107,32K","-1,36%"
"30.05.2019","47,140","46,880","47,200","46,660","86,96K","0,60%"
"29.05.2019","46,860","47,360","47,400","46,580","98,97K","-1,35%"
"28.05.2019","47,500","48,720","48,720","47,420","138,83K","-1,94%"
"27.05.2019","48,440","48,640","48,980","48,440","45,39K","-0,04%"
"24.05.2019","48,460","49,100","49,120","48,460","67,71K","-0,37%"
"23.05.2019","48,640","49,180","49,180","48,640","75,28K","-1,30%"
"22.05.2019","49,280","49,260","49,460","48,900","98,88K","0,37%"
"21.05.2019","49,100","49,300","49,300","48,820","79,10K","-0,32%"
"20.05.2019","49,260","50,150","50,150","48,760","87,50K","-1,20%"
"17.05.2019","49,860","49,820","50,150","49,080","213,11K","-0,08%"
"16.05.2019","49,900","49,660","49,900","49,100","94,31K","1,01%"
"15.05.2019","49,400","49,300","49,480","49,000","95,31K","0,65%"
"14.05.2019","49,080","49,240","49,500","48,640","86,89K","0,49%"
"13.05.2019","48,840","49,000","49,020","48,580","86,47K","-0,04%"
"10.05.2019","48,860","48,940","49,340","48,800","101,33K","-0,08%"
"09.05.2019","48,900","48,500","49,200","48,220","149,10K","1,49%"
"08.05.2019","48,180","52,300","52,400","47,780","361,29K","-8,84%"
"07.05.2019","52,850","52,450","53,150","52,450","76,99K","-0,09%"
"06.05.2019","52,900","52,450","53,000","52,250","92,93K","-0,38%"
"03.05.2019","53,100","53,000","53,150","52,700","86,36K","0,66%"
"02.05.2019","52,750","53,350","53,850","52,600","120,54K","-1,49%"
"30.04.2019","53,550","53,950","54,050","53,450","241,85K","-0,74%"
"29.04.2019","53,950","53,700","54,050","53,500","100,12K","-0,09%"
"26.04.2019","54,000","54,600","54,600","53,600","195,54K","-2,96%"
"25.04.2019","55,650","55,650","55,850","55,250","182,72K","-0,36%"
"24.04.2019","55,850","56,250","56,250","55,450","46,18K","-0,62%"
