"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","70.500","72.400","72.500","70.500","918,85K","-2,62%"
"25.06.2019","72.400","72.800","72.800","72.000","390,84K","-0,82%"
"24.06.2019","73.000","71.500","73.800","71.000","1,41M","2,82%"
"21.06.2019","71.000","71.500","72.000","71.000","1,79M","-0,70%"
"20.06.2019","71.500","69.700","71.500","69.600","934,29K","2,44%"
"19.06.2019","69.800","70.400","70.700","69.400","767,31K","-0,71%"
"18.06.2019","70.300","69.000","70.500","68.200","958,12K","1,59%"
"17.06.2019","69.200","69.200","70.300","69.000","1,02M","0,00%"
"14.06.2019","69.200","67.500","69.600","67.300","2,48M","2,82%"
"13.06.2019","67.300","67.000","67.500","66.400","546,96K","0,45%"
"12.06.2019","67.000","67.400","67.500","66.900","212,91K","-0,59%"
"11.06.2019","67.400","66.500","67.500","66.500","280,10K","1,05%"
"10.06.2019","66.700","66.800","67.500","66.000","585,46K","1,68%"
"07.06.2019","65.600","66.500","67.000","65.200","490,88K","-0,46%"
"06.06.2019","65.900","66.700","66.700","65.000","394,55K","-1,20%"
"05.06.2019","66.700","67.200","67.500","66.700","269,12K","-0,74%"
"04.06.2019","67.200","66.000","67.500","65.900","387,78K","1,05%"
"03.06.2019","66.500","66.500","67.200","64.000","593,66K","-1,04%"
"31.05.2019","67.200","67.500","68.000","66.800","712,09K","-0,74%"
"30.05.2019","67.700","67.500","68.100","67.300","320,90K","0,30%"
"29.05.2019","67.500","67.600","68.100","67.200","313,51K","0,15%"
"28.05.2019","67.400","67.000","68.600","66.800","664,40K","0,00%"
"27.05.2019","67.400","67.000","67.800","66.500","341,32K","1,35%"
"24.05.2019","66.500","67.300","68.000","66.100","931,25K","-1,63%"
"23.05.2019","67.600","67.400","68.000","67.100","378,44K","0,60%"
"22.05.2019","67.200","67.500","68.600","67.000","662,70K","-0,74%"
"21.05.2019","67.700","67.900","68.400","67.700","473,17K","-0,15%"
"20.05.2019","67.800","66.800","68.100","66.700","607,06K","1,50%"
"17.05.2019","66.800","66.800","67.000","66.600","449,04K","0,00%"
"16.05.2019","66.800","66.800","67.400","66.800","412,21K","0,00%"
"15.05.2019","66.800","66.700","67.400","66.500","734,23K","0,30%"
"14.05.2019","66.600","65.400","66.600","65.400","628,48K","1,06%"
"13.05.2019","65.900","65.800","66.100","65.600","475,42K","0,46%"
"10.05.2019","65.600","65.500","66.100","65.200","554,37K","0,15%"
