Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1.522500,1.540000,1.480000,1.490000,0.564444,775472
2000-01-04,1.505000,1.505000,1.412500,1.412500,0.535086,786100
2000-01-05,1.412500,1.485000,1.400000,1.432500,0.542662,702520
2000-01-06,null,null,null,null,null,null
2000-01-07,1.475000,1.510000,1.437500,1.500000,0.568233,319884
2000-01-10,1.512500,1.522500,1.495000,1.500000,0.568233,256932
2000-01-11,1.500000,1.520000,1.500000,1.500000,0.568233,290704
2000-01-12,1.500000,1.507500,1.497500,1.502500,0.569180,200404
2000-01-13,1.500000,1.517500,1.497500,1.497500,0.567286,216776
2000-01-14,1.495000,1.525000,1.487500,1.520000,0.575809,1348372
2000-01-17,1.477500,1.530000,1.477500,1.500000,0.568233,314128
2000-01-18,1.500000,1.507500,1.462500,1.477500,0.559709,1040532
2000-01-19,1.462500,1.502500,1.450000,1.502500,0.569180,806060
2000-01-20,1.512500,1.512500,1.480000,1.487500,0.563497,364740
2000-01-21,1.500000,1.510000,1.485000,1.495000,0.566339,351928
2000-01-24,1.505000,1.510000,1.495000,1.500000,0.568233,418352
2000-01-25,1.507500,1.512500,1.495000,1.500000,0.568233,348588
2000-01-26,1.495000,1.505000,1.495000,1.500000,0.568233,294324
2000-01-27,1.500000,1.500000,1.490000,1.500000,0.568233,386724
2000-01-28,1.500000,1.505000,1.487500,1.487500,0.563497,197472
2000-01-31,1.487500,1.500000,1.425000,1.437500,0.544556,889416
2000-02-01,1.472500,1.485000,1.450000,1.462500,0.554027,595216
2000-02-02,1.462500,1.482500,1.435000,1.450000,0.549292,385096
2000-02-03,1.455000,1.472500,1.437500,1.465000,0.554974,350812
2000-02-04,1.472500,1.472500,1.440000,1.455000,0.551186,403024
2000-02-07,1.450000,1.462500,1.440000,1.440000,0.545504,244588
2000-02-08,1.440000,1.450000,1.437500,1.447500,0.548344,288128
2000-02-09,1.450000,1.455000,1.440000,1.450000,0.549292,620836
2000-02-10,1.440000,1.452500,1.425000,1.435000,0.543609,445816
2000-02-11,1.445000,1.445000,1.402500,1.405000,0.532245,390608
2000-02-14,1.400000,1.422500,1.350000,1.375000,0.520880,1224500
2000-02-15,1.375000,1.412500,1.342500,1.350000,0.511410,1999644
2000-02-16,1.362500,1.392500,1.347500,1.367500,0.518039,1830944
2000-02-17,1.390000,1.450000,1.375000,1.402500,0.531298,336480
2000-02-18,1.445000,1.475000,1.412500,1.440000,0.545504,1252316
2000-02-21,1.437500,1.470000,1.415000,1.450000,0.549292,488748
2000-02-22,1.452500,1.667500,1.450000,1.667500,0.631685,4741612
2000-02-23,1.900000,1.900000,1.675000,1.675000,0.634526,12713784
2000-02-24,1.780000,1.787500,1.602500,1.637500,0.620321,4469160
2000-02-25,1.685000,2.347500,1.685000,2.307500,0.874131,20705416
2000-02-28,2.345000,3.112500,2.345000,2.610000,0.988725,42543600
2000-02-29,2.800000,2.875000,2.525000,2.700000,1.022819,14687116
2000-03-01,2.775000,2.775000,2.500000,2.500000,0.947054,6859692
2000-03-02,2.487500,2.582500,2.375000,2.575000,0.975466,8021896
2000-03-03,2.600000,2.795000,2.600000,2.630000,0.996301,5157372
2000-03-06,2.722500,2.730000,2.665000,2.692500,1.019978,4550988
2000-03-07,2.700000,2.720000,2.550000,2.565000,0.971678,1999988
2000-03-08,2.500000,2.670000,2.500000,2.575000,0.975466,2480564
2000-03-09,2.660000,2.697500,2.587500,2.630000,0.996301,2928396
2000-03-10,2.650000,2.662500,2.600000,2.657500,1.006719,1513136
2000-03-13,null,null,null,null,null,null
2000-03-14,2.625000,2.842500,2.625000,2.817500,1.067331,8800272
2000-03-15,2.830000,2.842500,2.715000,2.715000,1.028501,2656376
2000-03-16,2.760000,2.815000,2.687500,2.705000,1.024713,2731088
2000-03-17,2.750000,2.750000,2.632500,2.662500,1.008613,1181668
2000-03-20,2.640000,2.687500,2.637500,2.650000,1.003878,918320
2000-03-21,2.652500,2.675000,2.585000,2.600000,0.984937,701108
2000-03-22,2.597500,2.625000,2.575000,2.582500,0.978307,926176
2000-03-23,2.577500,2.587500,2.505000,2.550000,0.965995,1969404
2000-03-24,2.540000,2.702500,2.505000,2.600000,0.984937,2866020
2000-03-27,2.615000,2.650000,2.605000,2.650000,1.003878,1593804
2000-03-28,2.650000,2.650000,2.595000,2.597500,0.983989,861728
2000-03-29,2.600000,2.690000,2.600000,2.660000,1.007666,995504
2000-03-30,2.607500,2.645000,2.607500,2.622500,0.993460,4421136
2000-03-31,2.607500,2.645000,2.562500,2.570000,0.973572,1281220
2000-04-03,2.587500,2.625000,2.537500,2.550000,0.965995,673020
2000-04-04,2.557500,2.612500,2.542500,2.550000,0.965995,705840
2000-04-05,2.552500,2.587500,2.405000,2.450000,0.928113,1368036
2000-04-06,2.437500,2.550000,2.437500,2.525000,0.956525,842164
2000-04-07,2.537500,2.562500,2.475000,2.522500,0.955578,1094124
2000-04-10,2.525000,2.687500,2.477500,2.570000,0.973572,2476536
2000-04-11,2.550000,2.635000,2.500000,2.525000,0.956525,1553096
2000-04-12,2.540000,2.547500,2.515000,2.547500,0.965048,558348
2000-04-13,2.512500,2.557500,2.510000,2.545000,0.964102,613380
2000-04-14,2.517500,2.562500,2.510000,2.515000,0.952737,720556
2000-04-17,2.437500,2.437500,2.250000,2.437500,0.923378,1843744
2000-04-18,2.467500,2.485000,2.402500,2.437500,0.923378,450408
2000-04-19,2.425000,2.437500,2.387500,2.402500,0.910119,300892
2000-04-20,2.387500,2.437500,2.387500,2.402500,0.910119,152208
2000-04-21,null,null,null,null,null,null
