"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","866,81","868,16","870,52","865,67","41,57K","-0,19%"
"25.06.2019","868,50","867,73","870,37","866,25","38,48K","-0,05%"
"24.06.2019","868,94","866,63","873,33","866,63","40,70K","0,28%"
"21.06.2019","866,53","864,59","870,35","864,44","72,30K","0,22%"
"20.06.2019","864,59","854,90","867,91","853,96","53,36K","1,20%"
"19.06.2019","854,34","850,34","854,81","850,34","39,85K","0,73%"
"18.06.2019","848,17","852,62","853,95","845,40","43,00K","-0,57%"
"17.06.2019","852,99","861,37","862,36","851,14","40,07K","-1,01%"
"14.06.2019","861,65","859,53","864,29","859,08","34,40K","0,23%"
"13.06.2019","859,68","865,29","865,29","857,72","32,32K","-0,66%"
"12.06.2019","865,42","870,48","871,64","865,42","32,45K","-0,63%"
"11.06.2019","870,91","872,49","874,32","870,00","29,46K","-0,18%"
"10.06.2019","872,49","869,68","877,45","866,79","44,47K","0,34%"
"07.06.2019","869,56","860,64","869,56","860,64","33,45K","0,96%"
"06.06.2019","861,31","863,81","865,16","851,47","38,24K","-0,28%"
"05.06.2019","863,69","866,79","871,91","863,69","27,11K","-0,08%"
"04.06.2019","864,35","864,27","868,67","857,94","32,53K","0,03%"
"03.06.2019","864,08","875,64","875,64","858,64","51,47K","-1,39%"
"31.05.2019","876,29","883,39","884,75","875,77","34,30K","-0,80%"
"30.05.2019","883,37","883,51","888,68","879,58","29,87K","-0,02%"
"29.05.2019","883,52","886,12","886,98","882,00","33,83K","-0,20%"
"28.05.2019","885,27","888,80","891,61","883,53","30,93K","-0,44%"
"27.05.2019","889,20","884,29","889,45","883,95","29,66K","0,53%"
"24.05.2019","884,48","894,22","898,24","884,48","44,87K","-1,18%"
"23.05.2019","895,07","897,66","899,02","892,08","30,51K","-0,29%"
"22.05.2019","897,66","901,49","906,99","897,27","43,39K","-0,41%"
"21.05.2019","901,36","901,79","907,64","900,97","43,01K","0,03%"
"20.05.2019","901,06","890,16","901,06","888,12","42,54K","1,18%"
"17.05.2019","890,53","892,93","893,44","888,56","40,03K","-0,16%"
"16.05.2019","891,93","893,70","896,34","891,93","39,25K","-0,14%"
"15.05.2019","893,22","882,99","893,68","882,99","46,18K","1,20%"
"14.05.2019","882,67","879,14","882,67","871,96","39,07K","0,34%"
"13.05.2019","879,64","876,16","879,64","874,68","37,92K","0,36%"
"10.05.2019","876,45","871,28","877,59","871,28","34,86K","0,57%"
