"Date","Price","Open","High","Low","Vol.","Change %"
"May 14, 2021","1,287.60","1,297.75","1,319.00","1,284.00","190.61K","-0.15%"
"May 12, 2021","1,289.50","1,281.00","1,298.00","1,278.25","177.24K","0.88%"
"May 11, 2021","1,278.25","1,279.90","1,292.75","1,275.00","164.51K","-0.25%"
"May 10, 2021","1,281.50","1,300.00","1,307.95","1,276.30","241.08K","-0.30%"
"May 07, 2021","1,285.35","1,320.00","1,337.00","1,280.00","549.28K","-4.09%"
"May 06, 2021","1,340.15","1,377.90","1,377.90","1,333.00","302.48K","-2.73%"
"May 05, 2021","1,377.80","1,392.80","1,418.00","1,351.30","980.13K","-0.01%"
"May 04, 2021","1,378.00","1,383.00","1,430.00","1,370.00","419.50K","-0.35%"
"May 03, 2021","1,382.85","1,378.00","1,395.90","1,365.25","314.14K","-0.23%"
"Apr 30, 2021","1,386.00","1,360.00","1,417.70","1,346.40","586.82K","1.56%"
"Apr 29, 2021","1,364.75","1,406.75","1,409.90","1,355.00","123.36K","-1.76%"
"Apr 28, 2021","1,389.20","1,405.35","1,406.00","1,385.00","169.94K","-1.07%"
"Apr 27, 2021","1,404.25","1,403.65","1,420.00","1,400.05","66.84K","0.54%"
"Apr 26, 2021","1,396.65","1,440.00","1,453.30","1,385.00","232.09K","-3.05%"
"Apr 23, 2021","1,440.60","1,410.15","1,448.50","1,400.20","177.60K","0.89%"
"Apr 22, 2021","1,427.85","1,394.00","1,439.40","1,366.05","309.41K","1.65%"
"Apr 20, 2021","1,404.70","1,395.00","1,442.15","1,333.95","241.23K","2.80%"
"Apr 19, 2021","1,366.40","1,380.00","1,384.95","1,336.20","153.10K","-2.45%"
"Apr 16, 2021","1,400.65","1,416.50","1,417.65","1,391.60","184.18K","-0.17%"
"Apr 15, 2021","1,403.10","1,445.80","1,456.50","1,385.00","260.75K","-2.95%"
"Apr 13, 2021","1,445.80","1,448.65","1,488.75","1,421.15","183.08K","0.00%"
"Apr 12, 2021","1,445.75","1,534.00","1,534.00","1,421.55","176.72K","-6.72%"
"Apr 09, 2021","1,549.90","1,540.05","1,588.95","1,540.05","191.67K","0.64%"
"Apr 08, 2021","1,540.05","1,550.00","1,590.00","1,531.85","141.45K","-0.99%"
"Apr 07, 2021","1,555.40","1,539.90","1,563.80","1,539.90","72.70K","1.01%"
"Apr 06, 2021","1,539.85","1,555.75","1,562.70","1,525.15","233.74K","-0.55%"
