"Date","Price","Open","High","Low","Vol.","Change %"
"May 25, 2022","25,650.0","24,600.0","25,800.0","24,600.0","3.35M","4.27%"
"May 24, 2022","24,600.0","24,100.0","24,600.0","23,850.0","2.35M","1.65%"
"May 23, 2022","24,200.0","24,600.0","24,650.0","23,650.0","2.39M","-0.62%"
"May 20, 2022","24,350.0","24,300.0","24,700.0","24,000.0","2.32M","0.21%"
"May 19, 2022","24,300.0","23,650.0","24,400.0","23,250.0","3.11M","1.25%"
"May 18, 2022","24,000.0","24,000.0","24,350.0","23,600.0","2.85M","0.00%"
"May 17, 2022","24,000.0","22,900.0","24,000.0","22,050.0","2.52M","6.67%"
"May 16, 2022","22,500.0","22,900.0","22,950.0","22,000.0","2.45M","1.35%"
"May 13, 2022","22,200.0","22,900.0","23,300.0","21,500.0","4.89M","-3.27%"
"May 12, 2022","22,950.0","24,000.0","24,050.0","22,800.0","2.91M","-5.36%"
"May 11, 2022","24,250.0","24,100.0","24,500.0","23,750.0","1.47M","0.83%"
"May 10, 2022","24,050.0","22,600.0","24,200.0","22,400.0","3.45M","4.57%"
"May 09, 2022","23,000.0","23,550.0","23,950.0","22,800.0","4.03M","-4.37%"
"May 06, 2022","24,050.0","24,300.0","24,800.0","24,000.0","2.19M","-4.37%"
"May 05, 2022","25,150.0","25,000.0","25,200.0","24,500.0","1.47M","1.41%"
"May 04, 2022","24,800.0","25,250.0","25,300.0","24,800.0","2.19M","-1.98%"
"Apr 29, 2022","25,300.0","25,350.0","25,450.0","25,000.0","2.25M","0.40%"
"Apr 28, 2022","25,200.0","25,000.0","25,450.0","25,000.0","2.84M","0.80%"
"Apr 27, 2022","25,000.0","24,300.0","25,200.0","23,950.0","2.48M","2.04%"
"Apr 26, 2022","24,500.0","23,550.0","24,600.0","22,700.0","4.39M","4.03%"
"Apr 25, 2022","23,550.0","25,150.0","25,400.0","23,400.0","4.04M","-6.36%"
"Apr 22, 2022","25,150.0","25,150.0","25,700.0","24,700.0","3.34M","1.00%"
"Apr 21, 2022","24,900.0","25,700.0","25,800.0","24,100.0","4.75M","-3.30%"
"Apr 20, 2022","25,750.0","25,900.0","26,200.0","25,700.0","3.15M","-0.58%"
"Apr 19, 2022","25,900.0","26,400.0","26,500.0","25,850.0","3.08M","-0.38%"
"Apr 18, 2022","26,000.0","26,300.0","26,700.0","25,600.0","3.62M","-1.14%"
"Apr 15, 2022","26,300.0","27,300.0","27,500.0","26,250.0","5.90M","-3.66%"
"Apr 14, 2022","27,300.0","28,000.0","28,100.0","27,300.0","3.78M","-2.50%"
"Apr 13, 2022","28,000.0","27,800.0","28,250.0","27,500.0","3.38M","0.72%"
"Apr 12, 2022","27,800.0","28,250.0","28,300.0","27,600.0","3.13M","-1.59%"
"Apr 08, 2022","28,250.0","29,000.0","29,250.0","28,250.0","2.46M","-2.25%"
"Apr 07, 2022","28,900.0","29,150.0","29,500.0","28,900.0","6.90M","-0.34%"
"Apr 06, 2022","29,000.0","28,600.0","29,250.0","28,550.0","4.63M","0.87%"
"Apr 05, 2022","28,750.0","29,100.0","29,500.0","28,750.0","2.53M","-1.20%"
"Apr 04, 2022","29,100.0","29,900.0","29,900.0","29,000.0","5.17M","-1.19%"
"Apr 01, 2022","29,450.0","28,100.0","29,450.0","28,000.0","7.51M","3.88%"
"Mar 31, 2022","28,350.0","28,650.0","28,700.0","28,150.0","2.56M","0.18%"
"Mar 30, 2022","28,300.0","27,700.0","28,400.0","27,600.0","5.84M","2.72%"
"Mar 29, 2022","27,550.0","27,450.0","27,700.0","27,250.0","1.82M","0.55%"
"Mar 28, 2022","27,400.0","27,700.0","28,200.0","27,300.0","3.37M","-1.97%"
"Mar 25, 2022","27,950.0","28,100.0","28,200.0","27,950.0","2.37M","-0.53%"
"Mar 24, 2022","28,100.0","28,000.0","28,300.0","27,800.0","2.56M","0.36%"
"Mar 23, 2022","28,000.0","28,400.0","28,500.0","28,000.0","2.68M","-1.06%"
"Mar 22, 2022","28,300.0","28,450.0","28,500.0","28,150.0","3.10M","0.00%"
"Mar 21, 2022","28,300.0","27,600.0","28,300.0","27,600.0","3.36M","2.54%"
"Mar 18, 2022","27,600.0","27,850.0","28,150.0","27,600.0","2.33M","0.36%"
"Mar 17, 2022","27,500.0","27,450.0","27,800.0","27,250.0","3.34M","1.29%"
"Mar 16, 2022","27,150.0","27,400.0","27,400.0","27,000.0","3.69M","-0.18%"
"Mar 15, 2022","27,200.0","27,150.0","27,450.0","27,100.0","2.02M","0.37%"
"Mar 14, 2022","27,100.0","27,250.0","27,350.0","26,950.0","2.36M","-0.73%"
