"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","59.900","58.500","60.000","58.100","538,68K","2,39%"
"25.06.2019","58.500","57.900","59.200","57.100","425,91K","1,04%"
"24.06.2019","57.900","57.000","58.000","57.000","446,59K","1,58%"
"21.06.2019","57.000","57.700","57.900","55.700","1,27M","-1,04%"
"20.06.2019","57.600","57.400","58.200","57.200","437,22K","0,35%"
"19.06.2019","57.400","57.000","57.600","56.900","374,04K","1,06%"
"18.06.2019","56.800","57.800","58.000","56.700","514,91K","-1,73%"
"17.06.2019","57.800","59.200","59.500","57.500","596,19K","-2,69%"
"14.06.2019","59.400","59.000","59.500","59.000","553,30K","0,68%"
"13.06.2019","59.000","59.500","60.100","58.800","546,74K","-1,50%"
"12.06.2019","59.900","60.500","60.800","59.900","466,73K","-0,99%"
"11.06.2019","60.500","60.700","61.000","60.400","621,73K","-0,33%"
"10.06.2019","60.700","60.900","61.500","59.600","642,85K","0,00%"
"07.06.2019","60.700","60.400","61.200","60.300","579,76K","0,66%"
"06.06.2019","60.300","60.000","60.700","59.100","561,76K","-0,33%"
"05.06.2019","60.500","60.400","60.900","60.100","465,92K","0,50%"
"04.06.2019","60.200","59.800","60.400","59.000","601,30K","0,33%"
"03.06.2019","60.000","60.000","60.800","59.700","695,21K","-0,33%"
"31.05.2019","60.200","60.500","60.800","60.100","854,45K","0,17%"
"30.05.2019","60.100","59.000","60.400","58.900","709,51K","1,69%"
"29.05.2019","59.100","58.500","59.100","58.200","504,60K","1,03%"
"28.05.2019","58.500","58.300","58.700","57.900","462,07K","0,34%"
"27.05.2019","58.300","58.200","58.600","58.200","436,64K","0,17%"
"24.05.2019","58.200","58.200","59.300","57.800","420,41K","0,00%"
"23.05.2019","58.200","57.700","58.300","57.400","359,96K","0,87%"
"22.05.2019","57.700","59.000","59.200","57.700","390,18K","-2,20%"
"21.05.2019","59.000","59.700","59.700","59.000","403,61K","-0,67%"
"20.05.2019","59.400","58.600","59.700","58.600","531,93K","1,54%"
"17.05.2019","58.500","58.500","58.800","58.500","432,96K","0,00%"
"16.05.2019","58.500","58.500","58.900","58.500","554,79K","0,00%"
"15.05.2019","58.500","58.400","58.600","58.100","426,21K","0,34%"
"14.05.2019","58.300","58.000","58.400","57.800","394,65K","0,17%"
"13.05.2019","58.200","58.400","58.400","57.800","422,53K","-0,34%"
"10.05.2019","58.400","57.700","58.600","57.700","424,24K","1,21%"
"09.05.2019","57.700","57.300","58.000","57.200","303,29K","0,52%"
"08.05.2019","57.400","56.800","57.500","56.500","381,13K","0,70%"
"07.05.2019","57.000","58.000","58.500","56.800","489,70K","-1,89%"
"06.05.2019","58.100","59.400","59.400","57.900","423,29K","-2,35%"
"03.05.2019","59.500","58.500","59.500","58.100","542,07K","1,71%"
"02.05.2019","58.500","59.200","59.200","57.900","369,38K","-1,02%"
"26.04.2019","59.100","58.000","59.300","58.000","616,91K","1,55%"
"25.04.2019","58.200","58.400","58.500","57.500","310,85K","-0,34%"
"24.04.2019","58.400","58.500","59.000","58.100","373,24K","0,52%"
"23.04.2019","58.100","57.400","58.500","57.200","441,41K","1,40%"
"22.04.2019","57.300","57.500","57.700","57.000","401,15K","0,17%"
"19.04.2019","57.200","56.500","57.200","56.500","327,40K","1,42%"
"18.04.2019","56.400","56.000","56.900","55.500","438,37K","0,36%"
"17.04.2019","56.200","55.900","56.700","55.700","405,96K","0,54%"
"16.04.2019","55.900","55.500","56.100","55.000","393,49K","-0,18%"
"12.04.2019","56.000","56.700","57.000","56.000","457,63K","-1,23%"
"11.04.2019","56.700","56.700","57.000","56.600","351,62K","0,18%"
"10.04.2019","56.600","56.500","57.100","56.200","375,93K","0,00%"
"09.04.2019","56.600","57.200","57.400","56.500","339,61K","-0,88%"
"08.04.2019","57.100","57.200","57.500","57.000","421,28K","0,35%"
"05.04.2019","56.900","56.500","57.200","56.500","303,29K","1,07%"
"04.04.2019","56.300","56.500","56.900","56.300","430,40K","0,18%"
"03.04.2019","56.200","55.400","56.800","55.400","420,45K","0,72%"
"02.04.2019","55.800","55.700","56.000","55.300","465,22K","0,54%"
"01.04.2019","55.500","56.000","56.600","55.200","752,93K","-0,54%"
"29.03.2019","55.800","56.300","57.000","55.600","972,43K","-0,71%"
"28.03.2019","56.200","56.900","57.600","56.200","534,17K","-1,06%"
"27.03.2019","56.800","57.000","57.400","56.600","417,91K","0,35%"
"26.03.2019","56.600","56.400","57.100","56.400","530,19K","0,35%"
"25.03.2019","56.400","56.000","57.000","56.000","522,71K","-1,74%"
"22.03.2019","57.400","57.200","57.900","56.900","409,03K","0,70%"
"21.03.2019","57.000","58.000","58.800","57.000","493,82K","-2,23%"
"20.03.2019","58.300","58.500","59.200","58.300","434,44K","-0,17%"
"19.03.2019","58.400","59.300","59.500","58.200","413,93K","-1,35%"
"18.03.2019","59.200","60.200","61.000","59.000","428,60K","-1,17%"
"15.03.2019","59.900","62.000","62.600","59.900","2,53M","-3,23%"
"14.03.2019","61.900","61.000","62.100","60.500","394,68K","1,14%"
"13.03.2019","61.200","62.500","62.800","61.000","359,17K","-2,08%"
"12.03.2019","62.500","60.200","62.500","60.200","1,14M","3,99%"
"11.03.2019","60.100","58.000","60.600","58.000","662,43K","4,52%"
"08.03.2019","57.500","57.000","58.700","57.000","445,53K","0,17%"
"07.03.2019","57.400","57.000","57.900","57.000","472,63K","0,70%"
"06.03.2019","57.000","58.800","58.800","56.600","880,92K","-3,06%"
"05.03.2019","58.800","59.300","59.700","58.500","536,16K","-1,18%"
"04.03.2019","59.500","59.200","60.000","58.600","500,19K","0,51%"
"01.03.2019","59.200","57.100","59.200","57.100","495,79K","2,96%"
"28.02.2019","57.500","60.000","60.700","57.500","1,36M","-3,52%"
"27.02.2019","59.600","59.400","60.500","59.400","652,49K","0,34%"
"26.02.2019","59.400","60.500","61.200","59.400","443,70K","-0,67%"
"25.02.2019","59.800","58.500","61.300","58.500","735,71K","2,40%"
"22.02.2019","58.400","58.400","59.100","58.000","592,19K","0,17%"
"21.02.2019","58.300","58.100","58.300","57.800","720,56K","0,34%"
"20.02.2019","58.100","57.800","58.200","57.800","424,15K","0,17%"
"19.02.2019","58.000","57.900","58.200","57.800","634,82K","0,17%"
"18.02.2019","57.900","57.500","58.200","57.500","583,93K","0,70%"
"15.02.2019","57.500","57.900","58.300","57.500","511,96K","-0,69%"
"14.02.2019","57.900","57.600","59.200","57.500","656,33K","0,70%"
"13.02.2019","57.500","57.500","57.800","57.100","456,42K","0,00%"
"12.02.2019","57.500","57.500","57.800","57.300","426,71K","0,00%"
"11.02.2019","57.500","57.100","57.900","56.700","440,83K","1,41%"
"01.02.2019","56.700","56.600","56.900","55.800","571,27K","0,18%"
"31.01.2019","56.600","57.000","57.200","56.300","554,77K","-0,88%"
"30.01.2019","57.100","57.000","57.300","56.900","394,75K","-0,52%"
"29.01.2019","57.400","57.100","57.400","56.700","508,37K","0,53%"
"28.01.2019","57.100","57.000","57.200","56.800","421,07K","0,18%"
"25.01.2019","57.000","57.100","57.400","56.000","352,41K","-0,18%"
"24.01.2019","57.100","57.100","57.300","56.700","412,78K","-0,17%"
"23.01.2019","57.200","56.900","57.200","56.500","453,15K","0,53%"
"22.01.2019","56.900","57.200","57.300","56.200","535,67K","-0,35%"
"21.01.2019","57.100","57.000","57.400","56.900","354,58K","0,18%"
"18.01.2019","57.000","56.800","57.500","56.800","324,67K","0,35%"
"17.01.2019","56.800","57.100","57.500","56.800","396,21K","-1,22%"
"16.01.2019","57.500","57.700","58.100","56.800","475,49K","-1,03%"
"15.01.2019","58.100","57.500","58.400","56.900","573,01K","0,00%"
"14.01.2019","58.100","58.500","58.700","56.900","717,64K","-2,02%"
"11.01.2019","59.300","58.500","59.800","58.500","627,52K","0,17%"
"10.01.2019","59.200","58.000","59.800","58.000","470,21K","0,68%"
"09.01.2019","58.800","57.800","60.000","53.700","1,17M","1,91%"
"08.01.2019","57.700","62.000","62.000","57.700","621,63K","-6,94%"
"07.01.2019","62.000","62.500","63.000","61.100","721,65K","-1,90%"
"04.01.2019","63.200","62.500","63.500","61.000","626,29K","0,32%"
"03.01.2019","63.000","63.900","63.900","62.700","629,49K","-2,33%"
