Date,Price,Open,High,Low,Vol.,Change %
25-Jun-21,11.10,142.65,143.4,142.05,948.46K,1.20%
24-Jun-21,10.85,145.15,145.5,140.5,7.03M,-2.48%
23-Jun-21,11.02,145.95,146.4,144.15,3.06M,-0.03%
22-Jun-21,10.72,148.4,149,144.8,2.81M,-1.83%
21-Jun-21,10.92,145,148.85,144.85,1.96M,0.44%
18-Jun-21,10.80,151,152.1,145,5.67M,-2.16%
17-Jun-21,10.80,154.5,155.35,149.25,4.51M,-3.68%
16-Jun-21,10.82,156.95,159.95,155.4,6.33M,-0.22%
15-Jun-21,10.50,158.7,159.1,156,5.84M,-1.26%
14-Jun-21,10.24,161.05,161.2,154.4,5.94M,-1.86%
11-Jun-21,9.94,164.2,164.6,160.85,5.07M,-1.16%
10-Jun-21,10.15,164.95,164.95,160.4,8.78M,-0.40%
9-Jun-21,10.26,154.65,167.8,152.75,24.22M,6.01%
8-Jun-21,10.03,154.8,156.7,153.25,7.44M,0.68%
7-Jun-21,10.13,151.65,154.2,150.8,3.64M,1.96%
4-Jun-21,10.01,147.6,152.65,147.6,4.79M,1.69%
3-Jun-21,10.08,148.55,149.5,147.3,2.23M,-0.10%
2-Jun-21,10.08,145.8,148.65,145.4,3.42M,1.96%
1-Jun-21,9.85,145.9,147.5,143.7,2.62M,-0.31%
31-May-21,10.25,148,148,144.3,7.18M,-0.17%
28-May-21,10.35,142.3,147.35,142.2,5.73M,2.31%
27-May-21,10.39,142,143.5,140,5.23M,1.03%
26-May-21,10.57,143.5,143.8,141.2,2.18M,-1.19%
25-May-21,10.12,145,145.65,142.75,3.06M,-1.04%
24-May-21,10.21,144.4,146.15,142.85,3.35M,0.28%
21-May-21,10.13,141.85,145.65,140.85,4.92M,2.38%
20-May-21,10.21,142.45,142.45,139.5,2.60M,-0.67%
19-May-21,10.48,142.1,144.65,141,3.15M,-0.32%
18-May-21,10.41,142.9,144.35,141.15,3.23M,0.49%
17-May-21,10.44,139.95,142,138.8,3.36M,1.83%
14-May-21,10.56,140.2,141.8,137.85,4.28M,-0.43%
12-May-21,10.67,142.15,144.9,138.6,5.40M,-1.27%
11-May-21,10.70,134.95,142.5,134.2,10.04M,4.35%
10-May-21,10.61,132,136.3,131.7,4.72M,3.28%
7-May-21,10.33,131.8,132.4,130.2,2.42M,0.46%
6-May-21,10.69,130.15,131.2,129.65,2.45M,0.42%
5-May-21,10.42,130,130.9,128.8,1.85M,0.66%
4-May-21,10.56,128,132.45,128,4.37M,1.45%
3-May-21,10.67,127.5,129.15,126.1,2.66M,-0.59%
30-Apr-21,10.72,126.25,131,126.1,4.02M,0.20%
29-Apr-21,10.74,129.6,132.95,127.4,5.75M,-0.54%
28-Apr-21,10.75,128.9,129.7,128.05,2.24M,0.35%
27-Apr-21,10.85,128,128.75,126.5,2.53M,-0.16%
26-Apr-21,10.96,126.05,128.7,126.05,2.55M,1.54%
23-Apr-21,10.75,125,127.2,125,2.51M,0.80%
22-Apr-21,10.70,124.85,125.8,124.05,3.11M,-0.20%
20-Apr-21,10.73,127,128,124.95,3.30M,0.04%
19-Apr-21,10.68,125,126,124.1,5.19M,-1.22%
16-Apr-21,10.97,128,129,126.7,2.51M,-0.78%
15-Apr-21,11.04,130.75,132.1,126.5,6.32M,-2.21%
13-Apr-21,10.86,125.65,131.75,125.45,7.06M,4.76%
12-Apr-21,10.67,130.45,130.45,122.15,9.14M,-5.34%
9-Apr-21,10.71,132,133.6,131,2.14M,-0.11%
8-Apr-21,10.42,134.85,135.5,131.6,3.45M,-1.23%
7-Apr-21,10.62,132.05,134.25,131.2,3.58M,1.52%
6-Apr-21,10.32,131.15,133.6,129.9,4.05M,1.31%
5-Apr-21,10.15,132.85,132.85,128.2,4.68M,-1.92%
1-Apr-21,10.15,132.2,133.1,131.1,3.58M,1.22%
31-Mar-21,9.94,129,132.25,128.7,4.54M,2.02%
30-Mar-21,9.56,132,133.1,127.8,5.20M,-2.09%
26-Mar-21,9.46,131.95,133.6,130.65,3.14M,0.42%
25-Mar-21,9.42,135.25,135.5,129.05,5.66M,-3.29%
24-Mar-21,9.36,138.5,140.05,134.95,4.31M,-3.12%
23-Mar-21,8.87,139.3,141.1,138.45,6.41M,0.25%
22-Mar-21,8.78,141,142.75,138.75,4.96M,-2.76%
19-Mar-21,8.88,140.1,144.45,137.55,13.60M,1.35%
18-Mar-21,8.80,147.55,148.45,139.8,8.65M,-6.55%
17-Mar-21,8.85,154.1,154.5,150.5,5.57M,-2.17%
16-Mar-21,8.71,153.75,155.45,153,6.61M,1.18%
15-Mar-21,8.60,151.75,153.35,149.4,7.67M,1.09%
