"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2022","2.7400","2.7800","2.7985","2.7365","26.99M","-1.37%"
"May 17, 2022","2.7780","2.7500","2.7910","2.7235","37.34M","2.91%"
"May 16, 2022","2.6995","2.7100","2.7465","2.6855","29.15M","-1.04%"
"May 13, 2022","2.7280","2.6885","2.7330","2.6755","57.67M","2.81%"
"May 12, 2022","2.6535","2.6310","2.6665","2.6055","41.68M","-1.47%"
"May 11, 2022","2.6930","2.6490","2.7035","2.6110","41.46M","2.26%"
"May 10, 2022","2.6335","2.6515","2.7045","2.6330","69.94M","1.29%"
"May 09, 2022","2.6000","2.6410","2.6735","2.6000","59.99M","-1.91%"
"May 06, 2022","2.6505","2.7245","2.7245","2.6415","58.35M","-1.45%"
"May 05, 2022","2.6895","2.8430","2.8435","2.6800","89.15M","-2.98%"
"May 04, 2022","2.7720","2.8380","2.8390","2.7705","142.95M","-1.79%"
"May 03, 2022","2.8225","2.7900","2.8290","2.7660","-","3.01%"
"May 02, 2022","2.7400","2.7880","2.8170","2.7340","65.70M","-2.72%"
"Apr 29, 2022","2.8165","2.7900","2.8265","2.7610","84.75M","2.34%"
"Apr 28, 2022","2.7520","2.8390","2.8490","2.7190","73.89M","-2.27%"
"Apr 27, 2022","2.8160","2.9000","2.9000","2.8000","101.73M","-1.07%"
"Apr 26, 2022","2.8465","3.1480","3.1640","2.8320","177.67M","-6.79%"
"Apr 25, 2022","3.0540","3.1200","3.1525","3.0540","84.64M","-3.54%"
"Apr 22, 2022","3.1660","3.1870","3.2400","3.1660","38.81M","-1.98%"
"Apr 21, 2022","3.2300","3.2225","3.2320","3.1960","132.63M","0.56%"
"Apr 20, 2022","3.2120","3.1905","3.2515","3.1815","142.41M","1.58%"
"Apr 19, 2022","3.1620","3.1665","3.1820","3.1340","111.06M","0.30%"
"Apr 14, 2022","3.1525","3.1420","3.1850","3.1290","269.50M","0.93%"
"Apr 13, 2022","3.1235","3.1365","3.1535","3.1150","63.54M","-0.30%"
"Apr 12, 2022","3.1330","3.0990","3.1675","3.0800","44.88M","-0.79%"
"Apr 11, 2022","3.1580","3.1255","3.1745","3.1250","63.73M","1.28%"
"Apr 08, 2022","3.1180","3.0770","3.1470","3.0770","41.79M","2.58%"
"Apr 07, 2022","3.0395","3.0530","3.1225","3.0320","53.32M","0.05%"
"Apr 06, 2022","3.0380","3.1510","3.1745","3.0100","69.14M","-3.25%"
"Apr 05, 2022","3.1400","3.1690","3.1905","3.1320","58.75M","-1.57%"
"Apr 04, 2022","3.1900","3.1930","3.2055","3.1480","41.77M","0.28%"
"Apr 01, 2022","3.1810","3.1655","3.2000","3.1360","45.39M","2.61%"
"Mar 31, 2022","3.1000","3.1780","3.1995","3.0975","92.90M","-1.35%"
"Mar 30, 2022","3.1425","3.2160","3.2180","3.1290","48.41M","-3.26%"
"Mar 29, 2022","3.2485","3.1380","3.2630","3.1140","71.88M","5.47%"
"Mar 28, 2022","3.0800","3.0745","3.1535","3.0740","40.08M","0.75%"
"Mar 25, 2022","3.0570","3.0750","3.0870","3.0300","39.25M","-0.23%"
"Mar 24, 2022","3.0640","3.1285","3.1345","3.0530","52.42M","-2.12%"
"Mar 23, 2022","3.1305","3.1885","3.1965","3.1150","46.07M","-1.59%"
"Mar 22, 2022","3.1810","3.1470","3.2050","3.1405","51.07M","1.66%"
"Mar 21, 2022","3.1290","3.1500","3.1895","3.1000","45.21M","0.29%"
"Mar 18, 2022","3.1200","3.1400","3.1495","3.0850","92.45M","-0.65%"
"Mar 17, 2022","3.1405","3.1650","3.1885","3.0910","121.99M","-0.52%"
"Mar 16, 2022","3.1570","3.0500","3.1895","3.0335","108.69M","5.83%"
"Mar 15, 2022","2.9830","2.9130","3.0110","2.8975","67.76M","0.95%"
"Mar 14, 2022","2.9550","2.9030","2.9700","2.8880","51.42M","3.18%"
"Mar 11, 2022","2.8640","2.8710","3.0090","2.8200","73.16M","0.39%"
"Mar 10, 2022","2.8530","2.8920","2.9220","2.8135","64.29M","-1.37%"
"Mar 09, 2022","2.8925","2.8360","2.8925","2.7760","83.24M","7.25%"
"Mar 08, 2022","2.6970","2.6000","2.7945","2.5850","90.01M","2.51%"
"Mar 07, 2022","2.6310","2.6150","2.6905","2.4900","112.74M","-3.22%"
"Mar 04, 2022","2.7185","2.8465","2.8545","2.7125","119.35M","-5.28%"
"Mar 03, 2022","2.8700","2.9370","2.9620","2.8540","65.66M","-1.95%"
"Mar 02, 2022","2.9270","2.8100","2.9610","2.7670","87.65M","3.45%"
"Mar 01, 2022","2.8295","2.9695","3.0175","2.8295","94.33M","-5.19%"
"Feb 28, 2022","2.9845","2.9815","3.0095","2.9240","146.20M","-4.30%"
"Feb 25, 2022","3.1185","3.0105","3.1295","2.9350","105.45M","4.35%"
"Feb 24, 2022","2.9885","3.0960","3.1195","2.9375","162.42M","-7.69%"
"Feb 23, 2022","3.2375","3.3060","3.3410","3.2215","37.47M","-1.34%"
"Feb 22, 2022","3.2815","3.1905","3.3290","3.1720","58.75M","-0.12%"
"Feb 21, 2022","3.2855","3.3425","3.3790","3.2540","36.26M","-1.10%"
"Feb 18, 2022","3.3220","3.3350","3.3580","3.3045","33.01M","-0.54%"
"Feb 17, 2022","3.3400","3.3675","3.3810","3.3080","33.94M","-1.15%"
"Feb 16, 2022","3.3790","3.4340","3.4615","3.3450","44.65M","-1.29%"
"Feb 15, 2022","3.4230","3.3120","3.4230","3.3090","81.08M","2.29%"
"Feb 14, 2022","3.3465","3.3440","3.3835","3.3050","67.28M","-3.88%"
"Feb 11, 2022","3.4815","3.4365","3.4815","3.4265","47.12M","0.00%"
"Feb 10, 2022","3.4815","3.4200","3.4820","3.4155","72.52M","1.41%"
"Feb 09, 2022","3.4330","3.3850","3.4430","3.3465","65.41M","1.84%"
"Feb 08, 2022","3.3710","3.3080","3.3775","3.3045","67.55M","2.34%"
"Feb 07, 2022","3.2940","3.2975","3.3130","3.2245","50.51M","1.23%"
