"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","32.000","31.750","32.150","31.650","558,95K","0,79%"
"25.06.2019","31.750","32.150","32.200","31.600","717,82K","-1,24%"
"24.06.2019","32.150","32.250","32.300","32.050","297,67K","-0,31%"
"21.06.2019","32.250","32.200","32.500","32.150","275,17K","0,31%"
"20.06.2019","32.150","31.850","32.200","31.850","485,98K","0,94%"
"19.06.2019","31.850","32.000","32.300","31.700","226,01K","0,79%"
"18.06.2019","31.600","31.600","31.700","31.450","352,71K","0,16%"
"17.06.2019","31.550","31.850","31.950","31.550","457,02K","-0,94%"
"14.06.2019","31.850","32.000","32.300","31.850","309,30K","-0,62%"
"13.06.2019","32.050","32.050","32.350","32.050","208,77K","-0,47%"
"12.06.2019","32.200","32.750","32.750","32.200","370,42K","-1,53%"
"11.06.2019","32.700","32.350","32.900","32.350","588,73K","1,08%"
"10.06.2019","32.350","32.300","32.750","32.000","503,08K","-0,77%"
"07.06.2019","32.600","32.000","32.600","32.000","392,28K","1,88%"
"06.06.2019","32.000","32.000","32.200","31.800","322,64K","0,00%"
"05.06.2019","32.000","32.100","32.300","31.950","282,04K","0,16%"
"04.06.2019","31.950","31.500","31.950","31.400","486,84K","1,43%"
"03.06.2019","31.500","32.400","32.400","31.500","481,48K","-3,08%"
"31.05.2019","32.500","32.950","33.000","32.500","375,71K","-1,52%"
"30.05.2019","33.000","32.500","33.200","32.400","538,06K","1,38%"
"29.05.2019","32.550","32.300","32.700","32.300","252,94K","0,31%"
"28.05.2019","32.450","32.600","32.750","32.300","395,68K","-0,46%"
"27.05.2019","32.600","32.500","32.950","32.500","204,24K","-0,91%"
"24.05.2019","32.900","33.050","33.300","32.800","384,58K","-0,45%"
"23.05.2019","33.050","32.900","33.100","32.750","287,22K","0,30%"
"22.05.2019","32.950","33.250","33.350","32.950","375,35K","-1,20%"
"21.05.2019","33.350","33.650","33.750","33.350","443,38K","-0,60%"
"20.05.2019","33.550","32.950","33.600","32.800","989,54K","2,29%"
"17.05.2019","32.800","32.900","32.900","32.700","369,15K","-0,30%"
"16.05.2019","32.900","33.000","33.200","32.800","555,75K","-0,30%"
"15.05.2019","33.000","33.200","33.300","32.950","583,03K","0,15%"
"14.05.2019","32.950","32.300","32.950","32.200","783,17K","1,38%"
"13.05.2019","32.500","32.300","32.650","32.000","640,25K","1,25%"
"10.05.2019","32.100","32.000","32.250","31.800","502,46K","0,63%"
"09.05.2019","31.900","31.600","31.900","31.600","591,88K","0,95%"
"08.05.2019","31.600","30.750","32.000","30.750","763,33K","2,10%"
"07.05.2019","30.950","31.200","31.300","30.950","300,54K","-0,16%"
"06.05.2019","31.000","31.500","31.500","30.950","652,89K","-2,97%"
"03.05.2019","31.950","32.000","32.150","31.700","301,80K","-0,16%"
"02.05.2019","32.000","31.850","32.350","31.850","380,45K","0,63%"
"26.04.2019","31.800","31.350","31.800","31.350","316,52K","0,95%"
"25.04.2019","31.500","31.200","31.700","31.200","252,15K","0,48%"
"24.04.2019","31.350","31.000","31.400","31.000","192,32K","1,13%"
"23.04.2019","31.000","31.000","31.200","31.000","430,20K","0,00%"
"22.04.2019","31.000","31.400","31.500","30.900","347,80K","-1,27%"
"19.04.2019","31.400","31.450","31.500","31.300","128,45K","0,16%"
"18.04.2019","31.350","31.700","31.700","31.150","314,29K","-0,95%"
"17.04.2019","31.650","31.700","31.900","31.600","204,22K","0,00%"
"16.04.2019","31.650","31.600","31.700","31.400","225,84K","-0,47%"
"12.04.2019","31.800","31.800","31.800","31.700","205,07K","0,00%"
"11.04.2019","31.800","31.950","31.950","31.750","177,90K","0,00%"
"10.04.2019","31.800","32.100","32.100","31.750","401,45K","-1,55%"
"09.04.2019","32.300","32.550","32.700","32.300","530,10K","-0,77%"
"08.04.2019","32.550","32.350","32.650","32.200","677,93K","0,62%"
"05.04.2019","32.350","31.850","32.550","31.800","832,89K","1,89%"
"04.04.2019","31.750","31.550","31.750","31.500","324,54K","0,63%"
"03.04.2019","31.550","31.800","31.800","31.500","374,76K","-0,79%"
"02.04.2019","31.800","31.700","31.950","31.650","332,71K","0,63%"
"01.04.2019","31.600","32.000","32.000","31.550","236,54K","-0,78%"
"29.03.2019","31.850","32.000","32.500","31.800","365,93K","-0,47%"
"28.03.2019","32.000","31.600","32.150","31.600","433,76K","0,95%"
"27.03.2019","31.700","31.750","32.100","31.650","245,15K","0,48%"
"26.03.2019","31.550","31.800","32.050","31.500","358,27K","0,00%"
"25.03.2019","31.550","32.000","32.200","31.500","829,67K","-3,66%"
"22.03.2019","32.750","32.750","33.000","32.400","353,08K","0,77%"
"21.03.2019","32.500","33.700","33.700","32.500","458,75K","-2,69%"
"20.03.2019","33.400","32.700","33.600","32.500","700,27K","1,83%"
"19.03.2019","32.800","33.400","33.600","32.800","833,59K","-1,80%"
"18.03.2019","33.400","33.900","34.000","33.350","1,41M","-1,76%"
"15.03.2019","34.000","34.500","34.500","33.700","902,29K","-1,45%"
"14.03.2019","34.500","34.500","34.700","34.350","566,81K","0,00%"
"13.03.2019","34.500","34.700","35.300","34.300","750,71K","-0,58%"
"12.03.2019","34.700","33.800","34.900","33.650","1,36M","3,27%"
"11.03.2019","33.600","33.900","33.900","33.400","427,91K","-0,88%"
"08.03.2019","33.900","33.800","34.000","33.100","460,33K","-0,44%"
"07.03.2019","34.050","34.600","34.650","34.000","513,37K","-1,30%"
"06.03.2019","34.500","33.900","34.900","33.900","1,27M","2,22%"
"05.03.2019","33.750","33.100","33.950","32.800","809,13K","1,96%"
"04.03.2019","33.100","33.050","33.450","33.000","854,64K","0,15%"
"01.03.2019","33.050","33.200","33.350","33.050","690,95K","0,00%"
"28.02.2019","33.050","34.000","34.000","33.050","938,11K","-2,79%"
"27.02.2019","34.000","34.400","34.400","34.000","317,89K","-0,29%"
"26.02.2019","34.100","34.300","34.500","33.900","850,06K","0,89%"
"25.02.2019","33.800","33.847","33.942","33.563","918,15K","0,28%"
"22.02.2019","33.705","33.468","33.800","33.325","703,85K","-0,14%"
"21.02.2019","33.752","33.705","33.942","33.563","528,25K","0,42%"
"20.02.2019","33.610","33.468","33.705","33.183","513,10K","-0,28%"
"19.02.2019","33.705","34.180","34.275","33.515","1,14M","-1,25%"
"18.02.2019","34.132","33.420","34.180","33.420","836,52K","2,42%"
"15.02.2019","33.325","33.230","33.515","32.851","688,39K","0,57%"
"14.02.2019","33.135","33.183","33.230","32.851","424,90K","-0,14%"
"13.02.2019","33.183","33.325","33.468","33.135","698,55K","0,29%"
"12.02.2019","33.088","33.230","33.610","33.088","602,64K","-4,37%"
"11.02.2019","34.600","33.800","34.600","33.750","355,61K","2,67%"
"01.02.2019","33.700","33.700","34.000","33.300","1,10M","0,00%"
"31.01.2019","33.700","33.900","34.000","33.600","287,70K","-0,15%"
"30.01.2019","33.750","33.900","34.300","33.700","984,64K","2,27%"
"29.01.2019","33.000","32.850","33.000","32.450","317,94K","0,30%"
"28.01.2019","32.900","32.850","33.100","32.700","246,17K","0,00%"
"25.01.2019","32.900","32.900","33.350","32.900","577,38K","0,00%"
"24.01.2019","32.900","32.650","32.950","32.200","405,19K","1,54%"
"23.01.2019","32.400","32.400","32.550","32.000","219,94K","0,00%"
"22.01.2019","32.400","32.600","32.700","32.200","221,76K","-0,92%"
"21.01.2019","32.700","32.100","32.800","32.000","280,48K","1,87%"
"18.01.2019","32.100","31.600","32.500","31.550","377,76K","1,74%"
"17.01.2019","31.550","31.800","31.900","31.550","147,07K","-0,94%"
"16.01.2019","31.850","32.100","32.300","31.800","193,27K","-0,78%"
"15.01.2019","32.100","31.400","32.100","31.200","314,66K","2,56%"
"14.01.2019","31.300","31.600","31.600","31.250","250,71K","-0,63%"
"11.01.2019","31.500","31.500","31.600","31.200","299,51K","1,29%"
"10.01.2019","31.100","30.700","31.550","30.600","433,13K","1,63%"
"09.01.2019","30.600","30.450","30.700","30.200","248,00K","2,00%"
"08.01.2019","30.000","30.200","30.450","30.000","191,81K","-0,66%"
"07.01.2019","30.200","30.400","30.550","30.200","158,08K","1,34%"
"04.01.2019","29.800","29.900","30.200","29.450","179,54K","-0,67%"
"03.01.2019","30.000","30.650","30.750","29.900","588,40K","-2,12%"
"02.01.2019","30.650","31.100","31.100","30.650","329,83K","-0,49%"
"28.12.2018","30.800","31.000","31.000","30.750","158,09K","-0,32%"
"27.12.2018","30.900","31.400","31.400","30.900","144,63K","0,65%"
"26.12.2018","30.700","30.600","30.850","30.500","176,23K","0,33%"
"25.12.2018","30.600","30.600","30.900","30.250","434,52K","-2,24%"
"24.12.2018","31.300","31.700","31.700","31.300","171,27K","-1,11%"
"21.12.2018","31.650","31.800","31.800","31.600","120,54K","-0,31%"
"20.12.2018","31.750","31.750","32.100","31.700","82,82K","-0,63%"
"19.12.2018","31.950","31.650","31.950","31.500","149,18K","0,31%"
"18.12.2018","31.850","31.400","31.850","31.300","233,79K","0,63%"
"17.12.2018","31.650","32.200","32.250","31.500","264,74K","-2,31%"
"14.12.2018","32.400","33.050","33.050","32.350","268,90K","-1,37%"
"13.12.2018","32.850","33.000","33.300","32.850","165,42K","-0,45%"
"12.12.2018","33.000","33.000","33.200","32.900","265,12K","0,92%"
"11.12.2018","32.700","33.000","33.250","32.700","165,76K","-1,06%"
