"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 14, 2022","7.35","7.38","7.59","6.98","2.13M","-1.47%"
"Mar 11, 2022","7.46","7.88","8.17","7.09","3.01M","-6.98%"
"Mar 10, 2022","8.02","6.81","8.12","6.75","2.66M","8.82%"
"Mar 09, 2022","7.37","7.38","8.44","7.07","4.17M","2.50%"
"Mar 08, 2022","7.19","6.33","7.30","6.08","2.48M","14.49%"
"Mar 07, 2022","6.28","6.50","7.24","6.20","3.57M","-2.79%"
"Mar 04, 2022","6.46","6.88","7.20","6.38","2.14M","-7.45%"
"Mar 03, 2022","6.98","7.66","7.85","6.71","4.53M","-9.35%"
"Mar 02, 2022","7.70","7.67","8.44","7.51","2.82M","2.80%"
"Mar 01, 2022","7.49","9.50","9.55","7.05","6.63M","-18.59%"
"Feb 28, 2022","9.20","9.22","9.80","8.72","2.23M","-1.92%"
"Feb 25, 2022","9.38","8.50","9.39","8.45","2.13M","11.27%"
"Feb 24, 2022","8.43","7.33","8.59","7.33","1.32M","7.53%"
"Feb 23, 2022","7.84","8.05","8.32","7.80","1.14M","-1.01%"
"Feb 22, 2022","7.92","8.15","8.36","7.65","1.86M","-4.12%"
"Feb 18, 2022","8.26","9.12","9.20","8.11","1.25M","-10.22%"
"Feb 17, 2022","9.20","9.50","9.70","8.94","1.20M","-3.66%"
"Feb 16, 2022","9.55","10.41","10.61","9.42","2.18M","-9.39%"
"Feb 15, 2022","10.54","10.45","10.85","10.02","980.38K","6.57%"
"Feb 14, 2022","9.89","10.08","10.50","9.55","1.37M","-3.04%"
"Feb 11, 2022","10.20","10.61","11.34","10.00","2.15M","-2.95%"
"Feb 10, 2022","10.51","10.31","11.45","10.00","2.05M","-0.76%"
"Feb 09, 2022","10.59","11.05","11.49","10.40","1.80M","-2.67%"
"Feb 08, 2022","10.88","10.51","10.99","9.69","1.70M","1.97%"
"Feb 07, 2022","10.67","9.83","11.19","9.34","4.64M","13.03%"
"Feb 04, 2022","9.44","9.08","9.88","8.70","2.94M","4.89%"
"Feb 03, 2022","9.00","8.83","10.18","8.81","1.66M","-2.81%"
"Feb 02, 2022","9.26","10.23","10.25","8.78","1.70M","-6.56%"
"Feb 01, 2022","9.91","8.75","10.42","8.61","2.01M","14.17%"
"Jan 31, 2022","8.68","7.69","9.01","7.62","1.63M","11.57%"
"Jan 28, 2022","7.78","7.28","7.98","7.00","1.18M","8.06%"
"Jan 27, 2022","7.20","8.58","8.69","6.93","2.45M","-16.86%"
"Jan 26, 2022","8.66","8.25","9.19","7.75","3.50M","9.62%"
"Jan 25, 2022","7.90","6.71","8.39","6.53","1.83M","12.54%"
"Jan 24, 2022","7.02","6.66","7.16","5.82","2.26M","1.59%"
"Jan 21, 2022","6.91","8.49","8.49","6.86","2.34M","-21.48%"
"Jan 20, 2022","8.80","9.74","10.48","8.35","1.18M","-8.33%"
"Jan 19, 2022","9.60","9.88","10.00","9.52","506.10K","-1.44%"
"Jan 18, 2022","9.74","10.00","10.16","9.41","501.69K","-2.89%"
"Jan 14, 2022","10.03","9.65","10.36","9.62","972.42K","5.03%"
"Jan 13, 2022","9.55","9.97","10.02","9.25","1.45M","-4.60%"
"Jan 12, 2022","10.01","9.98","10.08","9.98","2.78M","0.20%"
"Jan 11, 2022","9.99","9.99","10.00","9.98","2.14M","0.10%"
"Jan 10, 2022","9.98","10.02","10.03","9.97","2.20M","-0.80%"
"Jan 07, 2022","10.06","10.05","10.16","10.02","1.41M","-0.49%"
