"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 2020","10.27","10.12","10.58","10.12","79.39K","2.50%"
"Jun 02, 2020","10.02","10.00","10.09","9.97","143.25K","3.19%"
"Jun 01, 2020","9.71","9.56","9.76","9.56","39.31K","3.74%"
"May 29, 2020","9.36","9.37","9.45","9.30","67.04K","-4.20%"
"May 28, 2020","9.77","9.80","9.88","9.73","63.73K","-0.20%"
"May 27, 2020","9.79","9.97","9.97","9.73","133.43K","3.27%"
"May 26, 2020","9.48","9.61","9.61","9.39","60.34K","4.06%"
"May 22, 2020","9.11","9.08","9.11","9.00","57.32K","-1.51%"
"May 21, 2020","9.25","9.51","9.51","9.20","119.70K","-3.04%"
"May 20, 2020","9.54","9.40","9.60","9.37","68.53K","3.02%"
"May 19, 2020","9.26","9.35","9.47","9.21","281.81K","-2.01%"
"May 18, 2020","9.45","9.21","9.52","9.16","136.22K","7.88%"
"May 15, 2020","8.76","8.83","9.05","8.71","99.44K","-1.24%"
"May 14, 2020","8.87","8.36","8.96","8.30","77.72K","1.72%"
"May 13, 2020","8.72","8.94","8.98","8.65","136.43K","-2.90%"
"May 12, 2020","8.98","9.23","9.23","8.97","194.26K","-1.97%"
"May 11, 2020","9.16","9.26","9.29","9.12","84.20K","-3.48%"
"May 08, 2020","9.49","9.42","9.49","9.31","79.95K","-0.21%"
"May 07, 2020","9.51","9.53","9.77","9.39","222.46K","3.48%"
"May 06, 2020","9.19","9.70","9.70","9.12","58.74K","-1.39%"
"May 05, 2020","9.32","9.26","9.50","9.24","1.00M","9.39%"
"May 04, 2020","8.52","8.42","8.56","8.31","142.06K","-3.51%"
"May 01, 2020","8.83","8.57","9.02","8.57","63.16K","-2.00%"
"Apr 30, 2020","9.01","9.11","9.20","8.98","107.23K","-3.01%"
"Apr 29, 2020","9.29","9.03","9.33","9.01","102.81K","8.15%"
"Apr 28, 2020","8.59","8.47","8.70","8.36","211.23K","0.12%"
"Apr 27, 2020","8.58","8.31","8.61","8.28","180.99K","0.12%"
"Apr 24, 2020","8.57","8.65","8.66","8.36","94.70K","2.39%"
"Apr 23, 2020","8.37","8.32","8.77","8.28","105.80K","4.76%"
"Apr 22, 2020","7.99","8.13","8.73","7.88","97.65K","0.38%"
"Apr 21, 2020","7.96","7.85","8.05","7.83","244.18K","-3.75%"
"Apr 20, 2020","8.27","8.16","8.67","8.16","231.39K","-3.84%"
"Apr 17, 2020","8.60","8.31","8.67","8.23","132.98K","7.23%"
"Apr 16, 2020","8.02","7.96","8.19","7.75","93.71K","-2.08%"
"Apr 15, 2020","8.19","8.31","8.36","8.10","110.84K","-7.35%"
"Apr 14, 2020","8.84","9.05","9.15","8.73","429.86K","-0.34%"
"Apr 13, 2020","8.87","8.91","9.53","8.74","102.17K","-1.55%"
"Apr 09, 2020","9.01","9.26","9.35","8.60","162.79K","-2.17%"
"Apr 08, 2020","9.21","9.03","9.30","8.91","139.24K","-1.81%"
"Apr 07, 2020","9.38","9.19","9.60","8.87","375.30K","5.75%"
