"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","20.850","21.050","21.200","20.850","2,79M","-1,18%"
"25.06.2019","21.100","21.250","21.300","21.050","1,33M","-0,94%"
"24.06.2019","21.300","21.300","21.350","21.200","1,51M","0,00%"
"21.06.2019","21.300","21.300","21.450","21.200","2,15M","0,00%"
"20.06.2019","21.300","20.650","21.300","20.650","2,95M","3,15%"
"19.06.2019","20.650","20.700","20.800","20.600","1,27M","0,24%"
"18.06.2019","20.600","20.700","20.750","20.600","736,81K","-0,48%"
"17.06.2019","20.700","20.800","20.850","20.650","1,36M","0,00%"
"14.06.2019","20.700","20.600","20.950","20.550","1,52M","0,49%"
"13.06.2019","20.600","20.500","20.650","20.400","866,62K","0,00%"
"12.06.2019","20.600","20.650","20.750","20.600","875,51K","-0,48%"
"11.06.2019","20.700","20.600","20.750","20.600","1,07M","0,49%"
"10.06.2019","20.600","20.800","20.850","20.500","1,59M","0,24%"
"07.06.2019","20.550","20.350","20.550","20.350","1,05M","1,73%"
"06.06.2019","20.200","20.250","20.500","20.100","1,80M","-0,25%"
"05.06.2019","20.250","20.500","20.600","20.250","1,78M","-0,49%"
"04.06.2019","20.350","20.450","20.500","20.300","1,47M","0,00%"
"03.06.2019","20.350","20.700","20.800","20.350","2,18M","-2,40%"
"31.05.2019","20.850","21.100","21.200","20.850","2,36M","-1,42%"
"30.05.2019","21.150","21.100","21.350","21.100","1,29M","-0,24%"
"29.05.2019","21.200","21.350","21.350","21.150","1,50M","-0,70%"
"28.05.2019","21.350","21.300","21.400","21.200","1,65M","0,23%"
"27.05.2019","21.300","21.350","21.400","21.250","1,49M","-0,23%"
"24.05.2019","21.350","21.650","21.700","21.350","2,67M","-1,39%"
"23.05.2019","21.650","21.500","21.750","21.500","1,84M","0,46%"
"22.05.2019","21.550","21.300","21.850","21.250","4,82M","1,17%"
"21.05.2019","21.300","21.200","21.400","21.150","2,36M","0,71%"
"20.05.2019","21.150","21.050","21.350","21.050","2,58M","-0,24%"
"17.05.2019","21.200","21.300","21.400","21.100","1,49M","-0,47%"
"16.05.2019","21.300","21.500","21.500","21.300","1,56M","-0,70%"
"15.05.2019","21.450","21.250","21.600","21.250","2,59M","0,70%"
"14.05.2019","21.300","21.000","21.300","21.000","1,52M","0,24%"
"13.05.2019","21.250","20.950","21.350","20.850","2,83M","1,67%"
"10.05.2019","20.900","21.000","21.200","20.800","3,16M","-0,48%"
"09.05.2019","21.000","21.300","21.450","20.800","4,13M","-1,41%"
"08.05.2019","21.300","21.100","21.450","21.100","2,57M","-0,70%"
"07.05.2019","21.450","21.650","21.700","21.450","1,29M","-0,23%"
"06.05.2019","21.500","21.750","21.800","21.350","3,48M","-2,71%"
"03.05.2019","22.100","21.900","22.150","21.700","3,62M","0,91%"
"02.05.2019","21.900","21.850","22.100","21.800","2,93M","0,46%"
"26.04.2019","21.800","21.500","21.800","21.400","2,17M","1,40%"
"25.04.2019","21.500","21.500","21.600","21.400","1,12M","0,00%"
"24.04.2019","21.500","21.350","21.500","21.300","1,57M","0,94%"
"23.04.2019","21.300","21.300","21.450","21.200","2,01M","-0,47%"
"22.04.2019","21.400","21.650","21.650","21.150","2,99M","-0,93%"
"19.04.2019","21.600","21.600","21.700","21.450","1,80M","0,23%"
"18.04.2019","21.550","21.500","21.850","21.400","3,91M","0,23%"
"17.04.2019","21.500","21.650","21.750","21.500","2,74M","0,00%"
"16.04.2019","21.500","21.350","21.700","21.350","2,83M","-1,83%"
"12.04.2019","21.900","22.100","22.100","21.850","1,06M","-0,45%"
"11.04.2019","22.000","21.950","22.050","21.850","1,40M","0,23%"
"10.04.2019","21.950","22.050","22.200","21.900","2,37M","-1,35%"
"09.04.2019","22.250","22.400","22.450","22.100","2,98M","-0,45%"
"08.04.2019","22.350","22.150","22.350","22.050","3,34M","0,90%"
