"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 07, 2022","10.832","10.960","10.968","10.662","5.79M","-2.80%"
"Jan 06, 2022","11.144","11.030","11.246","10.900","10.99M","-0.25%"
"Jan 05, 2022","11.172","10.900","11.190","10.892","24.88M","2.57%"
"Jan 04, 2022","10.892","10.700","10.976","10.698","51.88M","2.29%"
"Jan 03, 2022","10.648","10.456","10.696","10.440","11.34M","2.03%"
"Dec 30, 2021","10.436","10.432","10.510","10.408","6.82M","-0.40%"
"Dec 29, 2021","10.478","10.554","10.624","10.394","3.41M","-1.11%"
"Dec 28, 2021","10.596","10.530","10.666","10.516","7.28M","0.88%"
"Dec 27, 2021","10.504","10.296","10.576","10.274","4.73M","1.25%"
"Dec 23, 2021","10.374","10.178","10.442","10.152","7.56M","2.19%"
"Dec 22, 2021","10.152","10.088","10.172","10.020","3.34M","0.71%"
"Dec 21, 2021","10.080","9.980","10.112","9.862","7.63M","2.42%"
"Dec 20, 2021","9.842","9.690","9.876","9.630","18.90M","-1.02%"
"Dec 17, 2021","9.943","9.917","9.989","9.832","9.12M","-0.55%"
"Dec 16, 2021","9.998","9.930","10.078","9.903","6.84M","1.81%"
"Dec 15, 2021","9.820","9.985","10.000","9.793","8.53M","-1.74%"
"Dec 14, 2021","9.994","9.930","10.074","9.896","4.97M","1.10%"
"Dec 13, 2021","9.885","10.144","10.274","9.885","4.39M","-2.13%"
"Dec 10, 2021","10.100","10.114","10.212","10.060","5.45M","-0.36%"
"Dec 09, 2021","10.136","10.324","10.354","10.100","3.43M","-1.69%"
"Dec 08, 2021","10.310","10.352","10.430","10.198","4.03M","-0.83%"
"Dec 07, 2021","10.396","10.380","10.540","10.320","6.27M","1.21%"
"Dec 06, 2021","10.272","10.150","10.368","10.150","5.48M","2.09%"
"Dec 03, 2021","10.062","10.220","10.308","10.062","6.20M","-0.40%"
"Dec 02, 2021","10.102","9.894","10.188","9.882","7.76M","0.82%"
"Dec 01, 2021","10.020","9.980","10.200","9.943","7.17M","2.34%"
"Nov 30, 2021","9.791","9.722","9.854","9.603","18.98M","-1.22%"
"Nov 29, 2021","9.912","9.854","10.110","9.799","8.23M","2.10%"
"Nov 26, 2021","9.708","10.000","10.016","9.620","18.96M","-7.35%"
"Nov 25, 2021","10.478","10.542","10.542","10.366","6.80M","-0.46%"
"Nov 24, 2021","10.526","10.716","10.760","10.478","8.65M","-0.75%"
"Nov 23, 2021","10.606","10.468","10.742","10.358","7.30M","0.66%"
"Nov 22, 2021","10.536","10.380","10.586","10.290","5.64M","1.56%"
"Nov 19, 2021","10.374","10.766","10.826","10.350","12.60M","-2.68%"
"Nov 18, 2021","10.660","10.770","10.770","10.608","4.76M","-1.82%"
"Nov 17, 2021","10.858","10.970","10.976","10.822","6.42M","-1.13%"
"Nov 16, 2021","10.982","10.978","11.116","10.874","5.51M","0.44%"
"Nov 15, 2021","10.934","10.810","11.026","10.774","6.06M","0.48%"
"Nov 12, 2021","10.882","11.110","11.124","10.868","5.75M","-2.40%"
"Nov 11, 2021","11.150","11.020","11.218","11.008","8.28M","0.81%"
"Nov 10, 2021","11.060","10.862","11.190","10.858","9.77M","2.35%"
"Nov 09, 2021","10.806","10.802","10.972","10.718","3.71M","-0.22%"
"Nov 08, 2021","10.830","10.870","11.022","10.744","5.22M","0.17%"
"Nov 05, 2021","10.812","10.710","10.878","10.584","8.24M","0.86%"
"Nov 04, 2021","10.720","10.730","10.960","10.668","5.22M","0.00%"
"Nov 03, 2021","10.720","10.784","10.860","10.612","9.34M","-1.76%"
"Nov 02, 2021","10.912","11.000","11.000","10.764","5.44M","-0.96%"
"Nov 01, 2021","11.018","11.080","11.184","11.000","8.73M","-0.34%"
"Oct 29, 2021","11.056","11.150","11.286","11.018","44.09M","-0.07%"
"Oct 28, 2021","11.064","11.476","11.488","10.902","11.38M","-3.51%"
"Oct 27, 2021","11.466","11.580","11.580","11.320","8.84M","-0.64%"
"Oct 26, 2021","11.540","11.690","11.710","11.468","4.64M","-1.18%"
"Oct 25, 2021","11.678","11.424","11.716","11.424","6.73M","1.85%"
"Oct 22, 2021","11.466","11.496","11.570","11.422","3.14M","0.12%"
"Oct 21, 2021","11.452","11.596","11.660","11.444","7.31M","-2.04%"
"Oct 20, 2021","11.690","11.474","11.714","11.438","10.96M","1.46%"
"Oct 19, 2021","11.522","11.496","11.604","11.424","4.91M","0.05%"
"Oct 18, 2021","11.516","11.586","11.602","11.392","10.37M","-0.55%"
"Oct 15, 2021","11.580","11.576","11.704","11.508","5.80M","0.47%"
"Oct 14, 2021","11.526","11.500","11.646","11.476","14.15M","1.21%"
"Oct 13, 2021","11.388","11.494","11.520","11.216","4.41M","-1.23%"
"Oct 12, 2021","11.530","11.366","11.540","10.790","30.98M","0.63%"
"Oct 11, 2021","11.458","11.632","11.720","11.382","6.29M","-1.07%"
"Oct 08, 2021","11.582","11.400","11.644","11.364","8.61M","0.71%"
"Oct 07, 2021","11.500","11.538","11.604","11.356","5.83M","0.88%"
"Oct 06, 2021","11.400","11.690","11.734","11.370","6.44M","-2.25%"
"Oct 05, 2021","11.662","11.600","11.732","11.480","6.93M","0.22%"
"Oct 04, 2021","11.636","11.396","11.780","11.380","16.94M","2.81%"
"Oct 01, 2021","11.318","11.150","11.378","11.056","5.89M","0.18%"
"Sep 30, 2021","11.298","11.262","11.380","11.126","7.16M","0.46%"
"Sep 29, 2021","11.246","11.000","11.246","10.836","6.84M","2.01%"
"Sep 28, 2021","11.024","11.020","11.220","10.980","17.18M","0.53%"
"Sep 27, 2021","10.966","10.780","11.060","10.766","9.27M","2.29%"
"Sep 24, 2021","10.720","10.670","10.762","10.638","4.75M","0.30%"
"Sep 23, 2021","10.688","10.600","10.720","10.504","6.75M","2.06%"
"Sep 22, 2021","10.472","10.370","10.626","10.370","6.88M","2.25%"
"Sep 21, 2021","10.242","10.000","10.330","9.991","9.67M","2.64%"
"Sep 20, 2021","9.979","9.852","10.014","9.736","7.43M","-0.65%"
"Sep 17, 2021","10.044","10.180","10.200","9.935","14.90M","0.12%"
"Sep 16, 2021","10.032","9.999","10.170","9.997","6.77M","0.30%"
"Sep 15, 2021","10.002","9.780","10.060","9.780","5.98M","1.65%"
"Sep 14, 2021","9.840","9.798","10.000","9.710","7.63M","0.58%"
"Sep 13, 2021","9.783","9.441","9.786","9.441","5.35M","3.52%"
"Sep 10, 2021","9.450","9.387","9.453","9.337","5.24M","0.95%"
"Sep 09, 2021","9.361","9.453","9.467","9.294","5.65M","-1.62%"
"Sep 08, 2021","9.515","9.556","9.647","9.389","4.91M","-1.09%"
"Sep 07, 2021","9.620","9.590","9.670","9.522","2.53M","0.20%"
"Sep 06, 2021","9.601","9.643","9.647","9.523","2.14M","0.10%"
"Sep 03, 2021","9.591","9.722","9.760","9.570","5.39M","-1.60%"
"Sep 02, 2021","9.747","9.515","9.765","9.501","3.53M","2.44%"
"Sep 01, 2021","9.515","9.650","9.822","9.515","5.94M","-1.96%"
"Aug 31, 2021","9.705","9.917","9.917","9.670","8.51M","-1.93%"
"Aug 30, 2021","9.896","9.860","9.976","9.836","2.91M","-0.08%"
"Aug 27, 2021","9.904","9.761","9.930","9.696","3.36M","2.18%"
"Aug 26, 2021","9.693","9.642","9.737","9.591","2.31M","-0.23%"
"Aug 25, 2021","9.715","9.738","9.810","9.675","3.63M","-0.05%"
"Aug 24, 2021","9.720","9.700","9.755","9.663","5.05M","0.58%"
"Aug 23, 2021","9.664","9.449","9.687","9.396","5.28M","3.23%"
"Aug 20, 2021","9.362","9.290","9.376","9.231","5.13M","0.82%"
"Aug 19, 2021","9.286","9.390","9.434","9.242","7.96M","-3.13%"
"Aug 18, 2021","9.586","9.500","9.612","9.482","3.09M","0.73%"
"Aug 17, 2021","9.517","9.450","9.600","9.397","3.26M","-0.01%"
"Aug 16, 2021","9.518","9.542","9.545","9.443","3.81M","-1.42%"
"Aug 13, 2021","9.655","9.780","9.780","9.586","3.83M","-0.91%"
"Aug 12, 2021","9.744","9.710","9.850","9.675","4.30M","0.45%"
