Date,Open,High,Low,Close,Adj Close,Volume
2001-05-24,3.600000,3.620000,3.510000,3.608000,-0.133490,216270100
2001-05-25,3.600000,3.676000,3.580000,3.602000,-0.133268,50448300
2001-05-28,3.560000,3.604000,3.544000,3.580000,-0.132454,26118945
2001-05-29,3.562000,3.626000,3.562000,3.614000,-0.133712,26910070
2001-05-30,3.606000,3.648000,3.602000,3.620000,-0.133934,48229995
2001-05-31,3.620000,3.676000,3.610000,3.670000,-0.135784,24806710
2001-06-01,3.664000,3.696000,3.640000,3.660000,-0.135414,20779305
2001-06-04,3.642000,3.804000,3.642000,3.800000,-0.140594,35163235
2001-06-05,3.802000,3.866000,3.774000,3.822000,-0.141408,35137060
2001-06-06,3.846000,3.870000,3.784000,3.830000,-0.141704,19954860
2001-06-07,3.850000,3.850000,3.790000,3.800000,-0.140594,16581770
2001-06-08,3.800000,3.800000,3.712000,3.720000,-0.137634,17833390
2001-06-11,3.740000,3.766000,3.724000,3.740000,-0.138374,12000295
2001-06-12,3.730000,3.768000,3.728000,3.768000,-0.139410,16000135
2001-06-13,3.762000,3.774000,3.728000,3.760000,-0.139114,13224800
2001-06-14,3.770000,3.778000,3.640000,3.646000,-0.134896,17218495
2001-06-15,3.640000,3.640000,3.590000,3.600000,-0.133194,15346760
2001-06-18,3.580000,3.608000,3.570000,3.596000,-0.133046,14162555
2001-06-19,3.580000,3.620000,3.572000,3.620000,-0.133934,6891670
2001-06-20,3.606000,3.620000,3.590000,3.602000,-0.133268,12209195
2001-06-21,3.612000,3.710000,3.600000,3.708000,-0.137190,12001190
2001-06-22,3.682000,3.748000,3.680000,3.746000,-0.138596,10087045
2001-06-25,3.700000,3.792000,3.700000,3.790000,-0.140224,7951105
2001-06-26,3.750000,3.780000,3.730000,3.758000,-0.139040,13044720
2001-06-27,3.740000,3.760000,3.682000,3.702000,-0.136968,14201340
2001-06-28,3.698000,3.700000,3.620000,3.694000,-0.136672,9833400
2001-06-29,3.700000,3.804000,3.642000,3.770000,-0.139484,26861525
2001-07-02,3.758000,3.840000,3.728000,3.820000,-0.141334,8634625
2001-07-03,3.772000,3.822000,3.772000,3.820000,-0.141334,20450495
2001-07-04,3.820000,3.830000,3.766000,3.796000,-0.140446,4993255
2001-07-05,3.796000,3.810000,3.730000,3.730000,-0.138004,16127145
2001-07-06,3.760000,3.760000,3.700000,3.700000,-0.136894,6726610
2001-07-09,3.700000,3.770000,3.656000,3.770000,-0.139484,5502785
2001-07-10,3.710000,3.796000,3.708000,3.742000,-0.138448,4768835
2001-07-11,3.738000,3.738000,3.666000,3.686000,-0.136376,5675050
2001-07-12,3.702000,3.738000,3.680000,3.700000,-0.136894,6202440
2001-07-13,3.700000,3.700000,3.700000,3.700000,-0.136894,0
2001-07-16,3.618000,3.670000,3.600000,3.620000,-0.133934,9658370
2001-07-17,3.602000,3.640000,3.586000,3.630000,-0.134304,5744585
2001-07-18,3.610000,3.628000,3.600000,3.602000,-0.133268,7877265
2001-07-19,3.600000,3.670000,3.600000,3.610000,-0.133564,3680675
2001-07-20,3.600000,3.626000,3.600000,3.610000,-0.133564,4636230
2001-07-23,3.604000,3.628000,3.600000,3.602000,-0.133268,3213945
2001-07-24,3.602000,3.620000,3.590000,3.612000,-0.133638,2873210
2001-07-25,3.622000,3.622000,3.590000,3.600000,-0.133194,3586280
2001-07-26,3.610000,3.640000,3.600000,3.600000,-0.133194,3205715
2001-07-27,3.602000,3.620000,3.570000,3.580000,-0.132454,4116605
2001-07-30,3.580000,3.650000,3.574000,3.616000,-0.133786,5799250
2001-07-31,3.616000,3.676000,3.600000,3.676000,-0.136006,5622855
2001-08-01,3.610000,3.730000,3.610000,3.700000,-0.136894,4086910
2001-08-02,3.688000,3.804000,3.688000,3.770000,-0.139484,7338940
2001-08-03,3.746000,3.836000,3.746000,3.836000,-0.141926,3878685
2001-08-06,3.782000,3.840000,3.782000,3.838000,-0.142000,3947935
2001-08-07,3.802000,3.848000,3.772000,3.840000,-0.142074,1528660
2001-08-08,3.822000,3.838000,3.780000,3.828000,-0.141630,3387640
2001-08-09,3.806000,3.818000,3.766000,3.790000,-0.140224,4258690
2001-08-10,3.788000,3.840000,3.762000,3.780000,-0.139854,5864990
2001-08-13,3.800000,3.808000,3.762000,3.796000,-0.140446,1815645
2001-08-14,3.796000,3.810000,3.780000,3.802000,-0.140668,5172850
2001-08-15,3.802000,3.802000,3.802000,3.802000,-0.140668,0
2001-08-16,3.802000,3.830000,3.766000,3.830000,-0.141704,6407570
