"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","18.100","19.200","19.400","18.100","1,21M","-6,70%"
"25.06.2019","19.400","19.250","19.450","19.200","2,60M","0,52%"
"24.06.2019","19.300","19.200","19.450","19.150","2,01M","0,00%"
"21.06.2019","19.300","19.100","19.400","19.100","2,32M","0,52%"
"20.06.2019","19.200","18.400","19.200","18.400","4,35M","3,50%"
"19.06.2019","18.550","18.600","18.650","18.200","1,29M","0,54%"
"18.06.2019","18.450","18.500","18.600","18.200","2,69M","-0,81%"
"17.06.2019","18.600","18.600","18.700","18.500","2,33M","0,00%"
"14.06.2019","18.600","18.250","18.750","18.200","3,21M","2,20%"
"13.06.2019","18.200","18.050","18.400","18.050","2,11M","0,28%"
"12.06.2019","18.150","18.150","18.200","18.050","1,46M","0,00%"
"11.06.2019","18.150","18.150","18.200","17.950","1,18M","0,28%"
"10.06.2019","18.100","18.150","18.200","17.700","1,85M","0,84%"
"07.06.2019","17.950","18.000","18.100","17.900","1,57M","0,00%"
"06.06.2019","17.950","17.600","17.950","17.500","1,32M","0,56%"
"05.06.2019","17.850","18.000","18.100","17.850","1,09M","-0,83%"
"04.06.2019","18.000","17.900","18.050","17.600","1,81M","0,00%"
"03.06.2019","18.000","18.150","18.200","17.500","2,06M","-1,10%"
"31.05.2019","18.200","18.350","18.500","18.200","965,85K","-1,09%"
"30.05.2019","18.400","18.300","18.450","18.200","1,91M","0,55%"
"29.05.2019","18.300","18.600","18.600","18.300","916,77K","-1,08%"
"28.05.2019","18.500","18.900","18.900","18.500","1,01M","-1,33%"
"27.05.2019","18.750","18.600","18.750","18.450","952,13K","0,54%"
"24.05.2019","18.650","18.600","19.000","18.550","1,09M","-0,53%"
"23.05.2019","18.750","18.900","19.100","18.700","1,25M","-1,83%"
"22.05.2019","19.100","19.000","19.300","19.000","2,45M","0,53%"
"21.05.2019","19.000","18.900","19.100","18.850","1,83M","1,06%"
"20.05.2019","18.800","18.700","18.950","18.650","1,40M","-0,27%"
"17.05.2019","18.850","18.800","18.900","18.650","991,43K","-0,26%"
"16.05.2019","18.900","18.950","19.050","18.750","1,83M","0,00%"
"15.05.2019","18.900","18.550","18.900","18.500","1,84M","2,16%"
"14.05.2019","18.500","18.300","18.500","18.250","1,40M","0,54%"
"13.05.2019","18.400","18.350","18.750","18.300","1,39M","0,27%"
"10.05.2019","18.350","18.350","18.400","18.200","1,42M","0,55%"
"09.05.2019","18.250","18.150","18.400","18.100","1,83M","0,00%"
"08.05.2019","18.250","18.050","18.300","18.000","1,57M","0,00%"
"07.05.2019","18.250","18.500","18.600","18.250","1,08M","-1,08%"
"06.05.2019","18.450","18.700","18.750","18.000","2,31M","-2,64%"
"03.05.2019","18.950","18.850","18.950","18.600","2,44M","0,00%"
"02.05.2019","18.950","19.150","19.150","18.750","1,10M","-0,52%"
"26.04.2019","19.050","19.050","19.200","18.950","1,44M","0,00%"
"25.04.2019","19.050","19.300","19.300","19.050","916,90K","-1,30%"
"24.04.2019","19.300","19.250","19.350","19.050","1,34M","1,05%"
"23.04.2019","19.100","19.150","19.400","19.050","1,54M","-1,29%"
"22.04.2019","19.350","19.400","19.400","19.000","1,25M","-0,26%"
"19.04.2019","19.400","19.400","19.400","19.150","1,04M","0,52%"
"18.04.2019","19.300","19.450","19.500","19.150","1,29M","-0,77%"
"17.04.2019","19.450","19.200","19.600","19.150","2,07M","1,57%"
"16.04.2019","19.150","19.300","19.400","18.850","2,66M","-1,54%"
"12.04.2019","19.450","19.550","19.600","19.400","1,74M","-1,02%"
"11.04.2019","19.650","19.900","19.900","19.600","900,02K","-1,01%"
"10.04.2019","19.850","19.900","20.000","19.450","2,38M","-0,50%"
"09.04.2019","19.950","19.900","20.150","19.850","2,07M","0,50%"
"08.04.2019","19.850","20.100","20.100","19.600","1,66M","-1,00%"
"05.04.2019","20.050","20.000","20.150","19.900","1,89M","0,25%"
