"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","116.900","116.300","117.000","116.000","515,02K","0,43%"
"25.06.2019","116.400","116.500","117.200","116.300","510,70K","0,00%"
"24.06.2019","116.400","115.000","116.600","115.000","228,39K","1,66%"
"21.06.2019","114.500","116.500","116.800","114.500","594,21K","-1,29%"
"20.06.2019","116.000","116.200","117.100","115.600","317,48K","0,09%"
"19.06.2019","115.900","114.700","115.900","114.500","135,22K","1,67%"
"18.06.2019","114.000","114.700","115.000","113.800","433,86K","-0,44%"
"17.06.2019","114.500","115.900","116.500","113.800","415,39K","-0,87%"
"14.06.2019","115.500","116.000","116.000","114.300","350,18K","0,00%"
"13.06.2019","115.500","115.200","115.900","115.200","267,94K","-0,43%"
"12.06.2019","116.000","117.000","117.500","116.000","258,35K","-0,85%"
"11.06.2019","117.000","117.600","117.800","117.000","308,91K","-0,51%"
"10.06.2019","117.600","117.200","118.700","117.200","955,89K","0,51%"
"07.06.2019","117.000","116.600","117.000","116.100","286,94K","0,95%"
"06.06.2019","115.900","115.900","115.900","114.400","167,50K","0,00%"
"05.06.2019","115.900","115.000","115.900","115.000","244,40K","1,13%"
"04.06.2019","114.600","113.600","115.400","113.600","262,74K","0,09%"
"03.06.2019","114.500","114.000","115.500","113.000","281,51K","-0,09%"
"31.05.2019","114.600","115.800","115.800","114.600","296,61K","-0,35%"
"30.05.2019","115.000","115.200","116.200","115.000","572,81K","-0,17%"
"29.05.2019","115.200","114.900","115.400","114.000","357,95K","1,05%"
"28.05.2019","114.000","116.000","116.000","114.000","503,27K","-0,87%"
"27.05.2019","115.000","114.000","115.900","114.000","166,08K","0,00%"
"24.05.2019","115.000","115.500","116.200","114.300","628,56K","-1,71%"
"23.05.2019","117.000","117.000","117.600","116.200","249,83K","-0,43%"
"22.05.2019","117.500","117.200","118.100","116.000","382,33K","0,00%"
"21.05.2019","117.500","118.700","118.700","116.300","708,62K","0,00%"
"20.05.2019","117.500","117.000","117.500","116.100","406,34K","0,51%"
"17.05.2019","116.900","117.000","118.100","116.100","464,26K","0,00%"
"16.05.2019","116.900","115.300","118.900","115.300","773,01K","1,39%"
"15.05.2019","115.300","113.500","116.200","113.400","456,79K","1,59%"
"14.05.2019","113.500","112.000","113.500","111.900","539,28K","0,53%"
"13.05.2019","112.900","111.900","112.900","111.700","439,20K","0,18%"
"10.05.2019","112.700","112.600","113.000","112.200","289,16K","0,09%"
"09.05.2019","112.600","112.700","112.700","111.600","314,14K","0,00%"
"08.05.2019","112.600","111.500","112.700","111.400","348,50K","0,00%"
"07.05.2019","112.600","112.200","113.300","111.000","421,35K","0,36%"
"06.05.2019","112.200","112.000","112.300","110.200","290,58K","-0,27%"
"03.05.2019","112.500","113.700","113.700","112.100","705,50K","-0,97%"
"02.05.2019","113.600","113.800","113.900","113.000","190,97K","-0,09%"
"26.04.2019","113.700","112.000","113.700","112.000","826,05K","0,09%"
"25.04.2019","113.600","113.800","113.800","112.000","503,49K","-0,18%"
"24.04.2019","113.800","113.000","114.000","112.100","447,82K","0,71%"
"23.04.2019","113.000","111.900","113.000","111.000","534,66K","0,98%"
"22.04.2019","111.900","109.000","111.900","107.000","794,06K","1,63%"
"19.04.2019","110.100","110.000","110.600","108.200","414,05K","1,01%"
"18.04.2019","109.000","109.500","110.000","105.000","891,24K","-0,91%"
"17.04.2019","110.000","111.300","113.000","110.000","960,22K","-2,74%"
"16.04.2019","113.100","109.500","113.100","108.000","1,23M","-0,09%"
"12.04.2019","113.200","115.000","115.000","113.000","551,99K","-1,57%"
"11.04.2019","115.000","111.800","115.000","111.800","350,81K","2,86%"
"10.04.2019","111.800","113.000","114.000","110.900","696,00K","-1,06%"
"09.04.2019","113.000","116.000","116.000","112.800","1,16M","-2,16%"
"08.04.2019","115.500","115.200","115.800","114.800","435,19K","0,35%"
"05.04.2019","115.100","115.300","115.400","114.600","235,79K","0,00%"
"04.04.2019","115.100","115.300","115.800","114.100","383,73K","0,17%"
"03.04.2019","114.900","115.500","116.000","114.500","464,27K","-1,20%"
"02.04.2019","116.300","116.900","117.200","116.200","1,04M","-0,17%"
"01.04.2019","116.500","116.400","116.500","115.800","828,43K","0,52%"
"29.03.2019","115.900","115.900","116.800","115.900","1,10M","0,00%"
"28.03.2019","115.900","113.900","115.900","113.900","561,88K","1,76%"
"27.03.2019","113.900","115.000","115.900","113.900","772,08K","0,18%"
"26.03.2019","113.700","115.500","116.800","113.000","846,57K","-1,30%"
"25.03.2019","115.200","117.000","117.300","115.000","886,80K","-2,87%"
"22.03.2019","118.600","117.000","118.900","117.000","1,11M","1,37%"
"21.03.2019","117.000","120.000","120.300","117.000","1,21M","-2,66%"
"20.03.2019","120.200","121.000","121.000","119.100","780,19K","-0,66%"
"19.03.2019","121.000","121.300","122.400","120.700","1,19M","-0,25%"
"18.03.2019","121.300","120.000","121.300","119.100","1,11M","2,19%"
"15.03.2019","118.700","119.300","119.300","117.900","1,70M","-0,08%"
"14.03.2019","118.800","116.500","118.800","115.600","1,16M","1,11%"
"13.03.2019","117.500","118.500","120.000","117.000","1,26M","-0,93%"
"12.03.2019","118.600","119.000","119.400","118.200","902,20K","0,25%"
"11.03.2019","118.300","117.000","118.300","117.000","429,39K","0,17%"
"08.03.2019","118.100","119.000","119.600","118.100","845,28K","-0,92%"
"07.03.2019","119.200","117.900","122.500","117.800","1,80M","1,27%"
"06.03.2019","117.700","117.700","117.700","117.100","377,28K","0,34%"
"05.03.2019","117.300","117.400","117.800","116.900","706,06K","-0,09%"
"04.03.2019","117.400","116.700","117.600","115.800","660,55K","2,00%"
"01.03.2019","115.100","114.000","117.000","114.000","739,26K","0,96%"
"28.02.2019","114.000","117.000","117.400","113.100","1,13M","-2,90%"
"27.02.2019","117.400","115.500","117.900","115.500","824,62K","1,65%"
"26.02.2019","115.500","116.000","116.600","113.500","792,71K","-0,69%"
"25.02.2019","116.300","117.000","117.900","115.900","624,89K","-0,60%"
"22.02.2019","117.000","118.000","118.400","116.600","720,97K","-1,18%"
"21.02.2019","118.400","116.500","118.400","116.300","1,16M","1,63%"
"20.02.2019","116.500","115.200","116.900","115.200","678,80K","0,43%"
"19.02.2019","116.000","113.500","116.600","113.500","1,00M","2,02%"
"18.02.2019","113.700","112.500","113.700","111.700","829,15K","1,52%"
"15.02.2019","112.000","113.000","113.000","112.000","670,90K","-0,80%"
"14.02.2019","112.900","109.000","113.000","109.000","995,31K","3,58%"
"13.02.2019","109.000","108.000","109.300","107.200","822,04K","-0,09%"
"12.02.2019","109.100","104.900","109.100","104.000","769,11K","4,90%"
"11.02.2019","104.000","102.000","104.000","101.200","527,31K","5,26%"
"01.02.2019","98.800","103.800","103.800","98.800","2,10M","-4,91%"
"31.01.2019","103.900","104.000","104.500","102.500","651,02K","0,00%"
"30.01.2019","103.900","103.900","104.000","102.900","370,04K","0,00%"
"29.01.2019","103.900","104.900","104.900","103.000","225,31K","0,19%"
"28.01.2019","103.700","102.900","103.700","102.600","381,26K","0,78%"
"25.01.2019","102.900","102.800","103.500","102.200","306,67K","0,10%"
"24.01.2019","102.800","102.500","102.900","102.200","184,72K","0,19%"
"23.01.2019","102.600","102.000","103.700","102.000","299,57K","0,20%"
"22.01.2019","102.400","102.400","102.400","101.500","258,07K","0,00%"
"21.01.2019","102.400","102.200","102.400","101.300","404,25K","0,20%"
"18.01.2019","102.200","101.500","102.200","100.900","498,29K","0,20%"
"17.01.2019","102.000","102.000","102.200","100.700","325,13K","0,00%"
"16.01.2019","102.000","101.500","102.100","100.800","518,16K","0,49%"
"15.01.2019","101.500","101.400","101.500","100.400","711,45K","0,10%"
"14.01.2019","101.400","101.300","101.900","100.200","562,93K","0,00%"
"11.01.2019","101.400","101.000","101.400","100.100","569,03K","0,00%"
"10.01.2019","101.400","101.200","101.500","100.000","551,98K","-0,10%"
"09.01.2019","101.500","101.000","101.900","99.000","659,21K","0,50%"
"08.01.2019","101.000","102.000","102.000","99.700","494,30K","0,00%"
"07.01.2019","101.000","100.900","103.000","99.900","589,15K","0,40%"
