"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2021","16.30","16.50","16.50","16.20","4.15K","0.62%"
"May 11, 2021","16.20","16.10","16.22","16.10","1.10K","1.19%"
"May 07, 2021","16.01","16.01","16.01","16.01","0.90K","0.00%"
"May 06, 2021","16.01","16.01","16.01","16.01","0.10K","0.06%"
"May 05, 2021","16.00","15.99","16.00","15.99","6.61K","0.00%"
"Apr 30, 2021","16.00","16.00","16.00","16.00","0.31K","3.09%"
"Apr 28, 2021","15.52","15.99","15.99","15.52","0.52K","-3.00%"
"Apr 20, 2021","16.00","16.00","16.00","16.00","0.37K","0.00%"
"Apr 19, 2021","16.00","16.00","16.00","16.00","0.03K","0.95%"
"Apr 14, 2021","15.85","15.85","15.85","15.85","0.40K","0.00%"
"Apr 12, 2021","15.85","15.85","15.85","15.85","0.10K","-0.94%"
"Apr 06, 2021","16.00","16.00","16.00","16.00","2.34K","0.00%"
"Apr 01, 2021","16.00","16.00","16.00","16.00","0.30K","-5.83%"
"Mar 26, 2021","16.99","16.99","16.99","16.99","0.09K","6.19%"
"Mar 23, 2021","16.00","16.00","16.00","16.00","1.78K","0.00%"
"Mar 19, 2021","16.00","16.00","16.00","16.00","1.00K","0.00%"
"Mar 18, 2021","16.00","16.00","16.00","16.00","0.89K","0.00%"
"Mar 16, 2021","16.00","15.58","16.00","15.58","1.04K","0.00%"
"Mar 15, 2021","16.00","16.00","16.00","16.00","0.15K","-0.06%"
"Mar 08, 2021","16.01","16.01","16.01","16.01","0.02K","-2.97%"
"Mar 03, 2021","16.50","16.50","16.50","16.50","1.30K","1.41%"
"Mar 02, 2021","16.27","15.81","16.27","15.80","1.79K","2.97%"
"Feb 19, 2021","15.80","15.80","15.80","15.80","0.60K","0.00%"
"Feb 16, 2021","15.80","15.80","15.80","15.80","0.12K","-1.86%"
"Feb 05, 2021","16.10","16.10","16.10","16.10","0.24K","0.00%"
"Feb 04, 2021","16.10","16.10","16.10","16.10","0.36K","0.00%"
"Feb 03, 2021","16.10","16.10","16.10","16.10","0.45K","0.56%"
"Feb 02, 2021","16.01","16.50","16.50","16.01","0.40K","-2.97%"
"Feb 01, 2021","16.50","16.50","16.50","16.50","0.06K","0.00%"
"Jan 22, 2021","16.50","16.50","16.50","16.50","0.17K","-0.60%"
