"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","26.400","26.000","26.650","26.000","366,13K","1,73%"
"25.06.2019","25.950","25.950","26.150","25.950","179,94K","-0,76%"
"24.06.2019","26.150","26.100","26.250","26.000","130,68K","0,00%"
"21.06.2019","26.150","26.200","26.300","26.150","107,68K","0,38%"
"20.06.2019","26.050","26.000","26.150","25.900","318,03K","0,58%"
"19.06.2019","25.900","26.100","26.100","25.900","184,07K","0,00%"
"18.06.2019","25.900","25.950","26.000","25.850","246,21K","-0,19%"
"17.06.2019","25.950","25.950","26.000","25.500","462,77K","0,00%"
"14.06.2019","25.950","26.000","26.150","25.950","175,61K","-0,19%"
"13.06.2019","26.000","25.900","26.200","25.700","303,27K","0,00%"
"12.06.2019","26.000","26.150","26.200","25.950","143,94K","-0,57%"
"11.06.2019","26.150","26.150","26.400","26.000","132,46K","0,00%"
"10.06.2019","26.150","26.650","26.650","26.100","231,79K","-1,13%"
"07.06.2019","26.450","26.300","26.450","26.050","172,47K","0,57%"
"06.06.2019","26.300","25.900","26.300","25.750","146,33K","1,35%"
"05.06.2019","25.950","26.200","26.200","25.950","188,15K","0,39%"
"04.06.2019","25.850","25.800","26.150","25.700","221,03K","0,19%"
"03.06.2019","25.800","26.000","26.400","25.700","291,06K","-1,15%"
"31.05.2019","26.100","26.600","26.700","26.100","329,15K","-2,25%"
"30.05.2019","26.700","26.500","26.900","26.500","323,62K","-0,37%"
"29.05.2019","26.800","27.300","27.300","26.800","262,68K","-1,11%"
"28.05.2019","27.100","27.250","27.250","26.900","180,45K","0,37%"
"27.05.2019","27.000","27.300","27.300","26.900","185,55K","-0,92%"
"24.05.2019","27.250","26.950","27.550","26.900","993,35K","1,11%"
"23.05.2019","26.950","26.700","27.000","26.700","357,26K","0,00%"
"22.05.2019","26.950","26.900","27.200","26.750","451,95K","0,19%"
"21.05.2019","26.900","27.300","27.300","26.900","432,28K","-1,10%"
"20.05.2019","27.200","27.100","27.300","26.950","479,31K","0,74%"
"17.05.2019","27.000","26.200","27.000","26.000","698,20K","3,85%"
"16.05.2019","26.000","26.450","26.450","26.000","186,60K","-1,14%"
"15.05.2019","26.300","26.400","26.550","26.300","229,12K","-0,19%"
"14.05.2019","26.350","26.000","26.450","26.000","276,05K","0,38%"
"13.05.2019","26.250","26.050","26.450","26.000","197,75K","0,77%"
"10.05.2019","26.050","25.900","26.200","25.900","147,76K","0,19%"
"09.05.2019","26.000","26.100","26.300","25.900","212,91K","-0,57%"
"08.05.2019","26.150","25.700","26.250","25.550","321,11K","1,16%"
"07.05.2019","25.850","26.200","26.250","25.700","78,58K","0,58%"
"06.05.2019","25.700","26.000","26.000","25.500","130,95K","-1,91%"
"03.05.2019","26.200","26.000","26.200","25.900","256,85K","0,96%"
"02.05.2019","25.950","25.950","26.050","25.900","163,01K","0,19%"
"26.04.2019","25.900","25.800","25.950","25.700","93,96K","0,39%"
"25.04.2019","25.800","25.750","25.900","25.600","176,57K","0,39%"
"24.04.2019","25.700","25.450","25.750","25.450","187,40K","0,98%"
"23.04.2019","25.450","25.900","25.900","25.400","146,00K","0,00%"
"22.04.2019","25.450","25.900","25.950","25.000","225,31K","-1,74%"
"19.04.2019","25.900","25.850","26.000","25.850","124,18K","0,19%"
"18.04.2019","25.850","25.850","26.100","25.850","340,67K","-0,39%"
"17.04.2019","25.950","26.000","26.250","25.950","297,83K","-0,19%"
"16.04.2019","26.000","26.000","26.200","25.700","288,88K","0,00%"
"12.04.2019","26.000","26.000","26.350","26.000","265,81K","-0,95%"
"11.04.2019","26.250","26.400","26.400","26.200","156,83K","0,00%"
