"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","34.350","34.050","34.500","34.050","918,02K","0,15%"
"25.06.2019","34.300","34.500","34.700","34.250","863,69K","-0,58%"
"24.06.2019","34.500","34.500","35.000","34.400","861,36K","0,58%"
"21.06.2019","34.300","34.900","34.900","34.300","1,96M","-1,72%"
"20.06.2019","34.900","34.000","34.900","34.000","914,55K","2,65%"
"19.06.2019","34.000","33.900","34.000","33.700","655,52K","1,49%"
"18.06.2019","33.500","34.000","34.100","33.350","1,49M","-1,47%"
"17.06.2019","34.000","34.900","34.900","34.000","1,08M","-2,58%"
"14.06.2019","34.900","34.600","34.900","34.600","593,52K","0,58%"
"13.06.2019","34.700","34.700","34.900","34.600","598,25K","-0,72%"
"12.06.2019","34.950","35.150","35.300","34.950","900,49K","-0,71%"
"11.06.2019","35.200","35.150","35.650","35.050","1,33M","0,43%"
"10.06.2019","35.050","34.800","35.200","34.800","1,74M","0,86%"
"07.06.2019","34.750","34.600","34.800","34.300","844,72K","0,87%"
"06.06.2019","34.450","34.350","34.550","33.900","896,23K","0,29%"
"05.06.2019","34.350","34.500","34.650","34.150","676,22K","0,15%"
"04.06.2019","34.300","34.000","34.400","33.800","970,28K","1,48%"
"03.06.2019","33.800","34.250","34.650","33.800","1,80M","-2,87%"
"31.05.2019","34.800","35.000","35.100","34.500","2,07M","-0,57%"
"30.05.2019","35.000","34.950","35.300","34.500","1,09M","0,57%"
"29.05.2019","34.800","34.400","35.100","34.200","2,33M","0,58%"
"28.05.2019","34.600","35.300","35.350","34.500","1,92M","-1,84%"
"27.05.2019","35.250","34.850","35.250","34.850","1,05M","0,71%"
"24.05.2019","35.000","35.250","35.700","34.800","2,77M","-0,71%"
"23.05.2019","35.250","35.500","35.850","35.200","1,69M","-1,54%"
"22.05.2019","35.800","36.200","36.350","35.750","1,13M","-0,56%"
"21.05.2019","36.000","36.300","36.300","35.900","1,86M","-0,41%"
"20.05.2019","36.150","36.000","36.500","35.600","1,34M","0,42%"
"17.05.2019","36.000","36.000","36.550","36.000","3,88M","1,27%"
"16.05.2019","35.550","35.647","36.230","35.550","4,83M","0,00%"
"15.05.2019","35.550","35.259","35.841","35.113","2,56M","1,67%"
"14.05.2019","34.967","34.676","35.259","34.676","1,45M","0,00%"
"13.05.2019","34.967","34.239","35.162","34.239","1,84M","1,84%"
"10.05.2019","34.336","34.287","34.676","33.802","1,57M","0,71%"
"09.05.2019","34.093","34.190","34.384","33.899","913,06K","0,00%"
"08.05.2019","34.093","33.704","34.239","33.607","1,48M","0,00%"
"07.05.2019","34.093","34.384","34.773","33.996","1,14M","-0,28%"
"06.05.2019","34.190","34.093","34.773","33.996","1,80M","-5,29%"
"03.05.2019","36.100","36.450","36.900","35.900","5,46M","-0,96%"
"02.05.2019","36.450","36.500","36.500","35.900","2,63M","1,25%"
"26.04.2019","36.000","35.000","36.000","35.000","3,07M","2,42%"
"25.04.2019","35.150","35.600","35.600","34.900","1,58M","-0,71%"
"24.04.2019","35.400","35.000","35.400","34.900","1,58M","2,02%"
"23.04.2019","34.700","33.850","35.150","33.800","2,13M","2,51%"
"22.04.2019","33.850","33.600","34.000","33.600","966,92K","-0,15%"
"19.04.2019","33.900","34.150","34.350","33.850","683,53K","0,00%"
"18.04.2019","33.900","33.600","34.350","33.400","1,83M","0,89%"
"17.04.2019","33.600","34.000","34.250","33.500","1,85M","-1,18%"
"16.04.2019","34.000","34.000","34.300","33.400","2,63M","-2,72%"
"12.04.2019","34.950","34.300","35.050","34.300","1,03M","0,43%"
"11.04.2019","34.800","35.300","35.350","34.650","650,93K","-0,57%"
"10.04.2019","35.000","34.500","35.200","34.150","2,63M","1,16%"
"09.04.2019","34.600","36.200","36.250","34.400","3,13M","-3,35%"
"08.04.2019","35.800","35.800","36.200","35.400","1,17M","0,00%"
"05.04.2019","35.800","35.850","36.250","35.650","1,47M","0,85%"
"04.04.2019","35.500","35.500","36.150","35.300","1,86M","0,00%"
"03.04.2019","35.500","35.700","35.900","35.150","2,60M","-1,39%"
"02.04.2019","36.000","36.400","37.200","35.900","3,25M","-0,28%"
"01.04.2019","36.100","34.800","36.150","34.700","3,53M","4,34%"
"29.03.2019","34.600","34.050","35.250","33.800","4,54M","2,37%"
"28.03.2019","33.800","33.650","34.250","33.500","1,71M","-0,44%"
"27.03.2019","33.950","33.200","34.400","32.700","2,34M","3,19%"
"26.03.2019","32.900","33.900","33.900","31.950","3,10M","-1,35%"
"25.03.2019","33.350","34.000","34.300","32.550","5,66M","-4,71%"
"22.03.2019","35.000","35.300","35.500","34.800","2,96M","1,45%"
"21.03.2019","34.500","36.150","36.650","34.500","3,61M","-4,56%"
"20.03.2019","36.150","37.100","37.200","35.700","4,86M","-4,11%"
"19.03.2019","37.700","38.000","38.150","37.000","1,90M","-0,79%"
"18.03.2019","38.000","38.000","38.500","37.600","1,51M","1,33%"
"15.03.2019","37.500","37.900","38.000","37.050","3,00M","-1,32%"
"14.03.2019","38.000","37.800","39.950","37.700","4,40M","0,53%"
"13.03.2019","37.800","36.850","37.900","36.800","4,92M","3,00%"
"12.03.2019","36.700","35.600","36.800","35.600","3,75M","3,38%"
"11.03.2019","35.500","34.500","35.500","34.250","2,25M","2,31%"
"08.03.2019","34.700","34.550","35.200","34.500","1,26M","-0,86%"
"07.03.2019","35.000","34.400","35.450","34.400","2,79M","1,45%"
"06.03.2019","34.500","34.200","34.500","33.800","1,29M","0,88%"
"05.03.2019","34.200","34.000","34.600","33.900","2,07M","-0,44%"
"04.03.2019","34.350","34.000","34.700","34.000","1,64M","1,03%"
"01.03.2019","34.000","33.450","34.000","33.200","1,24M","3,03%"
"28.02.2019","33.000","34.050","34.400","33.000","4,83M","-4,35%"
"27.02.2019","34.500","34.900","35.200","34.450","1,42M","0,00%"
"26.02.2019","34.500","33.800","34.800","33.300","2,18M","1,77%"
"25.02.2019","33.900","35.600","35.800","33.200","3,41M","-3,14%"
"22.02.2019","35.000","34.300","35.950","34.000","4,17M","2,94%"
"21.02.2019","34.000","32.000","34.000","31.950","3,82M","5,92%"
"20.02.2019","32.100","31.600","32.350","31.600","1,96M","1,58%"
"19.02.2019","31.600","31.650","32.300","31.350","3,16M","-0,16%"
"18.02.2019","31.650","30.900","31.700","30.900","1,36M","2,26%"
"15.02.2019","30.950","31.150","31.500","30.850","1,85M","-1,75%"
"14.02.2019","31.500","30.700","31.500","30.450","2,56M","3,62%"
