"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","85.500","83.800","85.500","83.800","273,64K","1,79%"
"25.06.2019","84.000","84.000","84.700","84.000","246,50K","-0,12%"
"24.06.2019","84.100","84.000","85.500","78.200","292,00K","0,12%"
"21.06.2019","84.000","82.500","84.000","82.400","739,81K","1,82%"
"20.06.2019","82.500","82.500","84.500","82.300","313,42K","-0,36%"
"19.06.2019","82.800","82.000","83.400","82.000","267,32K","0,98%"
"18.06.2019","82.000","83.400","83.700","81.600","471,77K","-1,80%"
"17.06.2019","83.500","83.300","84.800","83.000","334,14K","-0,83%"
"14.06.2019","84.200","85.000","85.000","83.600","248,27K","-0,36%"
"13.06.2019","84.500","85.000","86.200","84.300","111,48K","-0,59%"
"12.06.2019","85.000","86.500","86.500","85.000","209,69K","-1,16%"
"11.06.2019","86.000","86.700","86.800","86.000","226,86K","-0,81%"
"10.06.2019","86.700","87.000","87.000","85.600","435,32K","0,81%"
"07.06.2019","86.000","85.500","86.900","85.000","293,02K","0,94%"
"06.06.2019","85.200","84.600","85.500","84.600","254,61K","0,24%"
"05.06.2019","85.000","85.900","85.900","85.000","214,36K","0,00%"
"04.06.2019","85.000","85.000","85.600","83.500","326,58K","0,00%"
"03.06.2019","85.000","85.800","86.400","85.000","381,73K","-0,93%"
"31.05.2019","85.800","85.600","86.800","85.600","463,44K","0,35%"
"30.05.2019","85.500","87.300","87.800","85.500","309,19K","-2,06%"
"29.05.2019","87.300","86.600","87.700","86.500","313,82K","0,34%"
"28.05.2019","87.000","88.000","88.500","86.500","642,34K","-1,58%"
"27.05.2019","88.400","87.100","88.800","87.100","353,84K","1,38%"
"24.05.2019","87.200","90.000","90.500","87.200","687,44K","-3,11%"
"23.05.2019","90.000","89.800","90.800","89.000","254,80K","0,00%"
"22.05.2019","90.000","91.300","91.600","89.800","436,56K","-1,42%"
"21.05.2019","91.300","88.000","91.600","88.000","976,35K","3,75%"
"20.05.2019","88.000","86.600","88.200","86.500","396,98K","1,73%"
"17.05.2019","86.500","86.200","87.800","86.200","419,26K","-0,57%"
"16.05.2019","87.000","87.800","88.300","87.000","359,32K","-0,91%"
"15.05.2019","87.800","86.500","88.500","86.500","202,52K","1,50%"
"14.05.2019","86.500","84.100","87.800","84.100","327,80K","-0,23%"
"13.05.2019","86.700","87.500","87.900","86.700","291,94K","-0,91%"
"10.05.2019","87.500","87.100","88.300","87.100","189,07K","-0,23%"
"09.05.2019","87.700","87.800","88.200","87.500","221,50K","-0,11%"
"08.05.2019","87.800","87.000","88.500","87.000","509,85K","-0,11%"
"07.05.2019","87.900","87.000","88.700","87.000","337,42K","1,03%"
"06.05.2019","87.000","88.400","88.400","86.500","90,18K","-1,81%"
"03.05.2019","88.600","88.700","90.400","87.300","868,12K","0,11%"
"02.05.2019","88.500","87.000","88.500","86.500","678,66K","1,84%"
"26.04.2019","86.900","87.000","87.400","86.400","284,15K","-0,57%"
"25.04.2019","87.400","88.000","88.000","87.100","271,41K","-0,68%"
"24.04.2019","88.000","86.600","88.100","86.600","573,51K","0,11%"
"23.04.2019","87.900","87.100","88.000","87.100","338,52K","0,00%"
"22.04.2019","87.900","87.600","88.000","87.500","292,24K","0,34%"
"19.04.2019","87.600","86.000","88.000","86.000","57,48K","1,86%"
"18.04.2019","86.000","86.100","87.900","86.000","407,72K","-2,27%"
"17.04.2019","88.000","87.800","88.100","87.000","730,31K","0,23%"
"16.04.2019","87.800","86.000","88.100","85.400","290,80K","0,00%"
"12.04.2019","87.800","87.800","88.100","87.000","95,63K","0,11%"
"11.04.2019","87.700","86.700","88.000","86.700","188,22K","1,15%"
"10.04.2019","86.700","85.200","87.000","85.200","292,05K","-0,91%"
"09.04.2019","87.500","88.700","88.700","87.000","280,38K","-0,91%"
"08.04.2019","88.300","88.000","88.500","85.800","582,44K","0,00%"
"05.04.2019","88.300","87.800","88.800","87.800","231,11K","0,57%"
"04.04.2019","87.800","87.100","88.100","87.100","336,28K","0,11%"
"03.04.2019","87.700","88.100","88.100","87.000","303,68K","-0,45%"
"02.04.2019","88.100","88.300","88.600","86.300","393,20K","0,11%"
"01.04.2019","88.000","85.600","88.000","85.200","515,71K","4,39%"
"29.03.2019","84.300","85.000","86.900","84.300","756,01K","-0,82%"
"28.03.2019","85.000","85.000","85.000","84.200","395,73K","0,00%"
"27.03.2019","85.000","83.100","85.200","83.100","455,91K","2,29%"
"26.03.2019","83.100","82.200","84.000","82.200","488,32K","1,09%"
"25.03.2019","82.200","83.000","83.700","82.100","488,15K","-2,72%"
"22.03.2019","84.500","84.900","85.300","84.500","759,19K","-0,59%"
"21.03.2019","85.000","85.100","85.400","84.300","665,06K","0,00%"
"20.03.2019","85.000","85.200","86.200","84.000","591,56K","-2,30%"
"19.03.2019","87.000","87.300","87.300","86.000","442,46K","0,23%"
"18.03.2019","86.800","86.500","87.600","84.800","766,25K","0,35%"
"15.03.2019","86.500","88.600","89.000","85.300","1,37M","-2,37%"
"14.03.2019","88.600","89.000","89.300","88.600","201,76K","-0,45%"
"13.03.2019","89.000","88.500","89.500","88.500","1,01M","0,56%"
