"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","72.800","72.500","73.200","72.500","243,34K","0,14%"
"25.06.2019","72.700","73.700","73.800","72.600","357,00K","-1,22%"
"24.06.2019","73.600","74.000","74.500","73.600","259,11K","-0,81%"
"21.06.2019","74.200","74.200","75.000","73.900","334,20K","0,68%"
"20.06.2019","73.700","72.000","74.100","72.000","594,66K","2,65%"
"19.06.2019","71.800","72.000","72.500","71.600","258,36K","0,42%"
"18.06.2019","71.500","72.200","73.000","71.000","461,99K","-0,97%"
"17.06.2019","72.200","74.200","74.500","72.200","476,78K","-2,70%"
"14.06.2019","74.200","74.700","75.600","74.100","303,50K","-0,67%"
"13.06.2019","74.700","76.200","76.300","74.700","529,70K","-2,61%"
"12.06.2019","76.700","78.000","78.500","76.700","847,94K","-2,79%"
"11.06.2019","78.900","78.800","79.300","78.300","432,40K","0,13%"
"10.06.2019","78.800","79.400","79.600","78.600","350,19K","0,00%"
"07.06.2019","78.800","77.400","78.800","77.100","347,69K","2,34%"
"06.06.2019","77.000","77.700","77.700","76.200","302,82K","0,00%"
"05.06.2019","77.000","77.500","78.400","77.000","500,76K","1,75%"
"04.06.2019","75.675","75.600","76.725","75.600","648,07K","0,10%"
"03.06.2019","75.600","76.950","77.250","75.375","802,77K","-2,23%"
"31.05.2019","77.325","79.500","79.650","77.325","1,05M","-2,92%"
"30.05.2019","79.650","80.025","80.625","79.650","439,48K","-0,47%"
"29.05.2019","80.025","81.450","81.450","79.500","521,89K","-1,48%"
"28.05.2019","81.225","79.875","81.675","79.875","573,05K","2,17%"
"27.05.2019","79.500","79.875","80.925","79.500","683,12K","-1,40%"
"24.05.2019","80.625","81.450","82.725","80.625","781,59K","-1,83%"
"23.05.2019","82.125","80.625","82.125","79.725","894,03K","1,96%"
"22.05.2019","80.550","79.800","81.750","79.800","847,80K","0,94%"
"21.05.2019","79.800","81.000","81.075","79.500","600,63K","-1,30%"
"20.05.2019","80.850","77.032","80.850","76.583","1,68M","5,37%"
"17.05.2019","76.733","77.107","77.107","76.583","327,45K","-0,39%"
"16.05.2019","77.032","77.182","77.556","77.032","482,35K","0,39%"
"15.05.2019","76.733","75.610","76.957","75.535","1,40M","1,59%"
"14.05.2019","75.535","75.535","75.984","75.235","332,52K","0,10%"
"13.05.2019","75.460","75.235","75.460","75.086","212,47K","0,30%"
"10.05.2019","75.235","75.235","75.610","74.562","244,03K","0,70%"
"09.05.2019","74.711","75.310","75.834","74.487","474,57K","-1,19%"
"08.05.2019","75.610","75.011","76.059","75.011","267,48K","-0,59%"
"07.05.2019","76.059","76.358","76.433","75.535","225,37K","-0,29%"
"06.05.2019","76.284","75.834","76.358","74.861","576,89K","-0,78%"
"03.05.2019","76.882","77.107","78.005","76.808","492,32K","-0,29%"
"02.05.2019","77.107","75.086","77.107","75.011","813,44K","2,90%"
"26.04.2019","74.936","74.337","75.011","74.112","259,33K","0,81%"
"25.04.2019","74.337","74.711","74.861","74.187","93,89K","-0,70%"
"24.04.2019","74.861","75.011","75.011","74.562","165,81K","0,20%"
"23.04.2019","74.711","73.738","74.861","73.738","423,67K","1,32%"
"22.04.2019","73.738","73.364","73.738","72.690","507,21K","0,82%"
"19.04.2019","73.139","72.840","73.738","72.840","189,76K","0,41%"
"18.04.2019","72.840","74.262","74.262","72.840","260,60K","-1,91%"
"17.04.2019","74.262","73.963","75.011","73.888","325,33K","0,51%"
"16.04.2019","73.888","74.262","74.412","73.738","348,77K","-0,90%"
"12.04.2019","74.562","74.412","74.861","74.412","147,73K","-0,60%"
"11.04.2019","75.011","75.535","75.535","74.786","69,05K","0,30%"
"10.04.2019","74.786","75.610","75.909","74.711","340,07K","-1,67%"
"09.04.2019","76.059","76.284","77.631","76.059","840,76K","0,30%"
"08.04.2019","75.834","75.610","75.909","75.011","305,21K","0,80%"
"05.04.2019","75.235","76.284","76.284","75.235","337,97K","-0,50%"
"04.04.2019","75.610","74.337","75.610","73.738","677,97K","2,02%"
"03.04.2019","74.112","74.861","74.861","74.038","215,37K","-0,70%"
"02.04.2019","74.636","75.535","75.535","74.262","153,11K","-0,60%"
"01.04.2019","75.086","74.487","75.235","74.262","264,88K","0,80%"
"29.03.2019","74.487","74.562","75.011","74.038","230,15K","-0,10%"
"28.03.2019","74.562","74.187","74.786","74.187","126,48K","-0,30%"
"27.03.2019","74.786","74.711","75.235","74.487","171,17K","0,20%"
"26.03.2019","74.636","74.636","75.535","74.187","203,21K","0,00%"
"25.03.2019","74.636","74.861","75.610","74.112","351,36K","-2,45%"
"22.03.2019","76.508","75.235","76.733","74.262","627,41K","1,69%"
"21.03.2019","75.235","75.984","76.808","75.235","374,68K","-0,99%"
"20.03.2019","75.984","76.583","77.107","75.610","333,59K","-0,78%"
"19.03.2019","76.583","78.604","78.604","76.358","366,47K","-1,64%"
"18.03.2019","77.856","77.856","78.005","77.182","275,61K","0,00%"
"15.03.2019","77.856","78.005","78.529","77.182","424,00K","-0,19%"
"14.03.2019","78.005","76.733","78.005","76.508","553,17K","2,16%"
"13.03.2019","76.358","74.786","76.358","74.786","768,32K","2,10%"
"12.03.2019","74.786","75.235","75.759","74.562","418,89K","0,40%"
"11.03.2019","74.487","74.112","74.487","73.813","236,12K","0,71%"
"08.03.2019","73.963","74.112","74.487","73.813","391,41K","-1,00%"
"07.03.2019","74.711","74.786","75.235","74.487","298,75K","-0,10%"
"06.03.2019","74.786","74.412","75.535","74.412","264,71K","-0,20%"
"05.03.2019","74.936","75.460","75.759","74.487","429,99K","-0,79%"
"04.03.2019","75.535","73.963","75.759","73.963","839,76K","2,44%"
"01.03.2019","73.738","72.166","73.738","72.166","313,48K","2,18%"
"28.02.2019","72.166","73.738","73.738","72.166","633,05K","-2,23%"
"27.02.2019","73.813","73.588","74.412","73.214","347,80K","0,41%"
"26.02.2019","73.514","75.235","75.235","73.139","453,17K","-1,80%"
"25.02.2019","74.861","74.487","75.984","74.487","530,57K","0,91%"
"22.02.2019","74.187","73.439","74.636","73.439","445,21K","0,10%"
"21.02.2019","74.112","74.337","74.487","73.514","387,83K","0,10%"
"20.02.2019","74.038","73.514","74.187","73.289","451,61K","1,02%"
"19.02.2019","73.289","72.840","74.786","72.840","931,47K","0,62%"
"18.02.2019","72.840","72.840","72.840","71.867","357,75K","0,62%"
"15.02.2019","72.391","72.840","72.840","72.391","374,31K","-0,51%"
"14.02.2019","72.765","73.139","73.663","72.690","531,48K","-0,41%"
"13.02.2019","73.064","72.466","73.738","71.942","506,28K","0,83%"
"12.02.2019","72.466","72.990","72.990","71.867","408,47K","-0,72%"
"11.02.2019","72.990","71.642","72.990","71.567","459,40K","3,07%"
"01.02.2019","70.819","71.492","71.492","70.369","297,61K","-0,42%"
"31.01.2019","71.118","70.369","71.492","70.369","435,93K","1,28%"
"30.01.2019","70.220","70.369","70.519","70.070","177,53K","-0,21%"
"29.01.2019","70.369","70.819","70.819","69.995","123,16K","-0,21%"
"28.01.2019","70.519","69.621","70.669","69.246","449,36K","2,39%"
"25.01.2019","68.872","67.899","69.172","67.899","273,36K","1,43%"
"24.01.2019","67.899","67.749","68.273","67.749","93,69K","0,22%"
"23.01.2019","67.749","67.600","68.124","67.600","102,44K","-0,11%"
"22.01.2019","67.824","68.648","68.722","67.824","213,52K","-1,20%"
"21.01.2019","68.648","66.926","68.797","66.926","217,01K","2,80%"
"18.01.2019","66.776","67.749","67.749","66.776","168,64K","-0,89%"
"17.01.2019","67.375","68.273","68.573","67.375","371,80K","-1,85%"
"16.01.2019","68.648","69.172","69.172","68.423","123,19K","-0,22%"
"15.01.2019","68.797","68.198","68.872","68.198","125,41K","0,00%"
"14.01.2019","68.797","69.172","69.246","68.498","202,36K","-0,65%"
"11.01.2019","69.246","69.246","69.321","68.797","317,11K","0,22%"
"10.01.2019","69.097","68.648","69.396","68.198","204,60K","0,87%"
"09.01.2019","68.498","68.648","68.648","67.749","221,45K","0,55%"
"08.01.2019","68.124","68.124","68.423","67.375","176,52K","-0,44%"
"07.01.2019","68.423","68.498","68.872","67.824","286,63K","1,56%"
"04.01.2019","67.375","65.504","67.375","64.680","323,84K","1,12%"
"03.01.2019","66.626","68.872","69.396","66.477","530,81K","-3,26%"
"02.01.2019","68.872","69.770","70.220","68.872","189,41K","-1,29%"
"28.12.2018","69.770","70.894","70.894","69.770","275,37K","-0,85%"
"27.12.2018","70.369","70.889","70.889","70.147","194,76K","1,39%"
"26.12.2018","69.404","69.553","70.147","69.330","230,75K","-0,21%"
"25.12.2018","69.553","69.330","70.072","69.033","409,81K","-1,58%"
"24.12.2018","70.666","70.518","71.334","70.518","152,40K","0,21%"
"21.12.2018","70.518","69.404","70.666","69.404","292,84K","0,96%"
"20.12.2018","69.850","69.924","70.889","69.701","326,65K","-0,11%"
"19.12.2018","69.924","70.889","71.112","69.924","288,35K","-1,67%"
"18.12.2018","71.112","71.260","72.374","70.147","749,56K","-3,72%"
"17.12.2018","73.858","72.448","73.858","71.557","568,41K","1,43%"
"14.12.2018","72.819","73.561","74.081","72.670","421,45K","-0,81%"
"13.12.2018","73.413","73.116","73.858","73.042","407,88K","0,92%"
"12.12.2018","72.745","72.002","72.819","71.928","288,09K","1,03%"
"11.12.2018","72.002","71.854","72.225","71.631","282,65K","0,21%"
"10.12.2018","71.854","72.002","72.745","71.854","274,76K","-1,22%"
"07.12.2018","72.745","70.889","73.116","70.889","710,89K","2,08%"
"06.12.2018","71.260","70.815","71.483","70.147","341,53K","0,63%"
"05.12.2018","70.815","70.147","71.038","69.553","382,77K","0,42%"
"04.12.2018","70.518","70.518","70.741","70.147","368,31K","0,11%"
"03.12.2018","70.444","70.072","70.518","69.479","307,16K","3,04%"
