"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","79.000","79.300","79.600","78.700","1,17M","-0,63%"
"25.06.2019","79.500","79.800","80.100","79.500","866,49K","0,00%"
"24.06.2019","79.500","78.600","80.400","78.600","1,45M","1,27%"
"21.06.2019","78.500","78.600","79.300","78.500","3,74M","0,13%"
"20.06.2019","78.400","78.400","78.900","78.000","1,56M","0,38%"
"19.06.2019","78.100","78.000","78.300","77.800","729,57K","0,13%"
"18.06.2019","78.000","77.800","78.000","76.300","1,64M","0,00%"
"17.06.2019","78.000","79.900","79.900","77.600","458,32K","-2,38%"
"14.06.2019","79.900","78.800","79.900","78.600","482,82K","-0,13%"
"13.06.2019","80.000","79.500","80.000","76.600","2,02M","0,00%"
"12.06.2019","80.000","81.500","81.500","79.500","893,93K","-2,32%"
"11.06.2019","81.900","82.000","82.000","81.300","375,37K","-0,12%"
"10.06.2019","82.000","83.000","83.000","81.400","596,36K","-0,24%"
"07.06.2019","82.200","80.500","83.000","79.900","572,38K","2,37%"
"06.06.2019","80.300","80.500","80.800","78.900","582,69K","-0,37%"
"05.06.2019","80.600","81.200","81.500","80.300","452,63K","0,00%"
"04.06.2019","80.600","80.500","81.000","78.900","557,89K","0,00%"
"03.06.2019","80.600","82.000","82.000","79.600","527,22K","-1,71%"
"31.05.2019","82.000","83.200","83.200","81.000","720,93K","-0,73%"
"30.05.2019","82.600","83.600","83.800","82.500","930,29K","-1,20%"
"29.05.2019","83.600","84.000","84.200","83.400","921,51K","0,12%"
"28.05.2019","83.500","84.400","84.600","83.500","1,44M","-1,07%"
"27.05.2019","84.400","84.500","84.900","84.400","487,56K","-0,12%"
"24.05.2019","84.500","86.700","86.700","84.500","854,87K","-2,31%"
"23.05.2019","86.500","86.600","86.600","86.100","377,18K","0,00%"
"22.05.2019","86.500","86.200","87.900","86.200","702,51K","-0,23%"
"21.05.2019","86.700","87.900","88.100","86.700","1,06M","-0,12%"
"20.05.2019","86.800","86.500","86.800","85.800","638,34K","0,12%"
"17.05.2019","86.700","87.000","87.000","86.300","791,79K","-0,34%"
"16.05.2019","87.000","86.000","87.100","85.700","953,33K","1,16%"
"15.05.2019","86.000","85.200","86.500","85.200","1,13M","1,18%"
"14.05.2019","85.000","84.000","86.000","84.000","1,32M","0,00%"
"13.05.2019","85.000","83.800","85.200","83.800","691,67K","1,19%"
"10.05.2019","84.000","85.600","86.000","83.800","980,26K","-0,59%"
"09.05.2019","84.500","85.000","85.600","83.600","983,32K","-1,29%"
"08.05.2019","85.600","87.000","87.300","85.400","894,24K","-2,62%"
"07.05.2019","87.900","89.800","89.800","87.700","576,29K","-1,24%"
"06.05.2019","89.000","90.000","90.000","88.600","522,55K","-1,55%"
"03.05.2019","90.400","91.800","91.800","90.400","621,15K","-1,09%"
"02.05.2019","91.400","92.000","92.300","90.900","452,51K","-0,65%"
"26.04.2019","92.000","90.200","92.000","89.900","1,07M","2,00%"
