"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 17, 2021","457.40","462.50","469.05","452.30","1.11M","-2.22%"
"Jun 16, 2021","467.80","464.90","472.25","455.25","1.62M","1.14%"
"Jun 15, 2021","462.55","455.00","471.80","455.00","1.25M","0.82%"
"Jun 14, 2021","458.80","464.65","464.95","445.85","2.29M","-1.26%"
"Jun 11, 2021","464.65","473.90","474.50","461.05","1.70M","-1.32%"
"Jun 10, 2021","470.85","479.95","482.95","468.05","3.19M","-0.81%"
"Jun 09, 2021","474.70","473.90","508.70","465.00","12.34M","1.32%"
"Jun 08, 2021","468.50","462.00","489.70","461.75","9.02M","1.58%"
"Jun 07, 2021","461.20","433.75","472.00","432.00","5.97M","6.91%"
"Jun 04, 2021","431.40","440.40","440.90","430.25","620.18K","-1.81%"
"Jun 03, 2021","439.35","435.60","441.90","435.50","695.39K","0.86%"
"Jun 02, 2021","435.60","431.75","441.80","429.60","750.05K","0.72%"
"Jun 01, 2021","432.50","432.00","435.95","429.00","543.86K","-0.08%"
"May 31, 2021","432.85","429.00","436.40","424.60","746.02K","0.84%"
"May 28, 2021","429.25","430.00","433.25","425.25","804.67K","-0.15%"
"May 27, 2021","429.90","426.05","431.00","421.00","1.03M","1.19%"
"May 26, 2021","424.85","439.50","439.50","423.25","1.29M","-2.27%"
"May 25, 2021","434.70","442.00","446.40","428.65","1.26M","-1.15%"
"May 24, 2021","439.75","450.60","450.60","436.50","1.53M","-2.41%"
"May 21, 2021","450.60","444.00","465.90","426.10","15.66M","4.61%"
"May 20, 2021","430.75","435.40","437.55","422.55","1.09M","-1.07%"
"May 19, 2021","435.40","439.75","444.25","430.00","1.12M","-0.33%"
"May 18, 2021","436.85","430.40","440.45","429.10","1.33M","2.03%"
"May 17, 2021","428.15","430.60","440.90","426.30","991.52K","-0.04%"
"May 14, 2021","428.30","441.30","445.30","426.00","867.56K","-1.75%"
"May 12, 2021","435.95","440.95","453.60","430.00","1.76M","-0.69%"
"May 11, 2021","439.00","451.20","457.00","436.75","2.49M","-2.70%"
"May 10, 2021","451.20","418.20","454.00","417.65","3.10M","8.45%"
"May 07, 2021","416.05","414.00","419.85","411.20","819.61K","0.86%"
"May 06, 2021","412.50","412.25","417.95","407.95","1.06M","0.50%"
"May 05, 2021","410.45","406.00","412.70","401.70","707.43K","1.58%"
"May 04, 2021","404.05","397.00","407.35","395.15","904.38K","2.24%"
"May 03, 2021","395.20","397.00","415.00","388.25","1.13M","-0.28%"
"Apr 30, 2021","396.30","391.60","399.35","384.40","518.05K","0.42%"
