"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","46.150","46.500","46.500","46.100","1,01M","-0,75%"
"25.06.2019","46.500","45.000","46.550","44.800","3,27M","2,99%"
"24.06.2019","45.150","45.400","45.450","45.150","726,16K","-0,55%"
"21.06.2019","45.400","45.500","45.600","45.250","872,46K","0,00%"
"20.06.2019","45.400","44.850","45.400","44.650","1,36M","1,68%"
"19.06.2019","44.650","44.300","44.700","44.200","530,82K","1,36%"
"18.06.2019","44.050","44.350","44.450","43.750","763,68K","0,00%"
"17.06.2019","44.050","44.100","44.500","43.900","1,01M","-0,79%"
"14.06.2019","44.400","44.600","44.900","44.400","559,80K","-0,34%"
"13.06.2019","44.550","45.050","45.100","44.500","856,27K","-1,11%"
"12.06.2019","45.050","45.200","45.600","45.000","1,28M","-0,33%"
"11.06.2019","45.200","45.100","45.600","44.900","1,30M","0,22%"
"10.06.2019","45.100","45.500","45.700","44.800","1,23M","-0,22%"
"07.06.2019","45.200","44.800","45.250","44.700","1,30M","1,57%"
"06.06.2019","44.500","43.800","44.700","43.600","922,74K","2,06%"
"05.06.2019","43.600","43.500","43.900","43.500","500,10K","0,69%"
"04.06.2019","43.300","43.500","43.700","43.250","537,16K","-0,46%"
"03.06.2019","43.500","44.000","44.100","43.500","881,81K","-1,36%"
"31.05.2019","44.100","44.600","44.800","44.100","611,86K","-1,01%"
"30.05.2019","44.550","44.100","44.700","43.900","986,45K","1,02%"
"29.05.2019","44.100","44.850","44.850","44.000","1,51M","-1,67%"
"28.05.2019","44.850","45.000","45.400","44.750","518,47K","-0,88%"
"27.05.2019","45.250","45.300","45.450","44.650","1,26M","-0,77%"
"24.05.2019","45.600","45.500","45.950","45.250","1,01M","-0,22%"
"23.05.2019","45.700","45.250","45.800","45.200","1,27M","0,99%"
"22.05.2019","45.250","45.950","46.150","45.250","1,56M","-1,42%"
"21.05.2019","45.900","45.500","46.050","45.350","1,02M","1,44%"
"20.05.2019","45.250","44.500","45.300","44.500","1,79M","1,80%"
"17.05.2019","44.450","45.000","45.000","44.300","1,49M","0,32%"
"16.05.2019","44.310","44.979","45.247","44.310","2,08M","-1,49%"
"15.05.2019","44.979","45.068","45.158","44.712","1,69M","0,40%"
"14.05.2019","44.801","44.087","45.336","43.819","1,72M","1,41%"
"13.05.2019","44.176","43.730","44.444","43.730","935,59K","1,02%"
"10.05.2019","43.730","43.730","43.953","43.507","1,13M","0,82%"
"09.05.2019","43.373","44.265","44.310","43.373","947,03K","-2,11%"
"08.05.2019","44.310","43.998","44.354","43.730","1,05M","-0,10%"
"07.05.2019","44.354","43.819","44.354","43.774","1,20M","1,95%"
"06.05.2019","43.507","43.730","44.087","43.239","1,60M","-2,50%"
"03.05.2019","44.622","44.533","44.622","44.265","1,17M","0,30%"
"02.05.2019","44.488","44.444","44.801","44.310","973,52K","0,60%"
"26.04.2019","44.221","43.641","44.399","43.551","951,44K","1,54%"
"25.04.2019","43.551","43.284","43.864","43.239","1,07M","0,51%"
"24.04.2019","43.328","43.284","43.418","42.927","940,64K","1,36%"
"23.04.2019","42.748","42.748","43.239","42.391","604,34K","0,00%"
"22.04.2019","42.748","43.284","43.284","42.659","908,70K","-1,14%"
"19.04.2019","43.239","43.462","43.641","43.194","499,38K","-0,10%"
"18.04.2019","43.284","43.284","43.953","42.882","1,07M","0,00%"
"17.04.2019","43.284","43.105","44.176","43.016","2,16M","1,25%"
"16.04.2019","42.748","42.391","43.016","42.391","997,70K","-0,62%"
"12.04.2019","43.016","41.811","43.194","41.811","962,60K","2,55%"
"11.04.2019","41.945","41.856","42.391","41.811","395,90K","0,21%"
"10.04.2019","41.856","41.945","42.213","41.722","804,21K","-0,85%"
"09.04.2019","42.213","42.659","43.284","42.213","1,11M","-1,05%"
"08.04.2019","42.659","42.525","42.837","42.346","497,93K","0,00%"
"05.04.2019","42.659","42.659","42.748","42.346","676,72K","0,00%"
"04.04.2019","42.659","42.391","43.016","42.168","1,89M","1,27%"
"03.04.2019","42.123","41.410","42.123","41.052","1,14M","2,61%"
"02.04.2019","41.052","40.874","41.677","40.874","1,49M","0,44%"
"01.04.2019","40.874","40.963","40.963","40.606","360,25K","0,66%"
"29.03.2019","40.606","40.696","40.696","40.428","491,42K","0,77%"
"28.03.2019","40.294","39.937","40.472","39.937","398,60K","0,33%"
"27.03.2019","40.160","39.982","40.249","39.982","647,94K","0,56%"
"26.03.2019","39.937","40.160","40.160","39.714","424,73K","0,79%"
"25.03.2019","39.625","39.446","40.160","39.446","696,87K","-1,44%"
"22.03.2019","40.205","40.249","40.517","40.205","756,46K","-0,11%"
"21.03.2019","40.249","40.874","40.874","40.249","908,31K","-0,77%"
"20.03.2019","40.562","40.696","40.963","40.383","877,00K","-0,55%"
"19.03.2019","40.785","41.231","41.320","40.785","1,01M","-1,08%"
"18.03.2019","41.231","41.320","41.454","41.008","1,09M","0,44%"
"15.03.2019","41.052","41.276","41.320","40.829","1,15M","-0,54%"
"14.03.2019","41.276","41.231","41.499","41.052","586,83K","0,11%"
"13.03.2019","41.231","41.499","41.677","41.231","1,10M","-0,65%"
"12.03.2019","41.499","39.937","41.499","39.937","2,12M","4,49%"
"11.03.2019","39.714","39.848","40.026","39.669","400,97K","-0,34%"
"08.03.2019","39.848","39.892","39.982","39.669","762,50K","-0,22%"
"07.03.2019","39.937","39.803","40.160","39.803","411,77K","0,34%"
"06.03.2019","39.803","40.115","40.249","39.669","764,75K","-0,67%"
"05.03.2019","40.071","40.160","40.338","39.982","906,73K","-0,22%"
"04.03.2019","40.160","39.803","40.338","39.803","887,45K","0,90%"
"01.03.2019","39.803","39.758","39.803","39.402","649,86K","0,91%"
"28.02.2019","39.446","40.249","40.249","39.446","1,51M","-2,00%"
"27.02.2019","40.249","40.338","40.562","40.071","534,21K","-0,22%"
"26.02.2019","40.338","40.696","40.696","40.160","729,54K","-0,66%"
"25.02.2019","40.606","40.651","41.231","40.562","1,13M","0,66%"
"22.02.2019","40.338","39.982","40.517","39.625","1,37M","0,89%"
"21.02.2019","39.982","39.892","40.071","39.535","824,94K","-0,11%"
"20.02.2019","40.026","39.535","40.205","39.535","549,37K","1,01%"
"19.02.2019","39.625","39.892","40.294","39.535","1,62M","0,00%"
"18.02.2019","39.625","39.714","39.803","39.357","336,94K","0,45%"
"15.02.2019","39.446","39.491","39.669","39.268","711,95K","-0,11%"
"14.02.2019","39.491","39.848","40.071","39.491","678,68K","-0,67%"
"13.02.2019","39.758","39.268","40.160","39.268","1,24M","1,48%"
"12.02.2019","39.178","39.268","39.803","39.178","771,73K","-0,57%"
"11.02.2019","39.402","38.375","39.535","38.107","1,10M","3,64%"
"01.02.2019","38.018","38.554","38.554","37.036","659,88K","-1,39%"
"31.01.2019","38.554","38.643","38.732","38.286","568,99K","0,00%"
"30.01.2019","38.554","37.929","38.732","37.840","758,19K","1,65%"
"29.01.2019","37.929","37.840","37.929","37.483","473,64K","0,95%"
"28.01.2019","37.572","37.929","37.929","37.572","237,96K","-0,71%"
"25.01.2019","37.840","37.840","38.018","37.750","234,82K","-0,12%"
"24.01.2019","37.884","37.840","38.018","37.795","257,92K","0,24%"
"23.01.2019","37.795","37.750","37.840","37.617","212,81K","0,00%"
"22.01.2019","37.795","37.929","38.152","37.795","155,63K","-0,35%"
"21.01.2019","37.929","37.661","38.197","37.661","272,58K","1,19%"
"18.01.2019","37.483","37.572","37.929","37.483","249,86K","0,00%"
"17.01.2019","37.483","37.929","38.152","37.483","417,75K","-1,29%"
"16.01.2019","37.974","38.375","38.375","37.974","205,25K","-0,58%"
"15.01.2019","38.197","37.750","38.197","37.750","373,43K","0,71%"
"14.01.2019","37.929","37.750","38.018","37.483","438,24K","0,71%"
"11.01.2019","37.661","37.840","37.974","37.527","655,70K","0,12%"
"10.01.2019","37.617","37.840","37.974","37.617","228,06K","-0,59%"
"09.01.2019","37.840","37.572","38.018","37.394","339,94K","0,95%"
"08.01.2019","37.483","37.304","37.483","37.215","325,23K","0,48%"
"07.01.2019","37.304","37.304","37.572","37.126","449,32K","1,70%"
"04.01.2019","36.680","36.233","36.992","36.144","350,43K","0,74%"
"03.01.2019","36.412","36.992","36.992","36.322","788,26K","-0,97%"
"02.01.2019","36.769","37.304","37.617","36.724","505,03K","-2,37%"
"28.12.2018","37.661","37.527","37.661","37.304","425,89K","0,96%"
"27.12.2018","37.304","37.572","37.706","37.304","500,35K","0,97%"
"26.12.2018","36.947","37.036","37.349","36.947","366,95K","-0,24%"
"25.12.2018","37.036","36.947","37.036","36.590","805,54K","-1,19%"
"24.12.2018","37.483","38.018","38.197","37.483","233,78K","-1,18%"
"21.12.2018","37.929","37.394","37.929","37.394","499,19K","1,07%"
"20.12.2018","37.527","37.750","37.840","37.527","507,33K","-0,12%"
"19.12.2018","37.572","37.483","38.018","37.349","518,74K","0,24%"
"18.12.2018","37.483","37.795","38.197","37.349","1,24M","-2,32%"
