"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","124.200","123.800","124.500","123.800","690,59K","0,24%"
"25.06.2019","123.900","123.100","124.500","123.000","655,64K","0,32%"
"24.06.2019","123.500","123.200","123.800","123.200","628,25K","0,24%"
"21.06.2019","123.200","123.300","123.500","122.400","559,79K","-0,08%"
"20.06.2019","123.300","119.600","123.500","119.500","738,76K","3,18%"
"19.06.2019","119.500","118.300","119.800","118.300","474,54K","1,27%"
"18.06.2019","118.000","119.900","120.400","118.000","358,97K","-1,58%"
"17.06.2019","119.900","119.500","120.400","119.000","568,68K","-1,48%"
"14.06.2019","121.700","121.100","123.000","121.100","484,66K","0,08%"
"13.06.2019","121.600","123.400","123.400","121.100","455,86K","-1,54%"
"12.06.2019","123.500","124.000","124.100","122.500","444,31K","-0,40%"
"11.06.2019","124.000","123.600","124.200","122.800","480,01K","0,00%"
"10.06.2019","124.000","122.600","124.800","122.500","644,97K","1,47%"
"07.06.2019","122.200","121.500","122.200","121.500","534,68K","0,66%"
"06.06.2019","121.400","121.300","121.400","119.400","584,27K","0,00%"
"05.06.2019","121.400","121.800","121.900","120.800","530,38K","0,08%"
"04.06.2019","121.300","122.000","122.600","120.000","558,31K","-0,57%"
"03.06.2019","122.000","124.000","124.000","121.900","631,51K","-2,01%"
"31.05.2019","124.500","124.000","125.000","123.600","714,84K","0,24%"
"30.05.2019","124.200","123.000","124.200","122.000","413,49K","0,57%"
"29.05.2019","123.500","124.500","124.500","122.800","443,52K","-1,20%"
"28.05.2019","125.000","120.500","125.000","120.400","1,30M","3,73%"
"27.05.2019","120.500","120.500","121.000","119.900","423,35K","0,50%"
"24.05.2019","119.900","118.800","120.400","118.500","898,90K","0,42%"
"23.05.2019","119.400","119.500","119.700","118.600","639,06K","-0,08%"
"22.05.2019","119.500","119.000","120.100","118.500","707,93K","0,59%"
"21.05.2019","118.800","118.400","118.900","118.400","613,31K","0,42%"
"20.05.2019","118.300","117.900","118.900","117.600","900,89K","0,34%"
"17.05.2019","117.900","118.000","118.000","117.000","631,99K","-0,08%"
"16.05.2019","118.000","118.000","118.800","117.800","744,92K","0,00%"
"15.05.2019","118.000","117.000","118.200","117.000","820,49K","1,03%"
"14.05.2019","116.800","116.000","116.800","115.700","653,65K","0,69%"
"13.05.2019","116.000","115.300","116.000","115.000","616,00K","0,52%"
"10.05.2019","115.400","115.500","115.900","114.000","560,41K","-0,09%"
