"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 17, 2021","1,164.15","1,171.95","1,181.35","1,159.60","1.04M","-1.08%"
"Jun 16, 2021","1,176.85","1,190.00","1,193.20","1,173.30","940.26K","-0.81%"
"Jun 15, 2021","1,186.45","1,192.65","1,199.85","1,183.10","1.22M","-0.52%"
"Jun 14, 2021","1,192.65","1,190.00","1,205.50","1,173.10","2.90M","-3.06%"
"Jun 11, 2021","1,230.35","1,230.00","1,239.90","1,225.00","1.16M","0.13%"
"Jun 10, 2021","1,228.80","1,221.00","1,243.00","1,221.00","1.05M","0.73%"
"Jun 09, 2021","1,219.85","1,237.00","1,258.80","1,214.30","2.22M","-1.34%"
"Jun 08, 2021","1,236.40","1,234.90","1,242.70","1,218.40","1.03M","0.23%"
"Jun 07, 2021","1,233.55","1,231.95","1,237.70","1,223.15","1.04M","0.17%"
"Jun 04, 2021","1,231.50","1,243.50","1,244.00","1,223.00","1.51M","-0.07%"
"Jun 03, 2021","1,232.40","1,254.85","1,254.85","1,226.50","1.72M","-1.19%"
"Jun 02, 2021","1,247.25","1,211.80","1,267.65","1,211.00","7.16M","3.15%"
"Jun 01, 2021","1,209.20","1,221.00","1,224.90","1,200.00","1.06M","-0.84%"
"May 31, 2021","1,219.50","1,208.00","1,224.90","1,194.55","1.98M","0.88%"
"May 28, 2021","1,208.90","1,203.35","1,211.70","1,190.55","1.13M","0.46%"
"May 27, 2021","1,203.35","1,203.90","1,206.95","1,188.00","2.73M","0.62%"
"May 26, 2021","1,195.95","1,218.60","1,219.35","1,193.30","1.19M","-1.25%"
"May 25, 2021","1,211.05","1,209.70","1,217.90","1,191.10","1.71M","1.02%"
"May 24, 2021","1,198.80","1,214.60","1,237.60","1,195.60","3.05M","-1.30%"
"May 21, 2021","1,214.55","1,210.60","1,217.90","1,205.50","1.25M","0.85%"
"May 20, 2021","1,204.30","1,217.70","1,220.00","1,197.45","1.84M","-0.21%"
"May 19, 2021","1,206.85","1,189.90","1,219.35","1,185.50","2.94M","1.68%"
"May 18, 2021","1,186.90","1,196.00","1,201.00","1,182.05","1.89M","-0.19%"
"May 17, 2021","1,189.15","1,194.00","1,194.00","1,170.00","2.61M","0.91%"
"May 14, 2021","1,178.45","1,210.00","1,233.80","1,166.00","5.41M","-2.79%"
"May 12, 2021","1,212.25","1,211.95","1,226.60","1,193.40","3.61M","1.24%"
"May 11, 2021","1,197.35","1,219.90","1,246.80","1,193.00","3.81M","-2.06%"
"May 10, 2021","1,222.55","1,229.00","1,241.55","1,205.50","4.88M","2.17%"
"May 07, 2021","1,196.55","1,194.90","1,241.00","1,190.00","6.63M","-0.15%"
"May 06, 2021","1,198.30","1,209.90","1,219.20","1,170.50","9.04M","-0.18%"
"May 05, 2021","1,200.50","1,078.10","1,209.00","1,068.95","26.47M","13.47%"
"May 04, 2021","1,057.95","1,077.85","1,077.85","1,049.50","1.64M","-1.39%"
"May 03, 2021","1,072.85","1,068.00","1,082.90","1,060.35","1.47M","0.31%"
"Apr 30, 2021","1,069.50","1,045.00","1,082.90","1,045.00","1.82M","1.33%"
"Apr 29, 2021","1,055.50","1,060.00","1,064.90","1,049.20","1.47M","0.07%"
"Apr 28, 2021","1,054.75","1,070.00","1,074.55","1,051.10","1.48M","-1.11%"
"Apr 27, 2021","1,066.55","1,068.00","1,072.95","1,051.10","1.35M","0.38%"
"Apr 26, 2021","1,062.55","1,074.95","1,080.90","1,056.65","2.02M","-1.27%"
"Apr 23, 2021","1,076.25","1,046.00","1,083.60","1,036.60","4.66M","1.46%"
"Apr 22, 2021","1,060.75","1,100.00","1,106.90","1,057.00","5.13M","-2.67%"
"Apr 20, 2021","1,089.80","1,076.00","1,099.00","1,063.15","3.81M","2.36%"
"Apr 19, 2021","1,064.65","1,045.00","1,072.75","1,028.70","2.24M","0.83%"
"Apr 16, 2021","1,055.85","1,054.00","1,069.15","1,043.50","1.75M","0.55%"
"Apr 15, 2021","1,050.05","1,020.25","1,056.75","1,020.05","1.78M","1.36%"
"Apr 13, 2021","1,036.00","1,050.00","1,058.70","1,022.10","1.53M","-0.88%"
"Apr 12, 2021","1,045.15","1,078.00","1,099.95","1,036.00","3.87M","-3.18%"
"Apr 09, 2021","1,079.45","1,049.00","1,087.00","1,045.75","3.35M","2.87%"
"Apr 08, 2021","1,049.30","1,034.20","1,056.95","1,034.00","1.22M","1.46%"
"Apr 07, 2021","1,034.20","1,045.00","1,051.05","1,032.00","1.89M","-0.74%"
"Apr 06, 2021","1,041.90","1,029.25","1,047.15","1,029.25","1.69M","1.26%"
