"Date","Price","Open","High","Low","Vol.","Change %"
"May 14, 2021","25,054.10","25,400.00","25,494.45","24,880.10","2.53K","-0.95%"
"May 12, 2021","25,293.80","24,869.00","25,490.00","24,852.25","2.25K","1.71%"
"May 11, 2021","24,869.50","24,588.00","25,500.00","24,300.00","7.52K","1.77%"
"May 10, 2021","24,438.05","24,775.00","25,270.25","24,186.00","3.51K","-1.18%"
"May 07, 2021","24,730.95","24,995.00","24,995.00","24,650.00","1.30K","-0.04%"
"May 06, 2021","24,741.80","25,200.00","25,296.55","24,687.00","1.98K","-0.90%"
"May 05, 2021","24,965.30","25,420.00","25,799.00","24,870.00","2.82K","-1.56%"
"May 04, 2021","25,360.45","26,035.00","26,441.65","25,260.30","3.07K","-2.57%"
"May 03, 2021","26,030.05","25,500.00","26,185.25","25,283.10","1.71K","1.93%"
"Apr 30, 2021","25,537.95","25,499.00","25,768.60","25,104.75","8.05K","0.17%"
"Apr 29, 2021","25,494.35","25,799.00","25,938.00","25,100.10","3.71K","-0.70%"
"Apr 28, 2021","25,674.30","25,688.00","25,964.35","25,499.95","4.02K","0.66%"
"Apr 27, 2021","25,505.30","26,400.15","26,476.85","25,360.30","5.26K","-2.58%"
"Apr 26, 2021","26,181.15","26,378.00","26,900.00","25,914.55","2.22K","-0.75%"
"Apr 23, 2021","26,378.00","26,752.00","27,200.00","26,201.00","2.94K","-2.32%"
"Apr 22, 2021","27,004.05","26,788.00","27,200.00","26,105.00","7.82K","1.86%"
"Apr 20, 2021","26,511.65","27,600.00","27,970.00","26,378.95","6.21K","-3.50%"
"Apr 19, 2021","27,473.10","26,351.00","27,600.00","26,100.05","8.34K","1.63%"
"Apr 16, 2021","27,032.25","25,762.25","27,201.00","25,653.00","7.55K","5.87%"
"Apr 15, 2021","25,532.50","26,499.00","26,499.00","25,315.00","4.20K","-2.47%"
"Apr 13, 2021","26,179.90","25,788.00","26,375.05","25,299.95","4.48K","2.44%"
"Apr 12, 2021","25,556.45","26,602.00","27,368.00","25,251.95","7.74K","-7.48%"
"Apr 09, 2021","27,624.10","28,098.00","28,323.85","27,399.85","2.44K","-1.41%"
"Apr 08, 2021","28,019.50","27,288.00","28,250.00","27,112.15","4.39K","3.20%"
