"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 17, 2021","55.00","55.65","57.25","54.95","16.67M","-1.96%"
"Jun 16, 2021","56.10","57.60","57.85","55.55","23.89M","-2.69%"
"Jun 15, 2021","57.65","57.80","59.15","57.25","39.78M","0.52%"
"Jun 14, 2021","57.35","55.80","58.80","52.05","107.17M","4.84%"
"Jun 11, 2021","54.70","49.20","55.85","48.85","150.26M","12.09%"
"Jun 10, 2021","48.80","48.05","49.45","47.75","9.91M","2.41%"
"Jun 09, 2021","47.65","49.75","49.85","47.40","13.07M","-3.54%"
"Jun 08, 2021","49.40","50.05","50.50","49.10","10.71M","-0.80%"
"Jun 07, 2021","49.80","48.80","50.45","48.20","19.36M","3.00%"
"Jun 04, 2021","48.35","48.20","49.15","47.55","10.00M","0.73%"
"Jun 03, 2021","48.00","48.25","49.05","47.80","7.32M","0.21%"
"Jun 02, 2021","47.90","46.80","48.35","46.65","8.13M","1.70%"
"Jun 01, 2021","47.10","48.00","48.40","46.75","7.22M","-1.05%"
"May 31, 2021","47.60","48.90","49.05","45.95","11.71M","-2.66%"
"May 28, 2021","48.90","49.75","50.20","48.75","11.25M","-0.61%"
"May 27, 2021","49.20","48.95","49.95","48.35","12.21M","0.82%"
"May 26, 2021","48.80","48.30","49.75","48.20","10.77M","1.04%"
"May 25, 2021","48.30","49.20","49.45","48.10","8.99M","-1.33%"
"May 24, 2021","48.95","49.65","49.65","48.75","9.15M","-0.51%"
"May 21, 2021","49.20","49.45","50.20","49.00","8.46M","-0.40%"
"May 20, 2021","49.40","50.60","50.85","49.00","10.54M","-1.40%"
"May 19, 2021","50.10","49.15","50.80","48.80","14.12M","1.42%"
"May 18, 2021","49.40","49.55","50.60","49.15","14.05M","0.82%"
"May 17, 2021","49.00","49.50","49.70","48.30","8.76M","-0.10%"
"May 14, 2021","49.05","50.60","51.00","47.60","18.06M","-2.10%"
"May 12, 2021","50.10","50.90","51.80","49.00","32.34M","-0.10%"
"May 11, 2021","50.15","47.45","51.00","46.50","37.12M","5.03%"
"May 10, 2021","47.75","44.60","48.40","44.10","28.91M","8.52%"
"May 07, 2021","44.00","45.10","45.40","43.80","7.23M","-1.68%"
"May 06, 2021","44.75","45.00","45.45","44.30","9.11M","1.36%"
"May 05, 2021","44.15","43.60","44.50","42.60","11.18M","3.03%"
"May 04, 2021","42.85","41.95","45.20","41.95","22.79M","3.13%"
"May 03, 2021","41.55","40.25","42.10","39.90","8.28M","2.34%"
"Apr 30, 2021","40.60","40.00","41.50","40.00","5.50M","-1.34%"
"Apr 29, 2021","41.15","41.70","42.30","40.80","6.11M","-1.44%"
"Apr 28, 2021","41.75","41.90","42.25","41.60","5.95M","0.24%"
"Apr 27, 2021","41.65","40.00","41.90","39.70","9.58M","4.26%"
"Apr 26, 2021","39.95","40.00","40.75","39.80","6.72M","0.50%"
"Apr 23, 2021","39.75","39.35","40.85","39.35","7.22M","-0.63%"
"Apr 22, 2021","40.00","39.70","40.35","38.80","6.67M","0.63%"
"Apr 20, 2021","39.75","39.85","40.95","39.30","7.39M","1.53%"
"Apr 19, 2021","39.15","39.60","40.05","38.20","14.49M","-6.23%"
"Apr 16, 2021","41.75","42.30","42.50","41.50","5.45M","-0.48%"
"Apr 15, 2021","41.95","42.80","42.90","41.35","7.71M","-2.44%"
"Apr 13, 2021","43.00","41.90","43.35","41.50","10.79M","4.12%"
"Apr 12, 2021","41.30","44.70","45.00","39.80","20.72M","-11.47%"
"Apr 09, 2021","46.65","47.00","47.40","46.20","6.43M","-0.32%"
"Apr 08, 2021","46.80","45.30","48.25","45.20","25.78M","4.46%"
"Apr 07, 2021","44.80","45.05","45.40","44.65","6.46M","-0.78%"
"Apr 06, 2021","45.15","45.60","46.35","44.80","6.94M","-0.66%"
"Apr 05, 2021","45.45","47.75","47.80","45.10","9.65M","-5.21%"
"Apr 01, 2021","47.95","47.25","48.35","46.90","7.77M","2.46%"
"Mar 31, 2021","46.80","47.85","48.40","46.30","7.47M","-2.30%"
"Mar 30, 2021","47.90","46.90","48.80","46.00","9.83M","4.24%"
"Mar 26, 2021","45.95","46.65","46.95","45.70","6.42M","0.00%"
