"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 05, 2019","8,992.70","8,913.00","8,995.40","8,908.10","215.61M","1.54%"
"Sep 04, 2019","8,856.60","8,872.30","8,904.50","8,856.60","169.52M","0.54%"
"Sep 03, 2019","8,809.20","8,806.80","8,828.80","8,772.80","158.82M","-0.07%"
"Sep 02, 2019","8,815.50","8,810.80","8,858.40","8,804.90","97.95M","0.03%"
"Aug 30, 2019","8,812.90","8,808.00","8,858.80","8,797.10","146.44M","0.21%"
"Aug 29, 2019","8,794.30","8,728.20","8,841.10","8,725.90","142.70M","0.54%"
"Aug 28, 2019","8,747.10","8,711.50","8,753.80","8,678.90","107.40M","0.21%"
"Aug 27, 2019","8,728.90","8,682.20","8,767.90","8,662.10","156.83M","0.57%"
"Aug 26, 2019","8,679.20","8,603.30","8,702.00","8,592.20","86.67M","0.34%"
"Aug 23, 2019","8,649.50","8,764.40","8,782.60","8,649.50","133.61M","-0.77%"
"Aug 22, 2019","8,716.40","8,684.40","8,806.40","8,675.60","143.42M","0.17%"
"Aug 21, 2019","8,701.50","8,645.90","8,722.90","8,644.30","109.02M","0.97%"
"Aug 20, 2019","8,618.30","8,707.10","8,727.60","8,618.30","140.09M","-1.32%"
"Aug 19, 2019","8,733.30","8,726.90","8,774.60","8,701.90","149.33M","0.73%"
"Aug 16, 2019","8,670.40","8,530.00","8,671.30","8,530.00","307.07M","1.78%"
"Aug 15, 2019","8,519.00","8,551.10","8,566.50","8,409.10","186.02M","-0.04%"
"Aug 14, 2019","8,522.70","8,684.00","8,684.00","8,497.80","193.78M","-1.98%"
"Aug 13, 2019","8,695.10","8,628.20","8,782.30","8,610.10","200.74M","0.22%"
"Aug 12, 2019","8,676.40","8,796.90","8,811.50","8,675.80","141.74M","-0.93%"
"Aug 09, 2019","8,757.80","8,814.10","8,825.60","8,740.30","157.54M","-1.25%"
"Aug 08, 2019","8,869.00","8,828.80","8,869.00","8,790.50","161.82M","1.41%"
"Aug 07, 2019","8,746.10","8,743.70","8,820.90","8,679.80","175.61M","0.54%"
"Aug 06, 2019","8,699.40","8,774.60","8,820.90","8,699.40","177.52M","-0.89%"
"Aug 05, 2019","8,777.20","8,824.00","8,864.50","8,752.90","182.75M","-1.35%"
"Aug 02, 2019","8,897.60","8,905.70","8,997.10","8,870.50","236.59M","-1.56%"
"Aug 01, 2019","9,038.20","8,947.60","9,038.20","8,939.40","148.85M","0.75%"
"Jul 31, 2019","8,971.00","8,993.60","9,003.60","8,946.40","175.71M","-0.17%"
"Jul 30, 2019","8,986.60","9,216.40","9,216.40","8,956.80","229.90M","-2.48%"
"Jul 29, 2019","9,215.40","9,201.30","9,258.10","9,194.40","143.20M","-0.11%"
"Jul 26, 2019","9,225.50","9,281.10","9,291.90","9,204.80","220.71M","-0.69%"
"Jul 25, 2019","9,289.90","9,354.60","9,453.20","9,231.10","209.48M","-0.43%"
"Jul 24, 2019","9,329.70","9,287.40","9,341.30","9,269.40","142.61M","0.52%"
"Jul 23, 2019","9,281.60","9,224.40","9,299.30","9,210.60","157.25M","1.29%"
"Jul 22, 2019","9,163.50","9,172.60","9,194.80","9,137.40","135.56M","-0.08%"
"Jul 19, 2019","9,170.50","9,263.10","9,289.70","9,152.90","167.67M","-0.60%"
"Jul 18, 2019","9,225.70","9,209.40","9,259.10","9,179.20","155.71M","-0.63%"
"Jul 17, 2019","9,284.20","9,359.30","9,363.30","9,277.10","141.21M","-0.99%"
"Jul 16, 2019","9,377.10","9,326.00","9,393.90","9,316.30","129.21M","0.57%"
"Jul 15, 2019","9,323.60","9,313.20","9,355.30","9,280.10","119.54M","0.33%"
"Jul 12, 2019","9,293.20","9,284.70","9,318.70","9,281.70","120.78M","0.14%"
"Jul 11, 2019","9,280.30","9,268.20","9,300.40","9,230.80","114.24M","0.30%"
"Jul 10, 2019","9,252.90","9,241.30","9,299.60","9,218.30","145.20M","-0.23%"
"Jul 09, 2019","9,273.90","9,258.70","9,273.90","9,227.60","142.22M","-0.12%"
"Jul 08, 2019","9,284.70","9,303.30","9,340.20","9,268.90","146.31M","-0.54%"
"Jul 05, 2019","9,335.00","9,391.70","9,417.80","9,314.20","170.13M","-0.70%"
"Jul 04, 2019","9,401.00","9,371.00","9,402.40","9,355.20","163.99M","0.07%"
"Jul 03, 2019","9,394.40","9,290.50","9,407.50","9,277.10","139.58M","1.22%"
"Jul 02, 2019","9,281.50","9,284.00","9,298.40","9,223.40","130.06M","0.18%"
