"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2019","24.800","24.750","24.950","24.750","1,09M","-0,20%"
"25.06.2019","24.850","24.750","25.000","24.750","714,25K","-0,20%"
"24.06.2019","24.900","25.200","25.250","24.700","1,91M","-0,80%"
"21.06.2019","25.100","25.100","25.400","25.100","1,78M","0,00%"
"20.06.2019","25.100","24.850","25.250","24.800","1,39M","1,21%"
"19.06.2019","24.800","24.650","24.850","24.600","657,74K","1,43%"
"18.06.2019","24.450","24.600","24.700","24.450","913,79K","-0,61%"
"17.06.2019","24.600","24.700","24.900","24.600","601,62K","-0,81%"
"14.06.2019","24.800","24.800","25.050","24.800","394,64K","0,00%"
"13.06.2019","24.800","24.700","24.900","24.650","659,00K","-0,20%"
"12.06.2019","24.850","25.200","25.200","24.800","534,38K","-1,39%"
"11.06.2019","25.200","25.200","25.250","25.100","540,47K","0,00%"
"10.06.2019","25.200","25.150","25.350","25.100","930,96K","0,60%"
"07.06.2019","25.050","24.900","25.050","24.900","636,81K","1,42%"
"06.06.2019","24.700","24.800","24.900","24.450","1,21M","-0,60%"
"05.06.2019","24.850","25.150","25.150","24.850","855,95K","0,20%"
"04.06.2019","24.800","24.850","24.900","24.550","694,92K","0,20%"
"03.06.2019","24.750","24.700","24.850","24.550","1,18M","-0,40%"
"31.05.2019","24.850","25.100","25.200","24.850","991,78K","-1,00%"
"30.05.2019","25.100","25.050","25.350","24.850","775,20K","0,20%"
"29.05.2019","25.050","25.200","25.300","24.950","846,83K","-0,60%"
"28.05.2019","25.200","25.300","25.350","25.050","1,31M","-0,59%"
"27.05.2019","25.350","25.550","25.600","25.350","749,89K","-0,78%"
"24.05.2019","25.550","25.900","25.950","25.450","2,09M","-1,92%"
"23.05.2019","26.050","25.700","26.050","25.700","1,21M","0,00%"
"22.05.2019","26.050","26.000","26.250","25.950","1,64M","0,00%"
"21.05.2019","26.050","26.200","26.300","25.950","1,68M","-0,19%"
"20.05.2019","26.100","25.750","26.150","25.650","2,95M","1,56%"
"17.05.2019","25.700","25.550","25.900","25.500","2,16M","0,59%"
"16.05.2019","25.550","25.750","25.900","25.550","1,08M","-0,78%"
"15.05.2019","25.750","25.300","25.900","25.100","2,85M","2,79%"
"14.05.2019","25.050","25.000","25.150","24.850","2,52M","-0,60%"
"13.05.2019","25.200","25.100","25.250","25.000","833,80K","0,60%"
"10.05.2019","25.050","24.700","25.150","24.600","1,24M","1,83%"
"09.05.2019","24.600","24.850","24.950","24.500","994,49K","-0,40%"
"08.05.2019","24.700","24.700","25.050","24.450","1,41M","-0,80%"
"07.05.2019","24.900","25.500","25.550","24.800","2,49M","-1,19%"
"06.05.2019","25.200","25.500","25.500","24.950","2,71M","-2,70%"
"03.05.2019","25.900","25.400","25.900","25.400","1,07M","1,17%"
"02.05.2019","25.600","25.850","26.050","25.600","949,61K","-0,78%"
"26.04.2019","25.800","25.600","25.800","25.350","1,67M","1,18%"
"25.04.2019","25.500","25.700","25.700","25.400","1,25M","-0,78%"
"24.04.2019","25.700","25.400","25.750","25.300","767,36K","2,19%"
"23.04.2019","25.150","25.200","25.350","25.050","1,68M","-0,20%"
"22.04.2019","25.200","25.700","25.950","25.000","2,12M","-3,08%"
"19.04.2019","26.000","26.350","26.400","25.950","730,36K","0,00%"
"18.04.2019","26.000","26.500","26.600","25.850","1,88M","-2,07%"
"17.04.2019","26.550","26.750","27.000","26.500","1,18M","-0,75%"
"16.04.2019","26.750","26.950","26.950","26.600","1,12M","-0,93%"
"12.04.2019","27.000","27.250","27.250","27.000","821,47K","-0,92%"
"11.04.2019","27.250","27.500","27.600","27.250","644,98K","-0,73%"
"10.04.2019","27.450","27.500","27.900","27.400","815,83K","-1,96%"
"09.04.2019","28.000","27.900","28.050","27.800","1,92M","0,72%"
"08.04.2019","27.800","27.550","27.800","27.500","1,14M","1,09%"
"05.04.2019","27.500","27.300","27.550","27.300","682,69K","0,73%"
"04.04.2019","27.300","27.400","27.650","27.300","722,05K","-0,18%"
"03.04.2019","27.350","27.500","27.600","27.350","504,11K","-1,26%"
"02.04.2019","27.700","28.000","28.050","27.400","611,58K","0,00%"
"01.04.2019","27.700","27.400","27.800","27.250","1,01M","1,84%"
"29.03.2019","27.200","27.300","27.350","27.050","1,42M","0,55%"
"28.03.2019","27.050","27.100","27.200","26.950","627,46K","-0,18%"
"27.03.2019","27.100","27.500","27.500","27.050","789,10K","0,00%"
"26.03.2019","27.100","27.100","27.300","26.950","658,87K","1,12%"
"25.03.2019","26.800","26.800","27.100","26.600","1,38M","-2,55%"
"22.03.2019","27.500","27.600","27.950","27.400","1,23M","0,73%"
"21.03.2019","27.300","28.550","28.600","27.300","1,72M","-4,38%"
"20.03.2019","28.550","28.900","28.900","28.250","1,41M","-1,21%"
"19.03.2019","28.900","29.300","29.400","28.900","1,18M","-1,03%"
"18.03.2019","29.200","29.550","29.550","29.050","1,50M","-1,02%"
"15.03.2019","29.500","29.500","29.500","29.150","1,54M","0,17%"
"14.03.2019","29.450","29.500","29.600","29.150","1,13M","0,17%"
"13.03.2019","29.400","28.900","29.450","28.900","2,65M","2,08%"
"12.03.2019","28.800","28.900","28.900","28.400","1,01M","0,70%"
"11.03.2019","28.600","28.450","28.600","28.250","1,19M","0,53%"
"08.03.2019","28.450","28.500","28.700","28.400","1,70M","-1,04%"
"07.03.2019","28.750","28.550","29.050","28.550","1,90M","-0,17%"
"06.03.2019","28.800","29.000","29.000","28.550","902,14K","0,00%"
"05.03.2019","28.800","28.800","29.100","28.500","1,96M","-0,35%"
"04.03.2019","28.900","28.300","28.950","28.300","2,30M","2,48%"
"01.03.2019","28.200","27.900","28.200","27.900","1,04M","1,08%"
"28.02.2019","27.900","28.200","28.500","27.750","2,29M","-1,24%"
"27.02.2019","28.250","28.500","28.600","28.250","1,24M","-0,88%"
"26.02.2019","28.500","28.300","28.700","28.150","2,86M","-0,35%"
"25.02.2019","28.600","28.500","28.800","28.450","3,27M","1,24%"
"22.02.2019","28.250","28.000","28.300","27.700","3,13M","1,25%"
"21.02.2019","27.900","27.550","27.900","27.500","2,87M","1,45%"
"20.02.2019","27.500","27.250","27.600","27.250","2,30M","0,92%"
"19.02.2019","27.250","27.100","27.650","27.100","3,41M","0,55%"
"18.02.2019","27.100","27.150","27.250","26.950","1,75M","0,93%"
"15.02.2019","26.850","27.000","27.150","26.750","1,83M","-0,92%"
"14.02.2019","27.100","27.100","27.300","27.050","1,42M","-0,37%"
"13.02.2019","27.200","27.250","27.500","27.150","2,33M","0,18%"
"12.02.2019","27.150","26.900","27.500","26.800","3,52M","0,93%"
"11.02.2019","26.900","26.300","26.900","26.200","1,95M","3,07%"
"01.02.2019","26.100","25.900","26.200","25.900","985,31K","0,00%"
"31.01.2019","26.100","26.100","26.500","25.850","1,57M","0,38%"
"30.01.2019","26.000","26.200","26.200","26.000","971,71K","-0,76%"
"29.01.2019","26.200","26.150","26.200","25.850","1,01M","0,58%"
"28.01.2019","26.050","26.200","26.350","25.950","1,27M","-0,57%"
"25.01.2019","26.200","25.550","26.300","25.550","2,42M","2,54%"
"24.01.2019","25.550","25.700","25.800","25.500","1,22M","0,39%"
"23.01.2019","25.450","25.400","25.700","25.300","1,19M","-0,39%"
"22.01.2019","25.550","25.600","25.900","25.550","1,16M","-0,20%"
"21.01.2019","25.600","25.150","25.900","25.150","1,70M","1,79%"
"18.01.2019","25.150","25.200","25.350","24.900","1,52M","-0,20%"
"17.01.2019","25.200","25.750","25.800","25.150","1,85M","-2,14%"
"16.01.2019","25.750","26.050","26.100","25.650","1,47M","-0,96%"
"15.01.2019","26.000","25.800","26.050","25.750","995,86K","0,78%"
"14.01.2019","25.800","26.200","26.200","25.800","776,77K","-1,34%"
"11.01.2019","26.150","25.700","26.300","25.700","1,82M","2,35%"
"10.01.2019","25.550","25.700","25.950","25.550","1,21M","-0,78%"
"09.01.2019","25.750","26.000","26.100","25.700","1,65M","0,19%"
"08.01.2019","25.700","26.150","26.150","25.650","1,31M","-1,34%"
"07.01.2019","26.050","26.800","26.800","26.050","735,50K","0,19%"
"04.01.2019","26.000","26.000","26.200","25.450","1,23M","0,00%"
"03.01.2019","26.000","26.500","26.500","25.750","1,67M","-1,89%"
"02.01.2019","26.500","26.700","26.900","26.250","1,22M","-0,56%"
"28.12.2018","26.650","27.000","27.100","26.600","1,07M","-1,30%"
"27.12.2018","27.000","27.200","27.450","27.000","1,21M","1,31%"
"26.12.2018","26.650","26.800","27.100","26.600","1,11M","-0,74%"
"25.12.2018","26.850","26.450","26.900","25.800","2,80M","-0,56%"
"24.12.2018","27.000","27.800","28.000","26.900","2,09M","-3,05%"
"21.12.2018","27.850","28.000","28.000","27.850","1,35M","-1,07%"
"20.12.2018","28.150","28.050","28.500","27.950","925,30K","0,18%"
"19.12.2018","28.100","28.450","28.450","27.900","1,35M","-0,35%"
"18.12.2018","28.200","27.800","28.550","27.800","1,98M","-1,23%"
"17.12.2018","28.550","29.100","29.250","28.550","1,60M","-2,56%"
"14.12.2018","29.300","29.400","29.650","29.300","1,20M","-1,35%"
"13.12.2018","29.700","29.800","30.000","29.700","1,92M","0,17%"
"12.12.2018","29.650","29.350","29.650","29.200","947,59K","1,72%"
"11.12.2018","29.150","29.250","29.400","29.050","850,74K","-0,34%"
"10.12.2018","29.250","29.300","29.500","29.250","1,06M","-1,35%"
"07.12.2018","29.650","29.500","29.900","29.500","2,21M","0,85%"
